Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Adelaide,8.8,15.7,1.6,2.6,Yes,14.0,247.5,79.5,4.449405780817289,14.2,1017.55,67.5,34.0
Adelaide,12.7,15.8,1.4,7.8,No,14.0,213.75,63.5,4.449405780817289,14.6,1022.5,11.25,21.0
Adelaide,6.2,15.1,1.8,2.1,No,6.5,123.75,68.5,4.449405780817289,11.600000000000001,1027.15,146.25,13.5
Adelaide,5.3,15.9,1.4,8.0,No,9.5,33.75,58.5,4.449405780817289,12.75,1027.15,-11.25,20.5
Adelaide,7.6,11.2,4.6,1.1,Yes,15.0,258.75,85.5,4.449405780817289,9.55,1016.9,-11.25,31.0
Adelaide,5.3,13.5,0.6,2.1,Yes,16.5,236.25,82.0,4.449405780817289,10.850000000000001,1025.85,-11.25,26.5
Adelaide,8.4,14.3,1.6,0.8,Yes,14.0,157.5,77.0,4.449405780817289,12.15,1024.25,157.5,27.0
Adelaide,9.5,13.1,1.2,7.2,Yes,22.0,236.25,60.0,4.449405780817289,11.05,1019.7,11.25,30.0
Adelaide,10.0,15.4,7.0,0.5,Yes,17.0,270.0,78.5,4.449405780817289,14.2,1014.7,90.0,31.0
Adelaide,11.1,14.7,2.8,2.3,Yes,20.5,258.75,81.5,4.449405780817289,12.5,1020.25,-11.25,22.5
Adelaide,6.3,14.1,1.6,3.8,No,13.0,11.25,63.0,4.449405780817289,11.95,1017.5999999999999,-33.75,26.0
Adelaide,9.8,14.7,1.6,3.5,No,19.5,157.5,59.5,4.449405780817289,12.6,1008.5999999999999,157.5,24.5
Adelaide,6.5,14.2,4.0,3.8,Yes,14.0,180.0,62.0,4.449405780817289,12.350000000000001,1022.95,-22.5,27.0
Adelaide,5.4,14.2,1.0,9.2,No,8.0,225.0,42.5,4.449405780817289,12.2,1031.85,-157.5,11.0
Adelaide,2.6,14.9,1.4,7.2,No,11.0,168.75,48.0,4.449405780817289,11.65,1025.45,168.75,17.0
Adelaide,2.8,11.8,5.468231522922462,8.1,Yes,11.0,135.0,71.5,4.449405780817289,9.0,1017.1500000000001,112.5,26.0
Adelaide,0.7,14.0,4.6,7.3,No,10.0,135.0,71.5,4.449405780817289,9.55,1023.25,135.0,12.0
Adelaide,4.9,13.0,0.8,0.1,No,18.0,33.75,48.0,4.449405780817289,11.5,1014.0999999999999,-56.25,38.0
Adelaide,8.5,16.1,1.4,7.2,Yes,10.0,157.5,66.5,4.449405780817289,13.6,1012.7,135.0,18.0
Adelaide,7.6,19.3,1.8,5.0,No,18.5,168.75,54.0,4.449405780817289,16.25,1006.0,101.25,50.5
Adelaide,9.0,13.8,4.4,4.4,Yes,7.5,90.0,92.0,4.449405780817289,10.899999999999999,1015.3,-135.0,23.5
Adelaide,6.4,15.0,2.6,3.3,Yes,8.5,180.0,85.0,4.449405780817289,12.0,1025.35,90.0,17.5
Adelaide,7.4,11.9,0.4,0.5,Yes,15.0,0.0,91.0,4.449405780817289,9.75,1019.05,-112.5,33.0
Adelaide,5.9,13.2,1.2,7.0,Yes,13.0,225.0,61.0,4.449405780817289,10.75,1023.95,0.0,30.0
