Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Albury,13.4,22.9,5.468231522922462,7.6111775206611565,No,22.0,281.25,46.5,6.245703989294752,19.35,1007.4000000000001,-11.25,22.0
Albury,7.4,25.1,5.468231522922462,7.6111775206611565,No,13.0,292.5,34.5,4.449405780817289,20.75,1009.2,0.0,31.0
Albury,12.9,25.7,5.468231522922462,7.6111775206611565,No,22.5,258.75,34.0,3.203701791522536,22.1,1008.1500000000001,-11.25,23.5
Albury,9.2,28.0,5.468231522922462,7.6111775206611565,No,10.0,112.5,30.5,4.449405780817289,22.3,1015.2,-67.5,14.0
Albury,17.5,32.3,5.468231522922462,7.6111775206611565,No,13.5,191.25,57.5,7.5,23.75,1008.4,78.75,27.5
Albury,14.6,29.7,5.468231522922462,7.6111775206611565,No,21.5,270.0,39.0,4.449405780817289,24.75,1007.3,22.5,34.5
Albury,14.3,25.0,5.468231522922462,7.6111775206611565,No,22.0,247.5,34.0,2.745703989294752,21.35,1008.9000000000001,22.5,28.0
Albury,7.7,26.7,5.468231522922462,7.6111775206611565,No,11.5,213.75,33.5,4.449405780817289,20.9,1011.75,56.25,23.5
Albury,9.7,31.9,5.468231522922462,7.6111775206611565,No,17.5,225.0,25.5,4.449405780817289,24.25,1006.25,112.5,62.5
Albury,13.1,30.1,5.468231522922462,7.6111775206611565,Yes,13.0,168.75,42.5,4.449405780817289,24.15,1006.35,101.25,15.0
Albury,13.4,30.4,5.468231522922462,7.6111775206611565,No,11.5,135.0,35.0,4.449405780817289,24.6,1010.25,-135.0,18.5
Albury,15.9,21.7,5.468231522922462,7.6111775206611565,Yes,14.0,56.25,90.0,8.0,16.45,1007.35,-33.75,17.0
Albury,15.9,18.6,5.468231522922462,7.6111775206611565,Yes,28.0,337.5,84.5,8.0,16.6,993.65,-67.5,33.0
Albury,12.6,21.0,5.468231522922462,7.6111775206611565,Yes,22.0,236.25,54.0,5.703701791522536,17.8,1001.5,-11.25,22.0
Albury,14.1,20.9,5.468231522922462,7.6111775206611565,No,10.0,146.25,75.5,4.5,17.65,1011.3,-78.75,12.0
Albury,13.5,22.9,5.468231522922462,7.6111775206611565,Yes,13.0,146.25,72.5,4.5,19.75,1004.0,123.75,50.0
Albury,11.2,22.5,5.468231522922462,7.6111775206611565,Yes,20.5,236.25,39.5,3.203701791522536,18.25,1009.55,-78.75,22.5
Albury,9.8,25.6,5.468231522922462,7.6111775206611565,No,11.5,236.25,35.5,4.449405780817289,19.5,1018.1500000000001,-78.75,14.5
Albury,11.5,29.3,5.468231522922462,7.6111775206611565,No,9.0,135.0,42.0,4.449405780817289,23.200000000000003,1017.05,45.0,15.0
