Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
AliceSprings,19.6,37.6,11.2,9.8,No,15.5,33.75,16.5,1.5,33.8,1008.15,-101.25,71.5
AliceSprings,21.0,39.1,9.0,12.2,Yes,16.5,258.75,15.5,3.5,35.35,1006.95,78.75,24.5
AliceSprings,22.9,40.9,11.6,12.6,No,15.5,33.75,14.0,1.5,37.7,1004.8499999999999,-56.25,32.5
AliceSprings,24.7,40.5,16.0,7.8,No,12.0,236.25,26.5,4.5,34.4,1007.8,56.25,60.0
AliceSprings,23.4,32.4,12.2,4.1,No,13.0,180.0,50.5,6.5,28.950000000000003,1012.35,22.5,33.0
AliceSprings,21.7,25.1,8.4,0.2,Yes,15.0,101.25,84.0,7.5,22.4,1012.7,56.25,20.0
AliceSprings,20.9,25.7,4.6,2.1,Yes,14.0,270.0,73.5,7.5,24.65,1010.65,90.0,17.0
AliceSprings,17.7,34.6,3.0,12.2,No,12.0,202.5,45.0,2.0,29.05,1008.4,-112.5,14.0
AliceSprings,24.4,39.0,8.0,11.0,No,19.5,146.25,30.0,3.0,35.25,1004.4000000000001,33.75,30.5
AliceSprings,25.3,38.6,11.8,8.7,No,28.5,135.0,44.5,5.5,31.2,1005.15,135.0,25.5
AliceSprings,25.0,32.3,12.0,4.2,No,17.5,292.5,61.5,7.0,28.55,1003.45,22.5,45.5
AliceSprings,20.7,32.2,3.6,8.4,Yes,16.0,292.5,62.5,6.0,26.75,1003.95,22.5,25.0
AliceSprings,16.6,26.6,9.6,13.3,No,25.0,180.0,47.0,2.0,23.299999999999997,1011.25,0.0,12.0
AliceSprings,13.7,26.8,9.0,13.3,No,19.5,146.25,30.5,0.0,23.25,1012.3,11.25,26.5
AliceSprings,13.1,28.5,10.4,13.4,No,16.5,123.75,22.5,0.0,24.5,1011.6500000000001,-11.25,18.5
AliceSprings,13.6,31.7,10.0,13.4,No,17.5,157.5,18.0,0.0,27.9,1009.9,-90.0,13.5
AliceSprings,15.7,36.3,9.8,13.4,No,9.0,157.5,14.5,0.0,32.6,1007.0999999999999,112.5,26.0
AliceSprings,19.6,36.9,10.6,10.4,No,16.0,202.5,16.5,2.5,33.6,1006.15,-22.5,25.0
AliceSprings,24.5,35.2,14.6,9.6,No,21.5,123.75,25.5,5.0,30.45,1008.35,-11.25,19.5
AliceSprings,19.4,35.2,13.4,13.0,No,22.0,112.5,17.0,2.5,30.65,1008.95,-22.5,19.0
AliceSprings,19.9,39.3,12.0,12.5,No,17.0,157.5,11.5,2.5,34.65,1005.95,-22.5,13.0
AliceSprings,21.5,39.9,13.2,11.5,No,16.0,56.25,14.5,2.5,35.7,1006.3,33.75,17.0
AliceSprings,21.6,39.4,13.8,9.7,No,24.0,78.75,12.5,6.0,36.5,1006.45,-11.25,24.0
AliceSprings,22.5,38.5,19.2,9.8,No,18.5,146.25,18.0,5.5,33.8,1007.75,-11.25,18.5
AliceSprings,27.2,37.6,14.0,6.4,No,13.0,135.0,26.0,6.0,33.0,1008.1500000000001,-22.5,17.0
AliceSprings,26.8,38.9,11.2,6.0,No,27.5,157.5,39.5,7.0,30.5,1004.9,-157.5,41.5
AliceSprings,23.1,31.5,9.2,3.0,Yes,9.0,45.0,64.0,6.5,27.049999999999997,1007.0,-180.0,13.0
AliceSprings,21.9,32.4,5.2,7.9,Yes,18.0,112.5,46.5,5.0,28.950000000000003,1007.4,22.5,21.0
AliceSprings,18.7,32.7,10.8,12.8,No,22.5,123.75,17.5,4.5,29.2,1007.9000000000001,-11.25,14.5
AliceSprings,18.0,34.5,11.8,7.6,No,16.0,101.25,16.0,4.0,30.85,1005.3499999999999,11.25,21.0
AliceSprings,22.2,36.0,10.6,10.1,No,25.0,101.25,15.0,4.5,32.0,1004.3499999999999,33.75,29.0
AliceSprings,22.1,34.3,16.4,13.2,No,30.0,135.0,16.0,2.0,30.65,1007.55,-22.5,20.0
AliceSprings,18.6,34.7,15.4,12.9,No,21.5,123.75,18.5,1.0,30.099999999999998,1006.8499999999999,11.25,32.5
AliceSprings,21.5,36.1,14.2,11.8,No,21.5,123.75,29.0,4.0,32.25,1005.75,11.25,35.5
AliceSprings,20.6,36.5,14.6,12.1,No,25.0,135.0,29.0,3.5,32.7,1005.25,-22.5,32.0
AliceSprings,22.4,36.3,14.6,10.6,No,21.5,146.25,31.5,4.0,32.8,1004.4,11.25,30.5
AliceSprings,21.1,35.7,12.0,8.8,No,29.5,168.75,48.5,4.5,30.2,1005.95,11.25,29.5
AliceSprings,22.4,34.6,11.0,12.0,No,27.5,123.75,46.5,4.5,29.85,1007.5999999999999,11.25,28.5
AliceSprings,21.2,36.2,14.8,12.1,No,24.0,135.0,21.0,0.5,32.15,1006.95,22.5,22.0
AliceSprings,21.0,37.5,14.8,12.9,No,17.5,90.0,11.0,0.0,33.2,1004.6,67.5,23.5
AliceSprings,17.7,37.3,15.0,13.1,No,17.0,146.25,8.5,0.0,33.35,1004.5999999999999,11.25,27.0
AliceSprings,17.4,38.1,15.0,13.1,No,20.5,135.0,8.5,0.5,34.05,1007.3,0.0,22.5
AliceSprings,23.2,38.2,15.2,12.2,No,17.5,33.75,21.5,0.5,34.650000000000006,1007.4000000000001,56.25,15.5
AliceSprings,23.1,37.8,13.8,13.1,No,25.0,78.75,20.5,1.0,34.15,1007.3,33.75,34.0
AliceSprings,20.4,38.4,16.8,12.3,No,28.5,112.5,18.5,1.5,34.099999999999994,1008.35,0.0,38.5
AliceSprings,25.7,37.5,22.6,12.6,No,30.0,112.5,14.5,1.5,33.8,1010.8,0.0,26.0
AliceSprings,25.4,36.3,20.0,7.0,No,27.0,90.0,19.0,5.0,32.05,1010.5999999999999,-22.5,14.0
