Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
BadgerysCreek,14.7,26.1,5.468231522922462,7.6111775206611565,No,15.5,135.0,56.5,4.449405780817289,21.45,1013.2,0.0,30.5
BadgerysCreek,13.6,22.3,5.468231522922462,7.6111775206611565,No,10.5,78.75,54.0,4.449405780817289,19.799999999999997,1020.55,-56.25,19.5
BadgerysCreek,17.7,31.2,5.468231522922462,7.6111775206611565,No,12.0,11.25,52.5,4.449405780817289,26.3,1016.1500000000001,33.75,27.0
BadgerysCreek,15.5,38.8,5.468231522922462,7.6111775206611565,No,12.0,146.25,43.0,4.449405780817289,30.15,1010.4000000000001,78.75,38.0
BadgerysCreek,14.0,39.3,5.468231522922462,7.6111775206611565,No,10.5,33.75,34.5,4.449405780817289,31.1,1009.4,78.75,24.5
BadgerysCreek,15.3,40.3,5.468231522922462,7.6111775206611565,No,18.0,146.25,44.0,4.449405780817289,31.549999999999997,1007.35,123.75,45.0
BadgerysCreek,18.9,22.3,5.468231522922462,7.6111775206611565,No,15.0,146.25,72.5,4.449405780817289,20.3,1013.1500000000001,-11.25,16.0
BadgerysCreek,14.8,22.4,5.468231522922462,7.6111775206611565,No,17.0,123.75,55.5,4.449405780817289,19.35,1019.7,-33.75,16.0
BadgerysCreek,11.9,26.0,5.468231522922462,7.6111775206611565,No,8.5,135.0,53.0,4.449405780817289,21.1,1015.2,-67.5,28.5
BadgerysCreek,12.6,30.2,5.468231522922462,7.6111775206611565,No,13.0,45.0,50.5,4.449405780817289,25.3,1012.2,45.0,28.0
BadgerysCreek,15.3,29.4,5.468231522922462,7.6111775206611565,Yes,13.0,168.75,64.0,4.449405780817289,24.45,1015.9,-56.25,24.0
BadgerysCreek,18.4,32.7,5.468231522922462,7.6111775206611565,No,12.0,45.0,61.5,4.449405780817289,26.0,1017.5,-22.5,27.0
BadgerysCreek,15.9,39.9,5.468231522922462,7.6111775206611565,No,9.5,56.25,45.5,4.449405780817289,31.55,1012.1500000000001,11.25,40.5
BadgerysCreek,18.0,42.9,5.468231522922462,7.6111775206611565,No,12.0,168.75,29.5,4.449405780817289,34.900000000000006,1007.4,-33.75,38.0
BadgerysCreek,14.6,34.5,5.468231522922462,7.6111775206611565,No,11.0,78.75,36.0,4.449405780817289,27.65,1010.25,56.25,39.0
BadgerysCreek,15.5,23.7,5.468231522922462,7.6111775206611565,No,15.0,123.75,45.5,4.449405780817289,19.700000000000003,1020.5,-11.25,18.0
BadgerysCreek,11.3,33.5,5.468231522922462,7.6111775206611565,No,14.0,22.5,40.5,4.449405780817289,25.1,1016.65,22.5,21.0
BadgerysCreek,14.6,39.2,5.468231522922462,7.6111775206611565,No,12.0,146.25,40.5,4.449405780817289,30.599999999999998,1011.45,-78.75,31.0
BadgerysCreek,20.5,38.4,5.468231522922462,7.6111775206611565,No,11.0,292.5,44.5,4.449405780817289,31.0,1009.55,67.5,30.0
BadgerysCreek,19.6,33.7,5.468231522922462,7.6111775206611565,Yes,22.5,11.25,55.0,4.449405780817289,29.1,1006.75,-11.25,33.5
BadgerysCreek,20.3,36.1,5.468231522922462,7.6111775206611565,No,15.0,78.75,53.5,4.449405780817289,30.75,1007.95,-33.75,28.0
BadgerysCreek,20.8,40.7,5.468231522922462,7.6111775206611565,No,18.5,146.25,38.0,4.449405780817289,34.45,1004.1,123.75,53.5
BadgerysCreek,18.7,28.4,5.468231522922462,7.6111775206611565,No,11.0,67.5,50.0,4.449405780817289,24.299999999999997,1018.9,135.0,22.0
BadgerysCreek,19.7,31.0,5.468231522922462,7.6111775206611565,No,13.0,157.5,60.0,4.449405780817289,25.55,1019.1,-22.5,22.0
BadgerysCreek,19.3,28.0,5.468231522922462,7.6111775206611565,Yes,8.0,146.25,82.0,4.449405780817289,23.25,1020.55,-56.25,22.0
BadgerysCreek,16.3,35.7,5.468231522922462,7.6111775206611565,No,10.5,22.5,58.5,4.449405780817289,27.85,1016.6500000000001,22.5,24.5
BadgerysCreek,16.1,35.4,5.468231522922462,7.6111775206611565,No,8.5,123.75,52.0,4.449405780817289,28.6,1017.05,11.25,32.5
BadgerysCreek,17.4,34.6,5.468231522922462,7.6111775206611565,No,9.0,67.5,52.0,4.449405780817289,28.75,1016.5999999999999,-22.5,28.0
BadgerysCreek,15.9,36.6,5.468231522922462,7.6111775206611565,No,9.5,112.5,53.5,4.449405780817289,30.2,1015.25,0.0,27.5
BadgerysCreek,18.3,31.3,5.468231522922462,7.6111775206611565,No,18.5,112.5,59.5,4.449405780817289,27.25,1015.95,-22.5,20.5
BadgerysCreek,19.5,35.1,5.468231522922462,7.6111775206611565,No,7.5,67.5,56.0,4.449405780817289,29.200000000000003,1013.6500000000001,45.0,33.5
BadgerysCreek,19.5,33.4,5.468231522922462,7.6111775206611565,No,16.5,168.75,54.5,4.449405780817289,26.700000000000003,1010.25,-56.25,24.5
BadgerysCreek,20.6,32.6,5.468231522922462,7.6111775206611565,No,9.5,67.5,59.0,4.449405780817289,28.1,1010.0999999999999,22.5,25.5
BadgerysCreek,20.4,40.1,5.468231522922462,7.6111775206611565,No,17.5,146.25,50.5,4.449405780817289,31.85,1009.0,-78.75,28.5
BadgerysCreek,17.0,40.0,5.468231522922462,7.6111775206611565,No,14.0,168.75,39.5,4.449405780817289,31.950000000000003,1008.6500000000001,-33.75,29.0
BadgerysCreek,20.6,23.3,5.468231522922462,7.6111775206611565,No,15.0,157.5,78.5,4.449405780817289,20.85,1012.0999999999999,22.5,15.0
BadgerysCreek,16.6,19.4,5.468231522922462,7.6111775206611565,Yes,5.5,213.75,92.5,4.449405780817289,18.5,1011.2,-11.25,40.5
BadgerysCreek,15.5,22.1,5.468231522922462,7.6111775206611565,Yes,12.0,168.75,74.5,4.449405780817289,18.1,1011.95,11.25,27.0
BadgerysCreek,14.3,20.3,5.468231522922462,7.6111775206611565,Yes,18.5,157.5,73.5,4.449405780817289,18.15,1018.7,-67.5,18.5
BadgerysCreek,14.3,21.1,5.468231522922462,7.6111775206611565,No,18.5,180.0,70.0,4.449405780817289,18.2,1025.2,-67.5,25.5
BadgerysCreek,14.6,18.1,5.468231522922462,7.6111775206611565,Yes,17.0,191.25,93.0,4.449405780817289,15.75,1021.75,-11.25,13.0
BadgerysCreek,15.0,21.9,5.468231522922462,7.6111775206611565,Yes,16.0,180.0,86.5,4.449405780817289,19.85,1015.1500000000001,0.0,25.0
BadgerysCreek,16.2,25.0,5.468231522922462,7.6111775206611565,Yes,23.5,146.25,67.0,4.449405780817289,22.25,1018.2,-11.25,24.5
BadgerysCreek,15.8,22.3,5.468231522922462,7.6111775206611565,No,16.0,180.0,76.0,4.449405780817289,19.6,1016.85,-67.5,12.0
BadgerysCreek,17.0,27.4,5.468231522922462,7.6111775206611565,Yes,19.5,213.75,75.0,4.449405780817289,22.1,1009.95,11.25,13.5
BadgerysCreek,16.6,31.2,5.468231522922462,7.6111775206611565,No,15.0,180.0,62.0,4.449405780817289,26.049999999999997,1006.55,-45.0,16.0
BadgerysCreek,17.4,31.3,5.468231522922462,7.6111775206611565,No,14.0,45.0,58.0,4.449405780817289,26.3,1010.4,67.5,29.0
BadgerysCreek,17.8,26.1,5.468231522922462,7.6111775206611565,No,6.5,146.25,69.5,4.449405780817289,22.5,1018.2,-56.25,21.5
BadgerysCreek,17.4,30.3,5.468231522922462,7.6111775206611565,No,15.5,56.25,62.5,4.449405780817289,25.75,1014.45,-168.75,41.5
BadgerysCreek,16.5,25.7,5.468231522922462,7.6111775206611565,No,10.0,180.0,63.5,4.449405780817289,21.8,1019.6,-45.0,25.0
BadgerysCreek,12.9,25.8,5.468231522922462,7.6111775206611565,No,12.0,157.5,62.0,4.449405780817289,22.0,1017.0,-45.0,16.0
BadgerysCreek,9.4,25.8,5.468231522922462,7.6111775206611565,No,19.5,202.5,34.0,4.449405780817289,21.700000000000003,1009.2,22.5,23.5
BadgerysCreek,8.6,25.4,5.468231522922462,7.6111775206611565,No,9.0,135.0,57.5,4.449405780817289,19.5,1012.3,-45.0,26.0
BadgerysCreek,13.1,28.8,5.468231522922462,7.6111775206611565,No,12.0,157.5,57.0,4.449405780817289,23.3,1013.1,-22.5,18.0
BadgerysCreek,17.4,25.1,5.468231522922462,7.6111775206611565,No,17.5,180.0,73.0,4.449405780817289,22.049999999999997,1018.65,-22.5,19.5
BadgerysCreek,16.0,24.1,5.468231522922462,7.6111775206611565,Yes,9.5,123.75,84.0,4.449405780817289,20.25,1021.45,-56.25,16.5
BadgerysCreek,16.9,25.9,5.468231522922462,7.6111775206611565,No,13.0,135.0,75.5,4.449405780817289,22.3,1021.5,-67.5,22.0
BadgerysCreek,14.4,22.9,5.468231522922462,7.6111775206611565,No,10.0,135.0,74.0,4.449405780817289,20.35,1023.6500000000001,-45.0,21.0
