Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Ballarat,5.8,17.6,5.468231522922462,7.6111775206611565,Yes,28.0,281.25,54.0,5.245703989294752,13.05,1007.85,-11.25,24.0
Ballarat,4.3,19.5,5.468231522922462,7.6111775206611565,No,22.0,292.5,56.5,7.0,15.05,1008.3,0.0,22.0
Ballarat,9.5,18.8,5.468231522922462,7.6111775206611565,No,21.0,236.25,62.0,6.0,13.85,1010.5,33.75,22.0
Ballarat,6.7,21.8,5.468231522922462,7.6111775206611565,No,15.5,33.75,46.5,4.245703989294752,17.5,1014.4000000000001,-11.25,23.5
Ballarat,13.3,25.6,5.468231522922462,7.6111775206611565,Yes,34.5,326.25,57.0,3.5,21.3,1006.05,-11.25,26.5
Ballarat,9.6,23.0,5.468231522922462,7.6111775206611565,No,27.0,292.5,59.0,6.0,17.3,1007.6500000000001,0.0,34.0
Ballarat,4.6,16.4,5.468231522922462,7.6111775206611565,No,22.0,225.0,56.5,4.0,12.6,1012.2,0.0,17.0
Ballarat,2.9,23.1,5.468231522922462,7.6111775206611565,No,12.0,202.5,47.0,4.245703989294752,15.15,1012.25,112.5,31.0
Ballarat,5.3,17.6,5.468231522922462,7.6111775206611565,No,14.0,236.25,71.0,8.0,12.8,1006.95,-56.25,21.0
Ballarat,8.3,18.3,5.468231522922462,7.6111775206611565,Yes,25.0,146.25,57.0,5.245703989294752,14.350000000000001,1011.3499999999999,-11.25,25.0
Ballarat,6.9,23.8,5.468231522922462,7.6111775206611565,No,27.0,146.25,47.5,2.245703989294752,17.549999999999997,1012.4,11.25,27.0
Ballarat,12.1,19.6,5.468231522922462,7.6111775206611565,No,17.5,67.5,72.0,8.0,17.05,1004.2,67.5,23.5
Ballarat,13.1,13.9,5.468231522922462,7.6111775206611565,Yes,32.5,213.75,99.0,8.0,13.25,993.5,11.25,30.5
Ballarat,10.0,16.2,5.468231522922462,7.6111775206611565,Yes,22.5,213.75,85.0,7.5,13.0,1006.65,-11.25,23.5
Ballarat,8.3,18.7,5.468231522922462,7.6111775206611565,Yes,18.5,258.75,61.0,6.0,13.049999999999999,1011.75,11.25,18.5
