Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Bendigo,9.1,21.7,7.4,7.6111775206611565,No,20.0,270.0,35.0,3.5,16.7,1008.3,0.0,24.0
Bendigo,6.2,23.0,8.8,7.6111775206611565,No,23.0,292.5,39.0,3.0,18.2,1009.0999999999999,-22.5,25.0
Bendigo,10.8,23.7,6.2,7.6111775206611565,No,20.5,247.5,36.0,4.0,19.450000000000003,1010.05,0.0,23.5
Bendigo,8.2,24.6,5.8,7.6111775206611565,No,15.0,78.75,36.0,5.0,19.85,1014.75,-56.25,26.0
Bendigo,15.1,30.3,5.8,7.6111775206611565,No,25.0,292.5,48.5,4.0,25.25,1006.5,22.5,29.0
Bendigo,9.9,27.2,9.6,7.6111775206611565,No,19.5,303.75,44.5,2.5,22.1,1007.8,-11.25,34.5
Bendigo,8.0,22.0,4.4,7.6111775206611565,No,18.5,202.5,36.5,1.0,16.75,1011.55,22.5,24.5
Bendigo,7.8,25.5,5.6,7.6111775206611565,No,14.0,213.75,32.0,0.5,18.7,1012.4000000000001,56.25,21.0
Bendigo,9.7,22.0,6.6,7.6111775206611565,No,12.0,202.5,43.0,7.5,17.7,1006.6,45.0,27.0
Bendigo,9.8,23.2,2.0,7.6111775206611565,Yes,20.5,157.5,46.0,2.0,18.450000000000003,1009.8499999999999,-22.5,18.5
Bendigo,8.7,28.7,7.2,7.6111775206611565,No,17.5,135.0,28.0,1.5,21.55,1011.25,22.5,25.5
Bendigo,16.5,19.9,7.4,7.6111775206611565,No,16.5,56.25,75.5,8.0,18.0,1004.5,11.25,27.5
Bendigo,14.1,20.2,0.8,7.6111775206611565,Yes,23.0,258.75,81.0,7.0,17.1,992.05,-33.75,47.0
Bendigo,10.9,21.5,3.2,7.6111775206611565,Yes,23.5,202.5,60.0,7.0,17.6,1005.05,-22.5,26.5
Bendigo,9.9,21.2,6.4,7.6111775206611565,No,16.0,213.75,47.5,4.0,15.3,1011.95,-33.75,25.0
Bendigo,7.9,23.9,3.0,7.6111775206611565,No,16.0,281.25,45.0,3.5,20.15,1011.85,-11.25,23.0
