Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Cairns,25.2,32.3,4.0,6.4,No,10.0,78.75,64.0,6.0,30.95,1009.7,-33.75,21.0
Cairns,24.2,32.3,6.6,5.3,Yes,12.0,112.5,68.5,7.0,30.05,1009.95,-67.5,23.0
Cairns,23.9,32.8,5.6,11.3,No,18.5,123.75,55.5,6.0,30.35,1011.05,33.75,12.5
Cairns,22.2,33.6,9.6,12.3,No,21.5,135.0,45.5,1.5,31.05,1012.0999999999999,0.0,17.5
Cairns,23.2,33.5,11.6,11.8,No,24.0,135.0,60.0,3.0,30.950000000000003,1012.4,0.0,19.0
Cairns,24.7,33.4,8.4,10.6,No,17.5,90.0,65.5,1.5,31.15,1010.95,-45.0,15.5
Cairns,23.9,32.0,8.0,9.2,No,12.0,180.0,71.5,2.5,29.950000000000003,1009.0,-157.5,16.0
Cairns,26.6,33.2,8.0,7.2,No,14.0,168.75,67.0,5.0,31.5,1007.8,-146.25,16.0
Cairns,26.1,32.8,4.8,7.1,Yes,11.0,22.5,74.5,7.0,30.5,1008.2,0.0,17.0
Cairns,26.0,32.6,5.8,4.0,No,13.0,67.5,76.0,7.0,29.2,1008.7,0.0,15.0
Cairns,25.3,32.9,5.4,12.0,No,18.5,56.25,60.5,3.5,30.9,1008.6,11.25,14.5
Cairns,22.9,33.3,8.6,8.4,No,17.0,168.75,56.0,3.0,30.95,1009.05,-101.25,14.0
Cairns,24.7,33.0,8.0,12.1,No,12.0,90.0,65.5,2.0,31.0,1007.9,-67.5,18.0
Cairns,26.5,34.1,8.0,10.5,No,17.5,157.5,62.5,3.5,32.4,1005.2,-157.5,19.5
Cairns,23.8,32.9,11.8,7.2,Yes,10.5,112.5,76.5,6.0,28.4,1006.9,67.5,24.5
Cairns,25.5,33.9,5.0,7.0,No,15.0,146.25,61.5,5.5,31.15,1008.5999999999999,11.25,26.0
Cairns,25.1,32.6,7.4,5.5,No,14.0,78.75,70.5,5.5,29.3,1009.95,-11.25,23.0
Cairns,23.8,31.7,5.0,7.8,Yes,10.0,101.25,69.5,5.0,29.549999999999997,1009.2,56.25,18.0
Cairns,25.3,32.4,4.2,1.6,No,9.0,157.5,70.0,7.0,29.299999999999997,1007.7,-157.5,15.0
Cairns,25.2,32.1,4.4,3.8,No,12.0,168.75,71.0,7.0,30.65,1007.5,-168.75,14.0
Cairns,23.0,33.1,4.8,9.8,No,18.5,101.25,65.5,3.5,30.95,1008.55,-56.25,16.5
Cairns,25.3,33.4,7.4,10.7,No,16.0,67.5,59.5,3.5,31.200000000000003,1010.2,22.5,19.0
Cairns,25.5,32.7,6.2,9.7,No,20.5,123.75,56.0,6.5,30.25,1009.65,-33.75,16.5
Cairns,21.8,33.3,7.4,12.1,No,19.5,123.75,53.5,2.5,30.65,1008.75,-56.25,15.5
Cairns,23.4,33.9,9.4,10.2,No,22.5,146.25,54.0,7.5,30.8,1008.25,11.25,18.5
Cairns,24.5,31.1,11.0,3.2,Yes,9.0,191.25,82.0,7.0,28.2,1007.55,-11.25,28.0
Cairns,24.1,30.2,5.468231522922462,1.0,Yes,13.0,123.75,86.5,7.5,26.55,1006.8,-78.75,13.0
Cairns,25.7,31.9,5.0,6.0,No,9.5,146.25,70.0,5.0,29.799999999999997,1005.6500000000001,-146.25,18.5
Cairns,23.2,30.1,8.2,2.3,Yes,13.0,303.75,91.0,7.5,26.05,1006.4,56.25,24.0
Cairns,23.6,31.4,4.6,3.4,Yes,11.5,45.0,73.5,6.5,29.05,1006.85,-22.5,16.5
Cairns,23.5,31.6,5.6,10.6,Yes,10.0,78.75,69.0,4.5,30.3,1007.8,-56.25,18.0
Cairns,25.0,31.6,5.6,8.7,No,11.0,90.0,69.0,7.0,30.5,1008.2,-45.0,19.0
Cairns,25.4,32.7,5.4,8.0,No,16.0,180.0,78.5,7.0,28.15,1007.95,-112.5,12.0
Cairns,25.1,31.6,5.4,2.9,No,13.0,168.75,82.5,7.0,27.4,1007.05,-33.75,20.0
Cairns,24.3,32.4,4.0,8.8,Yes,13.0,123.75,71.5,8.0,29.6,1006.5999999999999,11.25,22.0
Cairns,25.4,32.4,6.2,3.0,No,8.0,225.0,69.5,7.0,29.35,1006.0,-45.0,22.0
Cairns,24.7,31.4,4.4,6.8,No,7.5,247.5,69.0,7.5,29.65,1004.55,157.5,23.5
Cairns,24.7,29.6,4.8,0.2,No,14.0,135.0,88.5,8.0,26.049999999999997,1003.5999999999999,45.0,30.0
Cairns,22.1,27.6,8.8,0.0,Yes,11.0,101.25,94.5,8.0,24.450000000000003,1004.0,78.75,24.0
Cairns,23.0,28.7,2.8,0.0,Yes,15.0,146.25,70.0,7.5,26.35,1006.05,11.25,24.0
Cairns,22.3,27.4,5.468231522922462,0.0,Yes,14.0,247.5,97.0,8.0,25.0,1001.55,67.5,45.0
Cairns,22.7,30.2,6.4,6.2,Yes,16.5,168.75,72.0,5.5,27.85,1001.95,-168.75,22.5
Cairns,23.7,30.9,6.0,11.7,No,13.0,90.0,67.5,1.0,29.549999999999997,1006.2,-45.0,17.0
Cairns,24.3,31.6,6.2,9.9,No,9.5,45.0,71.0,5.0,29.5,1009.45,-157.5,18.5
Cairns,24.5,31.4,6.4,6.3,Yes,12.0,135.0,81.0,5.5,28.3,1010.95,-67.5,21.0
Cairns,24.1,31.4,5.8,7.3,Yes,10.0,78.75,72.5,6.0,29.45,1009.9000000000001,-56.25,18.0
Cairns,24.9,32.2,4.6,4.0,Yes,17.0,135.0,69.5,7.0,29.55,1010.0999999999999,-22.5,18.0
Cairns,22.8,30.9,1.8,2.5,Yes,20.5,123.75,71.0,7.5,28.4,1010.45,11.25,22.5
Cairns,23.5,29.2,8.4,0.8,Yes,15.0,90.0,86.5,8.0,26.2,1010.55,90.0,22.0
Cairns,23.1,32.3,2.4,11.8,Yes,16.5,146.25,63.5,4.5,30.4,1009.65,-33.75,14.5
Cairns,24.0,31.0,6.4,10.1,No,13.0,67.5,72.0,6.5,29.8,1008.5,-45.0,11.0
