Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Canberra,8.0,24.3,3.4,6.3,No,13.0,270.0,48.5,7.0,19.0,1017.35,45.0,17.0
Canberra,14.0,26.9,4.4,9.7,Yes,10.5,180.0,58.0,4.0,21.6,1010.4,-112.5,28.5
Canberra,13.7,23.4,5.8,3.3,Yes,6.0,11.25,75.5,7.5,17.8,1008.35,-56.25,79.0
Canberra,13.3,15.5,7.2,9.1,Yes,27.0,281.25,59.0,4.5,13.8,1006.25,33.75,27.0
Canberra,7.6,16.1,5.6,10.6,Yes,24.0,135.0,58.5,7.0,13.25,1018.4,22.5,26.0
Canberra,6.2,16.9,5.8,8.2,No,22.0,112.5,63.5,6.0,12.850000000000001,1022.75,22.5,22.0
Canberra,6.1,18.2,4.2,8.4,No,22.5,123.75,55.0,5.0,14.850000000000001,1023.4,11.25,20.5
Canberra,8.3,17.0,5.6,4.6,No,17.5,112.5,61.0,6.5,13.8,1025.2,-22.5,23.5
Canberra,8.8,19.5,4.0,4.1,No,18.0,78.75,59.0,7.0,16.5,1024.4,101.25,30.0
Canberra,8.4,22.8,5.4,7.7,Yes,6.5,146.25,57.0,4.0,17.5,1022.4,-56.25,24.5
Canberra,9.1,25.2,4.2,11.9,No,7.5,225.0,54.0,1.5,19.3,1022.75,135.0,22.5
Canberra,8.5,27.3,7.2,12.5,No,8.5,202.5,44.5,1.5,21.4,1021.8499999999999,-112.5,32.5
Canberra,10.1,27.9,7.2,13.0,No,6.5,247.5,45.5,0.5,22.05,1019.55,45.0,23.5
Canberra,12.1,30.9,6.2,12.4,No,13.5,281.25,43.5,2.5,25.2,1015.2,33.75,30.5
Canberra,10.1,31.2,8.8,13.1,No,13.0,225.0,30.5,0.5,24.549999999999997,1015.95,90.0,28.0
Canberra,12.4,32.1,8.4,11.1,No,8.0,191.25,46.0,1.5,24.9,1015.3499999999999,-101.25,38.0
