Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Cobar,17.9,35.2,12.0,12.3,No,13.0,146.25,16.5,3.5,30.0,1005.3499999999999,56.25,35.0
Cobar,18.4,28.9,14.8,13.0,No,19.0,157.5,19.0,1.0,23.65,1012.5,22.5,18.0
Cobar,19.4,37.6,10.8,10.6,No,22.5,180.0,32.0,3.5,31.799999999999997,1010.75,-157.5,23.5
Cobar,21.9,38.4,11.4,12.2,No,6.0,270.0,29.5,3.0,32.35,1010.9000000000001,22.5,25.0
Cobar,24.2,41.0,11.2,8.4,No,15.0,303.75,17.0,3.5,35.6,1009.05,-11.25,20.0
Cobar,27.1,36.1,13.0,0.0,No,13.5,146.25,22.5,8.0,32.5,1007.55,-146.25,29.5
Cobar,23.3,34.0,9.8,12.6,No,18.0,168.75,24.0,2.0,28.25,1010.5999999999999,33.75,23.0
Cobar,16.1,34.2,14.6,13.2,No,10.5,157.5,17.0,1.0,26.75,1011.25,-22.5,26.5
Cobar,19.0,35.5,12.0,12.3,No,19.5,157.5,37.0,3.0,28.349999999999998,1006.15,-90.0,28.5
Cobar,19.7,35.5,11.0,12.7,No,16.0,135.0,37.5,3.0,28.8,1006.8499999999999,-90.0,25.0
Cobar,20.9,37.8,12.8,13.2,No,9.0,101.25,18.0,0.5,33.1,1011.35,-11.25,21.0
Cobar,23.9,39.1,13.8,12.1,No,16.5,22.5,27.5,1.0,33.05,1012.0,45.0,22.5
Cobar,24.9,41.2,14.8,13.0,No,14.0,168.75,20.0,2.0,34.8,1011.5,33.75,29.0
Cobar,25.2,40.5,16.4,10.3,No,17.5,247.5,19.5,5.0,34.599999999999994,1010.7,-22.5,26.5
Cobar,21.6,34.2,17.4,13.1,No,18.0,180.0,13.5,0.0,28.6,1013.2,45.0,26.0
Cobar,18.4,31.8,16.0,12.9,No,16.0,202.5,15.0,0.5,25.1,1015.05,-22.5,17.0
Cobar,17.9,34.2,12.0,11.3,No,19.5,90.0,32.5,1.5,26.900000000000002,1014.95,45.0,41.5
Cobar,21.4,37.5,14.8,6.9,No,17.5,45.0,31.5,6.5,30.15,1011.35,-22.5,25.5
Cobar,23.3,39.4,12.0,10.9,Yes,18.0,157.5,34.0,4.0,32.0,1009.8,112.5,41.0
Cobar,25.4,33.5,13.6,3.7,No,18.5,157.5,49.0,5.5,29.299999999999997,1010.9,-157.5,27.5
Cobar,21.8,30.7,8.0,5.9,No,21.5,0.0,67.0,7.0,25.85,1007.4000000000001,-67.5,34.5
Cobar,20.3,36.0,8.2,10.5,Yes,10.0,168.75,69.5,5.5,29.049999999999997,1007.6500000000001,78.75,84.0
Cobar,22.1,34.7,8.6,12.4,Yes,13.0,213.75,34.5,4.0,30.650000000000002,1008.45,123.75,37.0
Cobar,19.7,37.3,14.2,13.4,No,9.5,101.25,14.5,1.0,30.7,1012.45,101.25,18.5
Cobar,23.8,39.9,12.6,13.2,No,12.0,78.75,33.0,0.5,33.7,1013.35,101.25,19.0
Cobar,27.0,38.7,14.2,13.0,No,15.5,90.0,33.5,2.0,32.7,1013.9000000000001,-22.5,30.5
Cobar,26.2,38.5,14.6,13.3,No,17.0,45.0,27.0,1.0,33.3,1012.95,45.0,22.0
Cobar,25.0,39.5,14.6,13.6,No,19.5,22.5,22.5,0.5,34.15,1012.9000000000001,45.0,32.5
Cobar,25.1,39.3,15.8,13.2,No,20.0,67.5,26.0,0.5,33.7,1012.15,45.0,24.0
Cobar,25.2,38.5,16.2,13.1,No,22.0,33.75,26.5,1.5,32.95,1013.55,33.75,22.0
Cobar,24.8,40.8,13.4,11.3,No,9.0,213.75,25.0,4.0,34.5,1011.3499999999999,-78.75,21.0
Cobar,27.6,40.3,14.4,10.9,No,13.0,22.5,26.0,3.5,35.25,1008.75,157.5,44.0
Cobar,23.6,40.4,11.8,12.2,No,10.0,146.25,29.5,1.5,34.3,1006.7,101.25,44.0
Cobar,24.1,41.4,12.6,12.3,Yes,12.0,146.25,35.5,2.0,33.5,1005.25,-78.75,27.0
Cobar,27.2,43.4,14.2,12.6,No,11.0,0.0,23.5,2.0,37.8,1004.5999999999999,-22.5,26.0
Cobar,29.1,43.5,13.0,12.1,No,11.0,337.5,20.5,1.5,38.5,1006.35,-45.0,17.0
Cobar,28.9,41.4,15.6,12.7,No,19.5,45.0,18.0,0.5,36.05,1009.3499999999999,-22.5,21.5
Cobar,25.1,42.0,17.4,13.0,No,14.0,11.25,16.0,0.5,36.0,1008.5999999999999,11.25,25.0
Cobar,25.4,36.6,15.2,10.3,No,16.0,202.5,18.0,5.0,30.75,1007.75,22.5,27.0
Cobar,19.3,28.1,16.0,7.4,No,21.5,191.25,20.0,5.5,22.25,1009.5,11.25,24.5
Cobar,14.1,25.9,11.6,12.3,No,23.0,191.25,28.5,0.0,19.450000000000003,1011.0,33.75,21.0
Cobar,14.5,30.1,9.6,10.0,No,11.0,157.5,34.5,6.0,22.9,1011.6,22.5,26.0
Cobar,16.8,23.3,8.0,2.3,No,35.0,90.0,59.5,7.0,20.45,1013.0,0.0,28.0
Cobar,16.1,19.1,6.6,0.0,Yes,23.5,112.5,87.0,7.0,17.05,1013.75,0.0,30.5
Cobar,16.0,24.2,0.6,6.6,Yes,18.5,123.75,61.0,5.5,20.799999999999997,1011.6500000000001,11.25,24.5
Cobar,17.4,19.7,6.0,0.0,No,19.5,135.0,81.0,7.0,18.15,1010.95,-22.5,28.5
Cobar,15.9,20.8,3.0,0.3,Yes,17.0,112.5,85.5,7.5,18.6,1011.05,0.0,27.0
Cobar,16.5,27.4,2.0,10.0,Yes,17.0,101.25,61.0,4.5,23.55,1007.6,-11.25,13.0
Cobar,16.8,30.6,5.2,10.7,No,9.5,135.0,47.0,1.5,26.05,1007.9000000000001,22.5,16.5
Cobar,20.4,34.0,6.6,11.6,No,6.5,202.5,32.0,3.0,29.5,1010.3,22.5,24.5
Cobar,19.9,31.7,9.0,12.4,No,12.0,191.25,32.0,1.0,26.65,1011.65,-11.25,19.0
Cobar,17.2,34.3,10.2,12.4,No,12.0,213.75,35.5,1.0,27.299999999999997,1012.25,78.75,27.0
Cobar,21.9,35.1,9.0,10.2,No,23.0,180.0,41.5,3.5,29.95,1011.5999999999999,0.0,20.0
Cobar,21.0,34.7,10.0,9.0,Yes,18.5,168.75,47.0,3.5,29.25,1012.6,-78.75,27.5
Cobar,18.7,33.1,7.4,12.1,No,10.0,213.75,50.5,2.0,27.65,1014.05,33.75,21.0
Cobar,17.9,33.8,8.4,12.0,No,10.0,180.0,22.0,0.5,28.2,1013.85,-67.5,14.0
Cobar,19.9,33.5,9.2,12.3,No,16.5,33.75,38.5,1.0,27.4,1013.1,11.25,22.5
Cobar,22.2,36.9,9.4,12.0,No,18.0,146.25,29.5,4.0,30.799999999999997,1009.5,101.25,23.0
Cobar,16.9,32.8,12.4,10.7,No,6.5,202.5,23.5,4.5,25.4,1010.75,0.0,23.5
Cobar,20.0,31.1,10.4,3.0,No,6.5,202.5,31.0,6.5,26.200000000000003,1013.05,-67.5,23.5
Cobar,23.0,38.9,7.2,8.4,No,23.5,33.75,24.0,4.0,31.25,1010.7,-123.75,41.5
Cobar,18.6,24.5,15.2,7.9,No,23.0,213.75,33.5,4.5,20.75,1015.8,-11.25,31.0
Cobar,14.1,24.6,11.0,11.5,No,18.5,202.5,39.5,0.5,18.8,1015.55,0.0,27.5
Cobar,11.9,26.4,8.4,12.1,No,10.0,225.0,40.0,0.0,20.799999999999997,1013.4,22.5,31.0
Cobar,13.1,29.6,8.0,12.0,No,9.0,78.75,30.0,0.0,23.25,1013.5,146.25,17.0
Cobar,16.5,33.2,9.4,12.0,No,13.0,123.75,21.0,0.0,27.200000000000003,1013.1,-33.75,33.0
Cobar,21.1,33.4,10.4,11.2,No,16.5,67.5,40.5,4.5,26.9,1014.5,22.5,24.5
Cobar,21.6,31.1,10.8,4.8,No,20.5,78.75,41.5,7.0,26.35,1014.3,146.25,40.5
Cobar,19.5,31.4,6.8,10.5,No,22.5,67.5,44.0,1.0,26.0,1015.65,45.0,23.5
Cobar,21.6,32.2,11.2,5.8,No,24.0,33.75,44.5,5.5,27.549999999999997,1014.7,-11.25,24.0
Cobar,18.5,29.6,7.6,6.0,Yes,9.5,56.25,64.5,5.5,24.4,1014.7,-11.25,29.5
Cobar,16.0,24.3,10.4,11.1,No,15.0,191.25,36.0,0.5,20.200000000000003,1013.35,-11.25,24.0
Cobar,9.2,24.4,7.6,10.9,No,12.0,225.0,38.5,1.5,19.6,1013.85,-22.5,29.0
Cobar,12.1,25.8,6.8,11.8,No,10.0,191.25,41.5,0.0,20.15,1014.6,11.25,20.0
Cobar,13.9,29.5,6.4,11.8,No,10.0,101.25,32.0,0.0,23.95,1014.3499999999999,11.25,18.0
Cobar,15.3,32.3,6.0,11.3,No,6.5,146.25,27.5,3.0,26.05,1013.7,78.75,17.5
Cobar,17.6,33.9,8.0,11.6,No,6.5,180.0,19.0,0.5,28.25,1013.2,-90.0,32.5
Cobar,19.1,34.2,9.0,11.4,No,10.0,101.25,27.0,2.0,27.700000000000003,1013.3,-33.75,18.0
Cobar,20.9,34.3,10.2,7.9,No,13.0,168.75,32.5,4.0,27.349999999999998,1013.15,168.75,15.0
Cobar,21.3,35.9,9.0,10.8,No,12.0,146.25,26.0,1.5,29.75,1013.5,-146.25,23.0
Cobar,19.2,37.0,10.2,11.1,No,17.5,157.5,21.0,1.0,30.35,1014.3,-180.0,25.5
Cobar,23.5,36.5,15.6,7.8,No,19.5,11.25,21.5,3.5,30.65,1016.65,-33.75,24.5
Cobar,21.9,36.4,11.4,6.6,No,11.0,168.75,22.0,4.5,30.75,1018.0,168.75,26.0
Cobar,20.8,31.2,11.4,10.3,No,12.0,168.75,32.0,2.0,26.65,1020.3,-33.75,21.0
Cobar,15.9,31.0,9.8,11.4,No,13.0,112.5,37.5,0.5,25.200000000000003,1020.05,-45.0,24.0
Cobar,16.6,31.6,7.8,11.1,No,10.0,90.0,29.0,5.5,25.4,1018.8,157.5,16.0
Cobar,17.3,31.0,7.0,11.1,No,13.0,123.75,33.5,2.0,24.9,1017.9,11.25,20.0
Cobar,18.0,30.6,8.4,11.2,No,17.0,135.0,45.5,3.5,24.6,1015.2,0.0,27.0
Cobar,19.7,31.8,8.8,11.2,No,19.5,101.25,53.5,3.0,25.65,1016.5,11.25,17.5
Cobar,21.0,32.8,6.8,10.3,No,14.0,180.0,48.0,4.0,27.25,1016.4,-180.0,17.0
Cobar,15.6,24.3,8.2,11.2,No,14.0,180.0,40.5,0.0,19.950000000000003,1019.1,0.0,29.0
Cobar,9.9,24.6,7.0,11.2,No,13.0,191.25,28.5,0.0,20.45,1018.05,11.25,18.0
Cobar,10.7,23.3,6.2,11.0,No,16.0,168.75,38.0,0.0,19.299999999999997,1019.9000000000001,33.75,27.0
Cobar,9.4,25.6,7.6,11.2,No,13.0,168.75,35.0,0.0,19.200000000000003,1021.8,33.75,18.0
Cobar,13.5,28.4,5.8,9.0,No,17.5,67.5,44.5,2.0,24.0,1021.4,0.0,17.5
Cobar,17.1,28.7,6.6,5.5,No,15.0,67.5,38.5,7.0,23.4,1019.05,-135.0,28.0
Cobar,16.5,20.6,6.0,0.0,Yes,8.0,33.75,86.5,7.0,18.4,1020.3,56.25,22.0
Cobar,16.0,24.4,0.2,4.7,Yes,9.5,213.75,78.5,6.0,20.8,1021.6500000000001,-146.25,21.5
Cobar,16.8,23.9,2.4,4.2,Yes,5.5,67.5,78.5,6.0,20.7,1021.55,-45.0,14.5
Cobar,16.2,23.9,1.8,4.4,No,7.5,101.25,81.5,7.0,20.5,1018.5,-33.75,16.5
Cobar,14.5,28.4,2.8,11.1,No,18.5,281.25,39.5,0.5,24.7,1013.3,11.25,20.5
Cobar,14.9,29.4,8.0,9.8,No,14.0,180.0,37.0,3.5,23.05,1013.1500000000001,135.0,19.0
Cobar,11.7,23.8,5.0,11.0,No,12.0,180.0,32.5,0.0,20.35,1016.7,22.5,16.0
Cobar,11.2,23.8,5.0,11.0,No,11.0,180.0,39.5,0.0,20.5,1019.55,0.0,24.0
Cobar,11.4,25.6,5.0,10.9,No,8.0,157.5,35.5,0.0,21.799999999999997,1018.3,-45.0,18.0
Cobar,13.3,24.1,5.2,11.2,No,14.0,135.0,37.5,0.5,20.75,1017.85,0.0,17.0
Cobar,11.9,24.0,6.2,10.9,No,16.0,101.25,42.5,1.0,20.299999999999997,1018.9,11.25,19.0
Cobar,12.3,24.6,5.0,9.9,No,15.0,123.75,44.0,2.5,20.799999999999997,1019.9,-33.75,16.0
Cobar,12.0,25.9,4.4,11.0,No,14.5,78.75,42.5,2.0,21.4,1016.1,-33.75,18.5
Cobar,16.7,24.6,7.0,4.3,No,15.0,326.25,43.5,7.0,21.2,1006.4000000000001,-33.75,42.0
Cobar,12.7,23.4,5.0,10.6,No,18.5,270.0,50.0,3.0,19.5,1008.15,45.0,27.5
Cobar,11.2,18.4,5.6,9.0,No,20.5,258.75,45.5,3.5,14.8,1010.9000000000001,33.75,42.5
Cobar,5.7,19.7,4.8,10.3,No,13.0,270.0,46.0,0.5,15.7,1016.45,-22.5,39.0
Cobar,12.4,19.9,4.2,8.0,No,18.0,225.0,59.5,5.0,16.65,1019.6500000000001,22.5,17.0
Cobar,6.2,17.0,4.0,9.6,No,7.5,191.25,45.5,4.5,13.899999999999999,1020.25,33.75,25.5
Cobar,6.2,19.3,3.0,7.8,No,4.5,135.0,40.0,6.0,16.55,1023.25,-22.5,12.5
Cobar,6.6,20.6,2.4,10.6,No,11.0,146.25,34.0,0.5,17.5,1024.05,33.75,17.0
Cobar,7.5,22.8,4.2,10.7,No,13.0,123.75,38.0,0.5,18.35,1024.75,-11.25,17.0
Cobar,8.5,23.3,4.2,10.7,No,10.0,168.75,40.0,0.5,19.4,1027.05,-56.25,12.0
Cobar,9.7,23.1,4.8,10.4,No,10.0,135.0,29.5,1.5,19.5,1027.8000000000002,45.0,12.0
Cobar,5.9,23.9,4.6,10.6,No,9.0,112.5,35.0,2.0,19.35,1025.2,112.5,11.0
Cobar,7.9,23.5,4.0,10.4,No,9.0,157.5,35.0,1.0,18.700000000000003,1024.1,-22.5,17.0
Cobar,7.5,21.7,4.0,10.5,No,11.0,191.25,46.0,0.0,16.8,1026.0,11.25,13.0
Cobar,6.2,22.2,4.0,10.5,No,7.5,180.0,41.0,0.0,17.2,1022.9,22.5,16.5
Cobar,7.7,23.2,3.4,10.4,No,7.5,123.75,35.0,0.0,18.95,1020.6500000000001,101.25,14.5
Cobar,10.4,23.4,4.2,9.3,No,13.0,67.5,39.5,2.0,19.1,1020.9000000000001,0.0,17.0
Cobar,9.7,23.2,4.0,8.7,No,11.0,135.0,35.5,2.0,18.950000000000003,1019.75,45.0,13.0
Cobar,9.0,21.2,3.4,10.2,No,11.0,168.75,37.5,2.5,17.65,1017.75,78.75,22.0
Cobar,5.4,20.4,4.6,10.0,No,10.5,236.25,43.0,1.5,16.3,1018.0,11.25,20.5
Cobar,7.5,21.2,3.4,10.4,No,14.0,270.0,41.0,1.0,17.75,1018.1,-22.5,23.0
Cobar,8.8,20.6,4.4,7.6,No,17.0,247.5,51.0,4.0,17.7,1017.25,-22.5,22.0
Cobar,7.8,19.4,3.6,6.9,No,12.0,180.0,49.5,6.5,15.4,1020.4,0.0,19.0
Cobar,12.8,14.7,4.6,0.0,Yes,18.5,78.75,93.5,8.0,13.8,1017.1500000000001,-33.75,22.5
Cobar,12.5,15.6,0.0,0.0,Yes,23.0,101.25,93.5,8.0,13.149999999999999,1015.5,11.25,29.0
Cobar,12.7,20.0,1.4,7.5,Yes,25.0,112.5,56.5,6.0,17.45,1017.2,0.0,27.0
Cobar,10.9,20.8,2.8,10.1,No,15.5,123.75,56.5,2.0,17.6,1016.95,-11.25,30.5
Cobar,12.6,22.9,4.0,10.2,No,21.5,78.75,59.0,3.0,19.6,1016.6,11.25,22.5
Cobar,13.2,22.9,4.0,9.9,No,21.5,67.5,57.5,2.0,19.75,1020.1,0.0,22.5
Cobar,13.5,21.5,4.6,6.3,No,20.5,33.75,58.5,5.5,18.1,1020.85,11.25,23.5
Cobar,13.0,21.3,3.8,2.8,No,7.5,11.25,75.0,7.0,16.9,1019.65,33.75,18.5
