Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
CoffsHarbour,16.1,31.4,7.4,11.4,No,22.0,11.25,54.5,3.0,27.45,1004.0999999999999,11.25,32.0
CoffsHarbour,22.8,24.7,8.0,0.2,No,25.0,191.25,67.5,7.0,23.9,1011.15,11.25,31.0
CoffsHarbour,20.0,24.1,3.4,0.2,Yes,19.5,112.5,64.5,7.5,22.7,1019.05,22.5,15.5
CoffsHarbour,14.8,25.0,3.0,12.6,No,12.0,135.0,53.5,3.5,23.65,1018.25,-45.0,12.0
CoffsHarbour,15.5,27.3,6.6,13.1,No,18.5,180.0,58.0,3.5,25.35,1014.2,-135.0,22.5
CoffsHarbour,19.8,30.2,5.4,13.4,No,31.5,180.0,56.5,0.5,27.200000000000003,1011.95,-157.5,22.5
CoffsHarbour,22.7,29.6,8.0,9.8,No,28.5,180.0,63.0,5.0,26.9,1011.0,-157.5,27.5
CoffsHarbour,22.7,29.2,6.4,1.9,No,14.5,168.75,70.5,7.5,26.1,1009.0999999999999,33.75,29.5
CoffsHarbour,19.5,21.4,4.2,0.2,Yes,27.0,180.0,79.0,8.0,20.55,1015.8,0.0,29.0
CoffsHarbour,16.9,24.2,2.6,12.0,Yes,17.5,180.0,53.0,2.0,22.25,1014.5,45.0,12.5
CoffsHarbour,13.7,25.5,6.2,12.2,No,14.0,168.75,59.0,2.0,23.85,1012.85,-78.75,12.0
CoffsHarbour,17.5,27.4,5.6,12.0,No,15.0,90.0,65.0,4.0,25.4,1014.4,0.0,16.0
CoffsHarbour,17.7,27.0,5.6,10.8,No,17.5,146.25,63.0,2.0,25.15,1018.1500000000001,-56.25,10.5
CoffsHarbour,16.9,27.4,6.6,13.2,No,21.5,180.0,53.5,2.0,25.5,1016.8499999999999,-180.0,21.5
CoffsHarbour,19.1,32.2,7.6,13.2,No,38.5,180.0,53.5,0.5,26.35,1012.15,-157.5,22.5
CoffsHarbour,21.0,27.5,7.8,10.8,No,10.5,123.75,71.0,4.0,26.4,1009.9,78.75,28.5
CoffsHarbour,19.0,21.3,4.8,0.3,Yes,24.5,191.25,88.5,8.0,19.200000000000003,1017.2,-11.25,25.5
CoffsHarbour,14.8,23.1,1.6,2.8,Yes,13.0,180.0,63.0,6.5,21.299999999999997,1020.6500000000001,45.0,15.0
CoffsHarbour,14.3,25.9,4.0,11.2,No,19.0,191.25,57.0,6.0,23.1,1018.3499999999999,-168.75,25.0
CoffsHarbour,20.2,28.5,5.4,8.0,No,28.0,180.0,62.0,6.0,24.9,1015.45,-157.5,31.0
CoffsHarbour,22.2,30.8,6.8,3.6,No,24.0,180.0,59.5,6.5,26.75,1013.45,-157.5,24.0
CoffsHarbour,22.6,28.2,3.8,0.7,No,22.0,337.5,72.0,7.5,25.4,1011.9000000000001,0.0,26.0
CoffsHarbour,22.2,29.4,1.6,9.9,No,24.0,180.0,70.5,4.5,27.950000000000003,1010.4000000000001,-157.5,26.0
CoffsHarbour,23.6,30.6,6.0,11.4,No,29.5,11.25,69.0,3.0,28.65,1007.4000000000001,11.25,26.5
CoffsHarbour,22.1,25.6,7.0,0.0,No,18.0,180.0,85.0,8.0,23.35,1015.0999999999999,0.0,23.0
CoffsHarbour,20.1,27.1,9.2,8.0,Yes,17.5,168.75,81.5,5.0,24.55,1017.6,-11.25,13.5
CoffsHarbour,20.8,27.7,4.6,10.6,Yes,14.0,191.25,82.0,4.5,24.85,1018.3499999999999,-11.25,16.0
CoffsHarbour,20.1,28.2,6.0,11.4,Yes,17.0,146.25,72.0,3.0,25.85,1017.5,56.25,13.0
CoffsHarbour,19.8,29.1,5.2,12.5,No,12.5,78.75,66.5,3.0,26.75,1017.95,-33.75,18.5
CoffsHarbour,18.2,29.0,6.8,9.7,No,15.0,146.25,72.0,4.0,25.45,1017.95,-78.75,20.0
CoffsHarbour,20.7,28.7,5.8,10.4,No,15.5,202.5,62.0,4.5,26.8,1018.0,-135.0,17.5
CoffsHarbour,20.0,29.6,7.0,12.2,No,13.0,56.25,61.5,5.0,26.9,1015.5,11.25,17.0
CoffsHarbour,21.6,28.3,6.8,9.0,Yes,13.0,157.5,72.5,6.5,25.700000000000003,1013.8,-22.5,13.0
CoffsHarbour,19.3,28.0,5.2,3.6,No,13.5,168.75,81.0,6.5,24.05,1010.65,-146.25,16.5
CoffsHarbour,21.2,29.2,3.6,10.3,No,12.0,33.75,69.5,3.5,26.65,1010.05,33.75,19.0
CoffsHarbour,20.1,29.1,5.6,10.9,No,14.5,101.25,70.5,3.0,26.4,1009.45,-56.25,18.5
CoffsHarbour,19.1,29.4,6.4,12.6,No,19.5,191.25,60.5,1.0,27.4,1011.65,-146.25,19.5
CoffsHarbour,19.1,29.9,7.2,12.5,No,14.5,191.25,58.5,1.0,27.65,1014.5999999999999,-123.75,16.5
CoffsHarbour,17.4,29.2,7.2,12.2,No,13.5,157.5,60.5,2.0,26.5,1011.75,-90.0,17.5
CoffsHarbour,16.4,28.1,7.8,12.4,No,14.0,168.75,64.5,1.0,26.05,1009.45,-33.75,8.0
CoffsHarbour,21.0,30.0,4.2,6.6,No,29.0,11.25,70.5,7.0,27.049999999999997,1007.9,11.25,27.0
CoffsHarbour,21.6,27.6,6.0,3.3,No,27.5,202.5,69.5,7.5,24.700000000000003,1006.45,-22.5,20.5
CoffsHarbour,19.4,23.22134827564685,6.2,9.3,Yes,29.5,180.0,70.5,4.5,22.85,1014.05,0.0,18.5
CoffsHarbour,18.8,23.7,5.8,0.4,Yes,20.0,247.5,88.5,7.0,19.85,1020.2,-180.0,45.0
CoffsHarbour,18.6,22.5,3.2,0.0,Yes,16.5,213.75,86.5,8.0,19.700000000000003,1015.2,-123.75,42.5
CoffsHarbour,18.3,24.8,3.4,6.2,Yes,29.5,225.0,84.5,7.5,21.25,1006.95,0.0,27.5
CoffsHarbour,19.0,23.4,5.468231522922462,0.0,Yes,36.0,180.0,96.5,8.0,20.8,1011.25,0.0,21.0
CoffsHarbour,19.9,27.1,5.468231522922462,4.9,Yes,30.5,225.0,81.0,7.5,23.5,1007.9000000000001,-135.0,23.5
CoffsHarbour,20.4,23.8,5.468231522922462,0.0,Yes,19.5,202.5,90.0,7.5,22.049999999999997,1008.85,0.0,11.5
CoffsHarbour,18.9,26.1,2.0,8.6,Yes,13.0,135.0,75.0,4.0,24.1,1007.35,-22.5,30.0
CoffsHarbour,19.5,27.6,3.4,6.8,Yes,8.0,157.5,81.5,3.5,25.15,1010.3,45.0,16.0
CoffsHarbour,19.0,27.8,3.4,11.1,No,12.0,146.25,73.0,2.5,25.55,1011.25,78.75,29.0
CoffsHarbour,18.6,26.8,5.6,12.0,Yes,20.5,180.0,72.0,3.0,24.45,1016.0999999999999,45.0,9.5
CoffsHarbour,19.4,29.1,6.4,10.9,No,25.0,168.75,58.5,1.0,26.5,1015.4000000000001,-146.25,25.0
CoffsHarbour,21.3,28.7,7.2,6.8,No,19.5,191.25,69.5,4.5,25.799999999999997,1014.65,-146.25,24.5
CoffsHarbour,18.8,26.1,4.8,4.5,Yes,24.0,191.25,77.5,5.0,22.05,1016.75,-11.25,26.0
CoffsHarbour,18.4,26.1,6.2,11.2,Yes,28.0,191.25,58.5,2.0,23.45,1014.9,-11.25,18.0
