Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Dartmoor,10.1,19.9,1.2,5.8,No,16.5,247.5,75.0,4.449405780817289,15.4,1017.95,-45.0,24.5
Dartmoor,8.8,20.5,3.6,7.4,No,19.5,123.75,61.0,4.449405780817289,16.95,1021.4,11.25,21.5
Dartmoor,8.0,23.9,4.0,11.2,No,19.5,135.0,64.5,4.449405780817289,18.0,1020.4000000000001,22.5,19.5
Dartmoor,12.9,27.6,4.2,4.9,No,23.0,123.75,65.0,4.449405780817289,21.95,1019.0999999999999,-11.25,21.0
Dartmoor,14.1,29.7,3.0,4.6,No,18.5,78.75,66.5,4.449405780817289,22.4,1017.95,-123.75,25.5
Dartmoor,14.3,29.4,4.0,8.7,No,9.0,236.25,55.327140621689026,4.449405780817289,22.05,1014.75,-11.25,22.0
Dartmoor,14.5,20.1,6.4,8.1,Yes,30.5,258.75,87.0,4.449405780817289,13.85,1009.15,11.25,41.5
Dartmoor,9.3,17.8,4.6,7.8,Yes,26.5,270.0,74.0,4.449405780817289,14.1,1012.3499999999999,-45.0,27.5
Dartmoor,10.2,18.0,3.0,5.9,Yes,20.5,236.25,83.0,4.449405780817289,14.85,1015.0,-11.25,20.5
Dartmoor,11.1,15.9,3.0,0.0,No,13.0,202.5,74.5,4.449405780817289,14.35,1019.8,0.0,18.0
Dartmoor,5.6,24.8,1.8,9.5,No,15.0,180.0,67.5,4.449405780817289,17.05,1014.45,157.5,18.0
Dartmoor,8.0,22.3,5.2,10.7,No,11.0,146.25,74.5,4.449405780817289,17.05,1012.55,78.75,22.0
Dartmoor,11.3,18.5,4.0,1.5,No,17.5,180.0,78.5,4.449405780817289,15.55,1015.65,22.5,21.5
Dartmoor,10.5,23.1,3.0,6.5,Yes,9.5,135.0,83.0,4.449405780817289,19.15,1015.5,90.0,20.5
Dartmoor,14.0,20.4,1.8,7.2,No,23.0,270.0,83.0,4.449405780817289,17.25,1022.35,-45.0,23.0
Dartmoor,12.19403438096892,24.3,4.8,10.5,No,11.5,123.75,72.5,4.449405780817289,15.2,1022.3,11.25,21.5
Dartmoor,12.19403438096892,21.1,3.0,8.1,No,26.0,123.75,66.5,4.449405780817289,17.8,1025.25,-11.25,22.0
Dartmoor,12.19403438096892,29.0,3.2,8.1,No,9.0,168.75,73.0,4.449405780817289,20.700000000000003,1020.85,33.75,22.0
Dartmoor,12.19403438096892,33.3,6.4,8.7,No,17.5,168.75,40.0,4.449405780817289,26.9,1016.9000000000001,-168.75,25.5
Dartmoor,12.4,20.6,5.6,5.5,No,22.0,270.0,74.5,4.449405780817289,15.25,1018.1500000000001,-22.5,34.0
Dartmoor,4.2,16.7,3.4,1.2,No,11.5,135.0,77.5,4.449405780817289,12.4,1024.1999999999998,135.0,18.5
Dartmoor,7.0,17.0,1.6,5.0,Yes,24.0,247.5,78.0,4.449405780817289,14.75,1020.9,-45.0,26.0
