Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Darwin,20.0,33.1,4.4,11.0,No,15.0,112.5,56.5,1.5,28.849999999999998,1014.05,-22.5,26.0
Darwin,19.4,32.4,6.0,10.4,No,21.5,112.5,49.0,1.0,28.1,1014.5999999999999,-45.0,28.5
Darwin,18.2,31.8,8.0,11.0,No,20.5,90.0,31.0,0.5,27.75,1015.1,0.0,25.5
Darwin,17.3,30.7,7.0,10.4,No,17.5,112.5,35.5,4.0,25.55,1015.45,-22.5,26.5
Darwin,15.5,30.8,7.0,10.8,No,19.5,90.0,26.5,1.0,25.9,1014.45,22.5,26.5
Darwin,16.2,31.9,7.2,10.7,No,12.0,123.75,40.0,0.0,26.65,1014.0,-33.75,29.0
Darwin,17.0,32.7,5.2,7.8,No,16.5,123.75,36.0,3.5,27.4,1014.9000000000001,-33.75,31.5
Darwin,19.6,30.8,9.2,10.6,No,26.5,123.75,24.0,0.5,26.25,1016.4000000000001,-11.25,27.5
Darwin,17.3,29.2,9.6,10.6,No,27.5,123.75,20.5,0.5,24.450000000000003,1017.1500000000001,-11.25,22.5
Darwin,17.1,30.3,9.2,11.1,No,15.0,123.75,23.5,1.0,24.15,1015.75,-11.25,33.0
Darwin,17.7,30.6,8.0,10.9,No,15.5,78.75,16.0,0.5,26.2,1013.35,11.25,25.5
Darwin,14.7,30.9,7.0,11.0,No,14.0,168.75,41.5,0.5,25.6,1012.55,-123.75,21.0
Darwin,18.7,31.3,4.8,10.4,No,17.5,236.25,58.5,0.5,26.299999999999997,1013.95,56.25,10.5
Darwin,18.8,31.0,4.8,8.9,No,13.5,225.0,62.5,5.5,27.0,1013.95,-157.5,19.5
Darwin,21.4,33.1,4.0,11.0,No,14.5,236.25,54.5,1.0,28.35,1012.7,-123.75,26.5
Darwin,18.7,33.5,7.4,11.0,No,18.5,135.0,51.5,0.0,28.7,1011.85,-22.5,22.5
Darwin,17.2,33.4,6.6,11.3,No,17.5,101.25,28.0,0.0,28.75,1011.55,-11.25,25.5
Darwin,17.6,32.3,7.6,11.0,No,18.5,67.5,42.5,1.5,28.4,1011.75,-67.5,22.5
Darwin,21.4,29.9,5.4,8.1,No,12.0,202.5,59.0,2.0,28.4,1011.55,90.0,14.0
Darwin,21.9,31.4,4.8,8.4,No,14.5,247.5,77.5,4.0,26.75,1011.8,67.5,20.5
Darwin,21.4,32.7,5.4,10.9,No,22.0,225.0,53.0,0.5,27.45,1010.6,-90.0,19.0
Darwin,22.5,32.5,7.2,10.0,No,22.5,146.25,29.0,1.0,28.3,1010.95,-33.75,29.5
