Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Hobart,4.6,12.2,3.4,6.0,Yes,20.5,168.75,57.0,5.5,9.3,990.3,78.75,60.5
Hobart,5.1,10.8,3.6,3.2,Yes,25.0,270.0,69.0,7.0,7.25,997.1,0.0,58.0
Hobart,5.5,12.4,2.0,4.3,Yes,38.0,258.75,54.0,2.5,9.7,1011.9000000000001,-33.75,62.0
Hobart,0.9,10.4,0.2,8.3,No,13.0,157.5,65.0,1.0,6.4,1028.5,-180.0,15.0
Hobart,0.5,10.0,1.4,8.1,No,14.0,326.25,66.0,4.0,6.3,1026.8000000000002,11.25,14.0
Hobart,1.3,10.0,1.4,2.7,No,13.0,168.75,73.5,7.0,6.65,1019.7,168.75,28.0
Hobart,4.1,15.8,1.0,5.3,No,8.5,315.0,71.5,4.0,10.75,1016.2,22.5,30.5
Hobart,7.3,14.2,0.2,3.4,Yes,10.0,168.75,84.0,4.5,11.15,1017.4000000000001,168.75,14.0
Hobart,5.4,11.4,0.8,6.0,No,12.0,157.5,81.0,4.5,9.1,1015.0999999999999,157.5,23.0
Hobart,5.2,12.9,4.6,5.2,No,19.5,326.25,58.5,4.5,9.65,997.6,11.25,24.5
Hobart,3.7,10.0,0.2,5.0,Yes,24.0,270.0,59.0,4.5,8.3,1004.8499999999999,-45.0,28.0
Hobart,6.4,10.9,1.8,0.0,No,7.5,112.5,68.0,7.5,9.55,1015.65,-157.5,35.5
Hobart,6.5,13.0,3.0,4.4,No,14.0,326.25,66.5,6.5,9.899999999999999,1016.1,33.75,16.0
Hobart,5.1,13.1,2.4,7.4,No,11.0,202.5,76.0,5.0,8.7,1020.0,135.0,17.0
Hobart,5.7,12.4,1.0,3.7,No,11.0,247.5,78.5,5.5,9.35,1022.8499999999999,-90.0,15.0
Hobart,3.6,13.9,0.2,6.0,No,13.0,168.75,69.0,4.0,9.6,1000.7,168.75,33.0
Hobart,3.9,12.1,0.8,7.0,No,14.0,191.25,58.0,4.5,9.100000000000001,1005.1,101.25,27.0
Hobart,1.3,8.2,4.0,1.2,No,8.0,168.75,72.0,6.0,5.35,1009.95,168.75,20.0
Hobart,3.3,8.0,0.4,3.4,Yes,29.0,202.5,77.0,6.5,4.85,1002.55,22.5,36.0
Hobart,3.3,10.9,1.6,6.2,Yes,15.5,112.5,56.5,2.0,9.25,1021.25,135.0,36.5
Hobart,4.6,12.5,5.0,7.1,No,14.0,315.0,67.0,4.5,9.3,1030.75,-67.5,16.0
Hobart,2.7,12.8,1.2,7.1,No,14.0,326.25,60.0,2.0,8.7,1030.5500000000002,-11.25,16.0
Hobart,2.7,13.0,1.6,8.9,No,16.0,326.25,58.5,1.5,8.4,1022.95,11.25,14.0
Hobart,1.5,11.4,0.0,8.0,No,13.0,225.0,69.0,3.0,6.75,1015.9,90.0,17.0
Hobart,3.6,10.8,2.0,4.4,No,16.5,225.0,79.0,7.0,7.199999999999999,1017.75,-45.0,20.5
Hobart,4.8,10.0,1.0,1.3,Yes,16.0,191.25,80.5,7.0,7.300000000000001,1024.15,-11.25,23.0
Hobart,5.4,11.5,0.6,2.4,No,15.0,337.5,64.5,4.0,8.6,1021.7,22.5,13.0
Hobart,0.3,11.1,0.0,8.3,No,15.0,168.75,70.5,3.0,5.8999999999999995,1015.55,146.25,13.0
Hobart,1.1,14.1,0.6,8.3,No,23.5,337.5,63.5,6.0,9.35,1006.3499999999999,-22.5,11.5
Hobart,4.9,13.1,1.0,4.8,No,11.0,225.0,76.5,5.0,9.05,992.75,22.5,22.0
Hobart,6.4,12.0,0.4,3.9,No,22.0,135.0,62.0,5.5,9.600000000000001,1005.35,112.5,35.0
Hobart,4.7,15.2,1.8,9.3,No,15.0,213.75,61.5,1.0,10.2,1013.75,123.75,18.0
Hobart,4.7,15.9,2.2,9.3,No,13.0,337.5,57.5,1.0,10.8,1017.55,0.0,22.0
Hobart,4.5,16.2,1.4,8.6,No,16.0,337.5,58.5,2.0,11.95,1020.9,0.0,19.0
Hobart,3.7,14.3,1.6,8.5,No,13.0,225.0,61.0,5.0,10.25,1018.25,112.5,15.0
Hobart,6.1,13.2,1.4,2.2,No,11.0,202.5,77.0,6.5,9.45,1017.3,135.0,13.0
Hobart,3.9,13.1,0.8,8.6,No,17.0,236.25,60.5,1.5,9.0,1014.5,101.25,11.0
Hobart,1.8,10.4,2.0,2.1,No,8.0,236.25,75.5,6.5,6.65,1012.0999999999999,101.25,14.0
Hobart,1.7,12.7,0.6,9.1,No,14.0,213.75,65.5,3.0,7.6,1013.7,123.75,36.0
Hobart,4.6,11.9,1.8,5.1,No,23.5,135.0,58.5,5.5,8.25,1005.4000000000001,112.5,39.5
Hobart,2.0,11.1,2.4,3.6,Yes,26.5,292.5,53.0,7.0,8.75,1010.7,-22.5,51.5
Hobart,6.6,11.1,3.2,5.0,Yes,23.0,236.25,75.0,7.0,8.65,1008.35,-11.25,34.0
Hobart,5.4,9.5,2.0,6.6,Yes,11.0,168.75,70.5,5.0,7.5,1010.7,56.25,33.0
Hobart,4.3,10.0,3.8,5.6,Yes,24.0,191.25,66.0,7.0,7.6,1014.7,33.75,37.0
Hobart,5.0,12.3,0.2,5.8,Yes,13.0,247.5,78.5,4.0,8.0,1021.3499999999999,0.0,20.0
Hobart,1.2,13.5,0.2,8.3,No,16.5,168.75,59.5,3.0,9.2,1019.5,-168.75,39.5
Hobart,6.2,17.2,1.0,5.1,No,33.5,337.5,43.0,5.5,14.3,1008.95,0.0,57.5
Hobart,4.3,13.1,2.8,8.6,No,12.0,315.0,53.0,2.5,10.399999999999999,1013.4000000000001,22.5,27.0
Hobart,5.5,11.6,2.0,7.2,No,16.5,258.75,58.5,3.5,8.7,1014.4,-78.75,37.5
Hobart,1.4,12.7,2.2,9.5,Yes,14.0,292.5,53.0,1.5,8.600000000000001,1024.45,45.0,14.0
Hobart,3.3,14.0,2.4,8.7,No,8.5,180.0,61.0,4.0,10.9,1024.4499999999998,67.5,41.5
Hobart,4.0,15.5,2.4,7.6111775206611565,No,13.0,213.75,54.0,3.5,11.65,1025.6,123.75,20.0
Hobart,3.6,15.5,2.4,8.8,No,15.0,292.5,52.5,1.0,11.95,1020.9,0.0,20.0
Hobart,6.4,13.8,2.0,0.1,No,13.0,326.25,56.0,8.0,11.05,1013.2,-123.75,24.0
Hobart,5.2,16.2,1.0,6.9,No,12.0,258.75,56.0,5.5,12.600000000000001,1024.25,78.75,14.0
Hobart,4.0,13.8,1.4,10.6,No,12.0,67.5,61.5,1.0,11.45,1028.6,45.0,10.0
Hobart,5.1,16.6,1.6,8.0,No,15.5,213.75,61.0,1.5,11.75,1024.05,123.75,15.5
Hobart,5.1,17.5,2.2,4.4,No,20.5,337.5,58.5,7.0,12.9,1014.8,0.0,31.5
Hobart,9.0,19.5,2.4,5.9,No,15.0,315.0,53.0,6.5,14.75,997.1500000000001,-22.5,39.0
Hobart,7.3,13.7,3.4,5.7,No,31.5,326.25,48.0,4.5,11.8,1005.5,-11.25,31.5
Hobart,7.3,12.6,3.4,8.9,Yes,29.5,112.5,51.0,3.0,9.2,1017.6,-135.0,44.5
Hobart,2.4,14.0,3.2,10.2,No,14.0,56.25,53.5,2.5,9.45,1036.45,-78.75,19.0
Hobart,2.2,15.4,1.8,10.6,No,13.0,337.5,49.0,0.5,10.95,1035.2,0.0,18.0
Hobart,4.6,17.2,1.6,7.5,No,15.0,168.75,45.5,1.5,12.3,1024.4,146.25,24.0
Hobart,6.0,19.2,2.2,9.9,No,18.0,315.0,42.5,3.0,14.899999999999999,1018.3,0.0,19.0
Hobart,9.3,16.1,2.8,2.9,No,9.0,123.75,64.0,7.0,10.8,1012.75,-168.75,41.0
Hobart,4.8,10.6,1.8,8.2,No,19.5,180.0,58.0,6.5,8.25,1023.6,22.5,32.5
Hobart,3.4,12.1,2.0,8.4,No,8.0,135.0,49.0,3.5,10.4,1024.35,67.5,23.0
Hobart,4.2,16.1,2.4,6.8,No,15.0,337.5,57.0,5.0,12.55,1017.45,-135.0,13.0
Hobart,5.8,20.0,2.4,10.4,No,24.0,11.25,47.0,4.5,14.25,1008.3499999999999,-33.75,28.0
Hobart,10.2,18.9,3.6,5.4,No,27.0,337.5,59.0,7.0,15.049999999999999,996.7,-22.5,60.0
Hobart,10.9,21.0,5.4,7.6111775206611565,Yes,43.5,315.0,44.0,5.745703989294752,17.7,996.5999999999999,0.0,49.5
Hobart,12.8,20.0,5.4,9.3,No,37.0,326.25,45.0,5.745703989294752,17.2,987.8,11.25,50.0
Hobart,7.5,16.0,6.4,8.1,No,41.0,337.5,39.5,4.5,15.1,986.0,0.0,42.0
