Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Katherine,24.7,34.6,4.0,7.6111775206611565,No,18.0,292.5,61.5,5.0,31.4,1006.75,0.0,25.0
Katherine,25.2,31.1,6.4,7.6111775206611565,No,9.0,258.75,82.5,8.0,28.0,1006.35,33.75,17.0
Katherine,25.4,35.9,3.8,7.6111775206611565,No,14.0,236.25,68.5,6.0,32.15,1001.85,-56.25,34.0
Katherine,21.6,33.0,5.468231522922462,7.6111775206611565,Yes,16.5,303.75,79.5,6.5,28.15,1003.55,-33.75,20.5
Katherine,24.9,23.22134827564685,4.0,7.6111775206611565,No,13.0,292.5,75.0,5.0,30.25,1005.45,22.5,17.0
Katherine,12.19403438096892,35.9,5.468231522922462,7.6111775206611565,No,16.0,315.0,58.327140621689026,3.203701791522536,26.134816847293038,1006.15,67.5,30.0
Katherine,24.5,35.7,12.0,7.6111775206611565,No,14.0,281.25,65.0,4.0,31.5,1006.5999999999999,33.75,12.0
Katherine,25.2,36.5,6.0,7.6111775206611565,No,9.0,135.0,63.5,6.0,31.85,1006.8,-157.5,30.0
Katherine,21.7,32.8,6.6,7.6111775206611565,Yes,17.5,202.5,78.0,5.5,27.0,1006.8499999999999,-45.0,43.5
Katherine,21.7,35.9,4.2,7.6111775206611565,No,9.0,225.0,69.0,6.0,31.65,1005.0,-22.5,37.0
Katherine,23.4,34.6,6.0,7.6111775206611565,Yes,9.5,168.75,68.5,7.0,31.1,1005.05,-11.25,21.5
Katherine,23.2,37.3,4.0,7.6111775206611565,No,14.0,292.5,63.0,1.5,31.9,1006.0,112.5,45.0
Katherine,22.9,37.0,5.4,7.6111775206611565,No,13.0,292.5,65.5,4.5,31.1,1006.7,22.5,17.0
Katherine,25.1,37.5,6.0,7.6111775206611565,No,15.5,281.25,62.0,4.0,32.85,1009.2,168.75,58.5
Katherine,23.4,37.4,9.0,7.6111775206611565,No,10.0,236.25,59.424202867712054,1.0,32.55,1010.1,-101.25,53.0
Katherine,23.0,36.8,7.2,7.6111775206611565,Yes,9.0,213.75,56.5,2.5,32.1,1009.55,-146.25,15.0
Katherine,22.9,37.0,5.0,7.6111775206611565,No,5.5,202.5,57.0,1.0,32.55,1009.1,90.0,16.5
Katherine,22.6,37.0,7.4,7.6111775206611565,No,10.0,123.75,54.0,1.0,33.05,1009.2,-78.75,25.0
Katherine,24.8,37.5,9.4,7.6111775206611565,No,10.5,326.25,50.0,1.5,33.3,1010.0,168.75,11.5
Katherine,24.0,38.1,3.8,7.6111775206611565,No,8.0,303.75,58.924202867712054,1.5,33.7,1007.85,123.75,16.0
Katherine,24.4,37.9,6.0,7.6111775206611565,No,10.0,157.5,60.924202867712054,3.245703989294752,25.5485392344303,1009.0,112.5,18.0
Katherine,23.8,36.5,10.0,7.6111775206611565,No,14.0,67.5,54.5,4.5,32.6,1009.4,-22.5,14.0
