Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Melbourne,9.5,15.4,2.8,7.0,Yes,36.0,270.0,49.0,4.0,12.8,1008.55,0.0,27.0
Melbourne,11.0,14.5,5.2,4.0,No,32.5,258.75,59.0,5.5,12.75,1014.8,11.25,30.5
Melbourne,8.4,14.1,2.0,0.8,Yes,20.5,270.0,65.0,7.0,12.25,1024.55,0.0,18.5
Melbourne,9.1,14.5,1.8,4.2,No,8.0,168.75,68.0,6.5,11.649999999999999,1029.6,-78.75,11.0
Melbourne,4.3,15.5,0.8,8.4,No,27.0,11.25,66.5,3.5,10.05,1026.9,-11.25,25.0
Melbourne,5.5,15.4,2.8,3.0,No,37.5,168.75,58.0,6.0,13.1,1021.6,-168.75,36.5
Melbourne,11.5,14.3,3.0,1.0,No,25.0,0.0,68.0,7.5,12.75,1014.5999999999999,22.5,32.0
Melbourne,6.9,10.4,1.2,0.3,Yes,12.0,0.0,75.5,7.5,8.8,1017.05,0.0,25.0
Melbourne,3.6,14.8,0.4,6.5,Yes,14.0,123.75,78.0,4.0,8.65,1021.35,-123.75,21.0
Melbourne,4.2,13.5,2.2,7.0,Yes,30.5,146.25,60.0,4.5,10.6,1008.05,146.25,38.5
Melbourne,7.4,13.5,1.8,5.6,No,26.0,258.75,63.5,4.5,11.1,1017.4,-11.25,26.0
Melbourne,6.6,11.3,2.0,0.0,No,34.0,0.0,60.5,7.5,9.350000000000001,1020.85,0.0,57.0
Melbourne,8.4,14.3,3.8,4.2,No,38.5,0.0,52.0,5.5,12.55,1015.75,0.0,48.5
Melbourne,7.4,18.9,2.6,9.4,No,16.5,101.25,51.0,3.0,13.2,1016.8,-101.25,37.5
Melbourne,8.4,17.6,2.8,3.4,No,20.5,0.0,60.5,6.5,13.450000000000001,1019.05,22.5,18.5
Melbourne,6.2,16.4,2.6,8.3,No,24.5,0.0,70.5,3.5,10.8,1020.45,0.0,18.5
Melbourne,7.5,13.6,1.8,1.0,No,32.5,0.0,58.5,7.0,12.4,1011.35,0.0,26.5
Melbourne,9.1,12.4,1.8,2.1,No,19.5,270.0,78.5,7.5,10.5,1008.6,-45.0,36.5
Melbourne,6.4,14.1,1.4,1.4,Yes,38.0,0.0,64.5,7.0,10.65,1010.85,0.0,34.0
