Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
MelbourneAirport,11.2,19.9,5.6,8.8,No,38.0,247.5,46.0,7.0,17.0,1005.75,-22.5,31.0
MelbourneAirport,7.8,17.8,7.2,12.9,Yes,28.5,191.25,46.5,6.5,14.15,1018.65,-33.75,27.5
MelbourneAirport,6.3,21.1,6.2,10.5,No,16.0,135.0,43.0,4.0,16.5,1019.2,22.5,15.0
MelbourneAirport,8.1,29.2,6.4,12.5,No,11.0,101.25,45.0,4.5,22.1,1014.5,56.25,24.0
MelbourneAirport,9.7,29.0,7.4,12.3,No,14.5,191.25,41.0,4.0,23.25,1011.0999999999999,-56.25,18.5
MelbourneAirport,13.5,31.7,7.2,13.7,No,19.5,101.25,42.0,0.5,25.55,1009.2,56.25,30.5
MelbourneAirport,15.8,21.4,8.8,4.4,No,22.5,180.0,82.5,7.5,17.95,1009.95,0.0,23.5
MelbourneAirport,9.7,18.4,5.2,11.5,No,31.5,180.0,46.5,3.5,16.1,1018.15,-45.0,24.5
MelbourneAirport,10.2,19.7,5.6,12.6,No,23.5,168.75,46.5,4.5,16.75,1019.7,11.25,19.5
MelbourneAirport,10.7,23.6,7.2,10.2,No,15.5,213.75,61.0,4.0,18.15,1012.05,-33.75,27.5
MelbourneAirport,10.7,23.5,6.6,10.2,No,13.0,191.25,64.5,4.5,18.9,1010.85,-11.25,28.0
MelbourneAirport,10.4,25.1,5.2,7.8,No,14.0,168.75,60.0,6.5,18.85,1018.0,-11.25,12.0
MelbourneAirport,11.5,37.1,6.8,13.5,No,28.5,168.75,25.5,0.0,30.05,1011.9,-168.75,23.5
MelbourneAirport,24.9,33.5,18.6,12.3,No,29.5,90.0,28.5,3.5,28.0,1008.45,-90.0,27.5
MelbourneAirport,13.8,23.1,9.2,10.1,No,25.0,180.0,50.0,6.0,18.95,1015.15,45.0,19.0
MelbourneAirport,12.7,21.6,8.6,9.9,No,28.0,202.5,46.0,6.5,17.65,1017.9,45.0,33.0
MelbourneAirport,12.5,19.8,8.8,12.1,No,27.0,168.75,47.0,3.0,16.65,1022.7,11.25,14.0
MelbourneAirport,7.5,26.3,6.6,13.0,No,13.5,146.25,49.5,0.5,19.6,1020.45,11.25,17.5
MelbourneAirport,11.9,37.0,7.8,13.4,No,25.0,146.25,14.5,1.0,30.799999999999997,1011.3,-146.25,29.0
MelbourneAirport,18.4,40.2,15.8,12.0,No,37.0,78.75,22.0,2.0,29.4,1005.8,146.25,63.0
MelbourneAirport,12.8,28.8,14.4,10.9,No,16.5,101.25,56.5,6.5,22.450000000000003,1008.5,78.75,20.5
MelbourneAirport,15.1,35.6,8.0,7.6,No,43.5,326.25,33.0,7.5,30.900000000000002,996.1500000000001,-56.25,50.5
MelbourneAirport,9.8,32.3,15.6,12.3,No,16.5,157.5,28.5,2.5,22.799999999999997,1005.5,135.0,42.5
MelbourneAirport,15.3,24.2,12.8,11.4,No,30.0,247.5,39.5,4.0,19.9,1009.85,0.0,24.0
MelbourneAirport,9.2,29.0,8.0,13.3,No,15.5,78.75,36.0,0.0,22.45,1017.3499999999999,101.25,23.5
MelbourneAirport,11.4,24.8,7.2,12.7,No,19.5,157.5,59.0,4.0,20.25,1021.55,0.0,26.5
MelbourneAirport,14.9,36.0,7.6,12.3,No,16.5,90.0,46.5,1.0,26.650000000000002,1015.9,-90.0,20.5
MelbourneAirport,16.6,43.1,12.0,13.4,No,19.5,168.75,12.5,0.5,36.4,1010.8,-168.75,30.5
