Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
MountGambier,6.6,18.7,5.0,10.6,Yes,25.0,292.5,56.0,3.0,15.600000000000001,1009.15,0.0,36.0
MountGambier,8.9,18.1,5.4,3.6,No,24.0,303.75,61.5,8.0,15.3,1009.3499999999999,-33.75,26.0
MountGambier,10.1,19.3,3.2,12.0,No,22.0,236.25,60.0,5.5,15.899999999999999,1012.9,11.25,21.0
MountGambier,5.9,21.2,4.4,1.6,No,21.5,45.0,54.0,8.0,17.1,1012.15,-22.5,28.5
MountGambier,13.6,19.3,3.8,1.8,Yes,31.5,303.75,75.5,7.5,17.4,1006.3,-11.25,31.5
MountGambier,12.7,19.6,2.4,8.6,No,32.5,292.5,63.5,6.0,17.1,1008.8,-22.5,24.5
MountGambier,10.2,16.8,5.8,2.3,No,18.5,225.0,55.5,7.0,14.5,1014.95,0.0,20.5
MountGambier,11.1,21.0,4.0,9.4,No,20.5,247.5,46.5,6.5,17.15,1013.15,-45.0,14.5
MountGambier,6.9,16.5,3.4,3.9,No,18.5,90.0,89.0,7.5,12.1,1007.3499999999999,67.5,14.5
MountGambier,7.5,19.9,2.0,14.0,Yes,27.5,146.25,50.5,3.5,17.1,1013.2,11.25,22.5
MountGambier,6.2,25.8,5.0,10.8,No,20.5,101.25,40.5,1.0,19.7,1012.55,11.25,14.5
MountGambier,13.6,15.4,6.8,0.0,No,14.5,56.25,89.0,8.0,14.35,1002.75,101.25,44.5
MountGambier,11.4,14.9,5.468231522922462,0.0,Yes,35.0,191.25,80.0,8.0,12.75,1004.05,-33.75,28.0
MountGambier,11.0,15.9,1.0,1.9,Yes,23.0,180.0,65.0,7.5,14.4,1011.95,22.5,18.0
MountGambier,10.6,19.9,3.0,8.6,No,23.5,258.75,55.5,7.5,16.4,1013.3499999999999,-11.25,22.5
MountGambier,11.4,19.3,4.4,2.8,No,18.5,281.25,80.5,7.0,16.25,1013.1,-56.25,24.5
MountGambier,12.4,19.7,2.2,0.1,Yes,15.0,112.5,75.5,7.0,16.5,1010.95,45.0,16.0
MountGambier,8.9,18.5,4.0,12.5,No,27.0,180.0,45.5,1.5,16.7,1018.15,22.5,14.0
MountGambier,6.2,24.9,4.8,14.0,No,15.5,123.75,51.0,1.5,19.75,1019.65,56.25,17.5
MountGambier,11.3,30.2,5.4,9.3,No,19.5,11.25,28.0,7.0,25.1,1012.4000000000001,11.25,21.5
MountGambier,18.2,20.6,12.2,2.3,No,30.0,281.25,67.5,7.5,19.0,1006.6500000000001,78.75,24.0
MountGambier,13.7,20.5,3.4,6.5,No,19.5,180.0,56.0,5.5,17.3,1015.75,0.0,13.5
MountGambier,6.6,25.4,3.8,13.8,No,22.5,168.75,46.0,1.0,20.5,1012.65,78.75,23.5
MountGambier,9.3,24.0,7.0,13.2,No,16.0,157.5,51.5,5.5,20.15,1014.25,45.0,17.0
MountGambier,11.2,25.8,5.2,11.8,No,13.0,202.5,56.5,6.5,21.6,1009.45,0.0,17.0
MountGambier,12.9,22.8,4.6,13.4,No,18.5,236.25,58.0,5.5,19.8,1006.6,33.75,20.5
MountGambier,13.3,20.6,6.2,5.1,No,26.0,281.25,74.0,7.5,18.15,1004.45,11.25,30.0
MountGambier,10.7,19.1,4.8,9.3,No,29.0,258.75,47.0,6.0,17.049999999999997,1010.15,11.25,19.0
MountGambier,13.2,18.8,4.0,8.8,Yes,34.5,258.75,55.0,7.0,16.9,1006.4000000000001,11.25,24.5
MountGambier,12.2,19.6,4.6,7.1,No,27.5,270.0,57.5,7.0,16.6,1007.0,0.0,24.5
MountGambier,12.6,17.0,4.8,6.5,No,31.5,225.0,54.5,6.0,15.450000000000001,1009.95,0.0,24.5
MountGambier,7.3,18.8,4.8,11.7,No,24.0,191.25,42.5,3.0,16.45,1020.6,11.25,19.0
MountGambier,4.0,22.6,4.6,11.9,No,13.0,112.5,44.0,5.0,17.3,1018.75,90.0,30.0
MountGambier,6.2,25.3,4.8,13.8,No,15.5,157.5,50.0,2.0,20.25,1015.0,45.0,17.5
MountGambier,6.2,23.1,5.6,13.6,No,19.5,258.75,56.5,4.5,19.05,1014.05,-11.25,17.5
MountGambier,12.7,24.7,5.4,8.5,No,24.0,281.25,77.5,6.5,19.0,1011.15,-33.75,19.0
MountGambier,13.7,21.2,4.8,8.0,Yes,22.5,213.75,65.0,6.5,17.35,1012.65,11.25,21.5
MountGambier,10.1,19.3,5.8,11.7,No,28.5,202.5,43.0,6.5,17.3,1020.6500000000001,-22.5,19.5
MountGambier,6.4,21.6,5.2,9.9,No,23.5,135.0,46.5,6.5,18.05,1019.7,45.0,19.5
MountGambier,9.0,22.5,5.2,13.8,No,25.5,168.75,53.0,1.0,18.9,1012.95,11.25,20.5
MountGambier,7.7,22.6,6.4,11.2,No,17.5,202.5,53.5,4.0,18.4,1013.0,0.0,21.5
MountGambier,14.0,27.2,4.8,11.6,No,10.5,180.0,58.0,4.0,22.05,1017.25,0.0,22.5
MountGambier,13.6,39.3,6.0,13.0,No,32.5,157.5,16.0,1.0,32.400000000000006,1008.45,-180.0,30.5
MountGambier,11.8,22.1,5.0,12.1,No,25.0,236.25,50.0,4.0,19.25,1017.25,11.25,21.0
MountGambier,13.3,19.9,6.6,12.0,No,30.5,213.75,50.5,6.0,16.85,1022.15,-11.25,15.5
MountGambier,6.8,23.1,5.4,13.4,No,19.5,157.5,43.5,2.0,19.4,1023.6500000000001,45.0,15.5
MountGambier,4.9,29.0,5.4,13.8,No,17.5,146.25,39.0,0.0,22.65,1019.5,56.25,21.5
MountGambier,9.7,33.7,7.2,13.4,No,20.5,112.5,23.0,1.5,27.75,1010.5,157.5,22.5
MountGambier,12.3,30.2,8.4,12.0,No,14.0,281.25,43.0,7.0,24.65,1007.25,-33.75,34.0
MountGambier,9.0,25.7,7.0,10.8,No,19.5,303.75,56.0,4.0,20.950000000000003,1009.55,-56.25,23.5
MountGambier,14.9,22.7,8.2,5.2,No,44.5,303.75,46.5,7.0,20.9,998.35,11.25,35.5
MountGambier,7.8,24.5,6.6,7.4,No,26.5,168.75,45.5,4.0,19.45,1004.7,146.25,27.5
MountGambier,12.9,20.6,5.6,11.6,Yes,25.0,258.75,45.5,4.5,17.65,1012.2,11.25,21.0
MountGambier,5.7,24.6,5.2,13.3,No,11.0,270.0,52.0,3.0,19.4,1018.6,-90.0,26.0
MountGambier,7.8,27.6,5.2,13.4,No,20.5,157.5,59.0,4.0,22.450000000000003,1021.0999999999999,22.5,16.5
MountGambier,10.6,39.5,6.6,13.3,No,14.0,135.0,33.5,0.5,29.75,1013.7,-135.0,25.0
MountGambier,21.1,43.6,10.8,13.2,No,27.0,101.25,13.0,2.0,35.5,1008.2,-101.25,21.0
MountGambier,21.2,43.6,13.8,11.4,No,32.5,337.5,17.5,4.5,37.650000000000006,1007.45,-22.5,36.5
MountGambier,20.5,36.8,14.2,12.6,No,25.0,180.0,45.0,1.5,29.75,1010.6,0.0,27.0
MountGambier,17.5,32.4,8.6,9.7,No,27.0,168.75,56.5,6.0,26.5,1014.6,-11.25,27.0
MountGambier,16.6,32.2,6.4,10.6,No,26.0,180.0,53.5,6.5,26.25,1014.75,22.5,15.0
MountGambier,17.3,25.8,7.8,7.4,No,27.0,191.25,74.5,7.0,21.65,1013.1,-33.75,16.0
MountGambier,16.7,31.7,4.4,9.5,No,20.5,112.5,56.5,4.5,24.1,1011.7,0.0,16.5
MountGambier,13.0,35.1,5.6,13.2,No,17.5,135.0,45.5,0.0,27.200000000000003,1007.05,45.0,21.5
MountGambier,16.0,25.2,9.0,7.9,No,22.5,202.5,60.5,2.0,22.05,1009.5,22.5,16.5
MountGambier,9.5,30.1,4.6,9.3,No,16.5,123.75,62.0,4.0,20.1,1008.1,101.25,37.5
MountGambier,16.6,34.5,6.2,8.9,No,12.0,135.0,53.5,5.0,25.0,1001.75,112.5,45.0
MountGambier,14.1,21.8,7.4,6.4,No,23.5,236.25,46.0,7.0,18.6,1015.5,11.25,24.5
MountGambier,9.3,20.1,5.2,11.1,No,21.5,191.25,39.5,5.5,17.05,1019.8,-11.25,32.5
MountGambier,7.4,19.7,6.0,7.7,No,28.0,202.5,65.0,6.5,13.75,1021.0,0.0,26.0
MountGambier,11.9,19.0,2.6,1.7,No,29.5,180.0,51.5,7.5,15.0,1023.1,0.0,22.5
MountGambier,11.6,21.6,4.0,11.9,No,33.5,157.5,41.0,3.5,18.450000000000003,1023.6,0.0,23.5
MountGambier,7.1,27.3,5.4,12.7,No,26.0,90.0,39.0,0.5,20.65,1024.5,90.0,13.0
MountGambier,8.8,26.5,6.0,11.6,No,13.5,157.5,51.0,4.0,20.8,1021.2,22.5,27.5
