Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Nhil,9.8,27.4,5.468231522922462,7.6111775206611565,No,29.0,146.25,44.5,4.449405780817289,19.8,1020.25,-11.25,25.0
Nhil,12.6,30.1,5.468231522922462,7.6111775206611565,No,27.0,112.5,41.0,4.449405780817289,21.8,1021.3,0.0,19.0
Nhil,13.7,30.6,5.468231522922462,7.6111775206611565,No,21.0,56.25,38.5,4.449405780817289,24.15,1019.4,11.25,29.0
Nhil,16.9,32.4,5.468231522922462,7.6111775206611565,No,18.5,56.25,37.5,4.449405780817289,26.5,1017.4,11.25,29.5
Nhil,18.9,34.2,5.468231522922462,7.6111775206611565,No,24.0,90.0,36.5,4.449405780817289,27.450000000000003,1015.7,45.0,30.0
Nhil,19.4,35.2,5.468231522922462,7.6111775206611565,No,13.0,135.0,33.5,4.449405780817289,28.200000000000003,1014.05,-45.0,15.0
Nhil,21.5,35.2,5.468231522922462,7.6111775206611565,No,9.0,225.0,37.0,4.449405780817289,28.75,1014.85,-112.5,24.0
Nhil,23.1,37.3,5.468231522922462,7.6111775206611565,No,15.0,45.0,30.0,4.449405780817289,30.549999999999997,1015.7,0.0,18.0
Nhil,20.5,36.5,5.468231522922462,7.6111775206611565,No,15.5,11.25,25.0,4.449405780817289,30.25,1013.95,-146.25,27.5
Nhil,21.7,37.7,5.468231522922462,7.6111775206611565,No,12.0,180.0,32.0,4.449405780817289,29.85,1014.8499999999999,-90.0,18.0
Nhil,21.4,39.0,5.468231522922462,7.6111775206611565,No,13.0,33.75,25.5,4.449405780817289,31.85,1014.65,-56.25,30.0
Nhil,22.4,38.5,5.468231522922462,7.6111775206611565,No,17.5,22.5,23.0,4.449405780817289,31.65,1012.1500000000001,-45.0,32.5
Nhil,18.1,25.4,5.468231522922462,7.6111775206611565,No,30.5,213.75,42.0,4.449405780817289,21.95,1011.6,56.25,23.5
Nhil,11.9,26.5,5.468231522922462,7.6111775206611565,No,22.0,213.75,41.5,4.449405780817289,20.35,1016.05,-33.75,24.0
Nhil,9.2,26.9,5.468231522922462,7.6111775206611565,No,14.0,180.0,54.5,4.449405780817289,19.3,1017.9000000000001,45.0,27.0
Nhil,13.5,23.8,5.468231522922462,7.6111775206611565,No,24.0,213.75,74.5,4.449405780817289,17.0,1017.15,11.25,39.0
Nhil,6.7,21.3,5.468231522922462,7.6111775206611565,No,22.5,180.0,49.5,4.449405780817289,14.899999999999999,1025.4499999999998,-22.5,27.5
Nhil,6.7,23.5,5.468231522922462,7.6111775206611565,No,16.0,157.5,55.0,4.449405780817289,16.1,1023.9000000000001,-67.5,32.0
Nhil,9.9,25.9,5.468231522922462,7.6111775206611565,No,11.0,112.5,49.0,4.449405780817289,19.45,1022.05,0.0,19.0
Nhil,12.1,30.9,5.468231522922462,7.6111775206611565,No,19.5,33.75,28.0,4.449405780817289,23.0,1015.85,-56.25,19.5
Nhil,16.2,25.0,5.468231522922462,7.6111775206611565,No,44.0,146.25,33.5,4.449405780817289,23.6,1002.0,146.25,45.0
Nhil,12.5,18.3,5.468231522922462,7.6111775206611565,No,17.5,292.5,55.5,4.449405780817289,16.05,1014.55,0.0,25.5
Nhil,10.3,24.7,5.468231522922462,7.6111775206611565,No,23.0,315.0,62.5,4.449405780817289,17.75,1016.1500000000001,-22.5,25.0
Nhil,12.2,24.3,5.468231522922462,7.6111775206611565,No,27.5,292.5,65.0,4.449405780817289,19.65,1014.55,-22.5,28.5
Nhil,11.0,33.5,5.468231522922462,7.6111775206611565,No,16.5,11.25,41.5,4.449405780817289,24.75,1013.1,-33.75,22.5
Nhil,17.1,31.5,5.468231522922462,7.6111775206611565,No,20.5,157.5,26.5,4.449405780817289,26.950000000000003,1007.3,157.5,42.5
