Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
NorfolkIsland,20.4,25.8,6.0,12.4,No,16.0,326.25,77.5,2.0,24.0,1014.05,11.25,15.0
NorfolkIsland,20.9,26.7,8.0,10.3,No,10.5,33.75,78.0,3.5,25.05,1015.9,-33.75,20.5
NorfolkIsland,22.3,26.3,3.2,2.0,No,12.5,101.25,88.5,7.0,24.25,1014.45,-11.25,22.5
NorfolkIsland,21.6,22.2,2.8,0.0,Yes,21.0,112.5,93.5,8.0,21.65,1015.65,0.0,20.0
NorfolkIsland,20.4,23.5,2.2,2.9,Yes,26.0,112.5,86.0,7.0,21.700000000000003,1014.5,0.0,26.0
NorfolkIsland,20.4,24.4,3.0,8.7,No,27.0,112.5,81.5,4.0,22.35,1013.6,-22.5,21.0
NorfolkIsland,20.2,24.2,7.2,6.0,No,29.5,112.5,82.5,4.0,22.6,1013.55,0.0,22.5
NorfolkIsland,20.5,24.0,4.4,6.0,No,28.0,123.75,82.0,6.0,22.65,1010.45,-33.75,24.0
NorfolkIsland,20.9,22.0,5.0,0.0,No,30.5,157.5,93.5,8.0,21.75,1002.15,0.0,30.5
NorfolkIsland,18.5,23.1,15.0,3.0,Yes,39.5,123.75,70.5,6.5,20.950000000000003,1001.45,11.25,41.5
NorfolkIsland,19.7,22.8,5.4,1.2,No,29.0,135.0,82.5,7.0,21.85,1006.65,0.0,25.0
NorfolkIsland,19.8,23.8,4.0,12.0,No,23.0,135.0,78.0,5.0,21.8,1010.85,0.0,14.0
NorfolkIsland,19.2,23.2,7.2,7.1,No,21.0,157.5,77.0,7.0,21.6,1010.9,0.0,14.0
NorfolkIsland,17.3,22.5,5.0,10.4,Yes,24.0,146.25,64.5,2.5,20.799999999999997,1012.8,11.25,22.0
NorfolkIsland,18.5,23.6,8.0,12.7,No,24.0,146.25,66.5,1.5,21.9,1015.15,-11.25,13.0
NorfolkIsland,17.3,22.8,5.2,11.9,No,14.0,146.25,62.0,1.0,21.450000000000003,1016.55,11.25,12.0
NorfolkIsland,16.2,23.4,5.8,9.6,No,13.0,146.25,63.5,4.0,21.55,1014.2,168.75,17.0
NorfolkIsland,17.9,22.6,5.8,5.1,Yes,19.5,180.0,75.0,7.5,20.4,1014.7,67.5,30.5
NorfolkIsland,16.5,22.5,5.0,10.6,No,16.0,146.25,59.0,1.5,21.25,1018.35,11.25,15.0
NorfolkIsland,17.0,23.0,6.0,12.2,No,18.0,135.0,61.0,1.5,21.55,1021.55,-45.0,17.0
NorfolkIsland,16.9,23.6,8.0,13.0,No,26.0,101.25,64.0,1.0,22.0,1022.3499999999999,-11.25,15.0
NorfolkIsland,19.3,24.0,7.8,11.8,No,26.0,112.5,74.5,2.0,22.4,1021.55,-22.5,20.0
NorfolkIsland,20.2,24.5,7.0,2.6,No,26.0,78.75,74.0,7.0,23.0,1019.65,11.25,20.0
NorfolkIsland,20.1,25.1,2.6,9.1,No,29.5,101.25,77.5,2.5,23.4,1017.5,-11.25,22.5
NorfolkIsland,20.5,25.1,7.2,10.4,No,29.5,78.75,74.5,4.0,23.3,1018.2,-11.25,16.5
NorfolkIsland,19.6,24.7,6.8,12.1,No,23.0,101.25,70.0,5.5,22.8,1017.65,-11.25,18.0
NorfolkIsland,18.6,23.9,7.6,13.0,No,18.5,146.25,66.5,2.5,22.1,1015.45,11.25,11.5
NorfolkIsland,17.8,24.2,5.6,12.7,No,17.0,123.75,73.5,2.5,22.200000000000003,1016.25,33.75,18.0
NorfolkIsland,19.5,24.1,8.8,11.5,No,22.0,123.75,68.0,2.5,22.6,1018.7,-11.25,19.0
NorfolkIsland,18.2,24.2,7.8,12.1,No,24.0,135.0,63.5,1.5,22.9,1018.9,0.0,17.0
NorfolkIsland,20.1,23.7,7.2,8.9,No,25.0,123.75,72.0,5.0,22.05,1018.45,-11.25,18.0
NorfolkIsland,19.3,23.6,5.4,1.1,Yes,19.5,123.75,79.0,7.5,21.8,1015.0,11.25,17.5
NorfolkIsland,19.9,24.2,4.2,6.5,No,19.5,135.0,77.0,6.5,22.7,1013.75,22.5,15.5
NorfolkIsland,19.6,24.8,5.6,8.3,No,20.0,90.0,71.0,7.0,23.25,1012.6,0.0,17.0
NorfolkIsland,20.0,25.0,5.2,3.8,No,16.0,123.75,82.5,7.0,22.700000000000003,1010.7,-33.75,19.0
NorfolkIsland,21.5,22.1,4.2,0.0,Yes,24.0,112.5,95.0,8.0,21.75,1007.4000000000001,0.0,20.0
NorfolkIsland,20.6,23.1,2.8,0.0,Yes,33.5,135.0,94.0,8.0,21.799999999999997,999.7,0.0,33.5
NorfolkIsland,21.5,25.5,0.4,1.2,Yes,28.5,90.0,94.0,7.5,24.1,1004.25,45.0,32.5
NorfolkIsland,22.2,26.8,0.6,9.7,Yes,22.5,11.25,83.5,4.0,25.25,1012.35,-11.25,20.5
NorfolkIsland,23.7,25.4,4.8,0.1,No,21.0,0.0,92.0,7.5,24.450000000000003,1013.35,-22.5,35.0
NorfolkIsland,22.2,26.3,3.4,10.6,Yes,17.5,315.0,82.5,4.0,24.9,1012.95,22.5,15.5
NorfolkIsland,20.9,27.1,4.8,10.0,No,17.0,33.75,86.5,7.0,24.6,1011.9,-33.75,20.0
NorfolkIsland,23.6,27.0,6.4,5.0,No,26.0,157.5,87.0,4.0,25.7,1008.55,-157.5,24.0
NorfolkIsland,21.7,25.5,4.0,6.3,Yes,22.0,157.5,77.0,5.5,23.6,1014.85,-22.5,22.0
NorfolkIsland,20.2,23.4,8.0,4.7,No,24.0,135.0,62.0,6.5,22.05,1016.75,0.0,24.0
NorfolkIsland,20.0,24.7,6.8,5.0,No,26.0,90.0,71.5,7.0,22.950000000000003,1013.45,0.0,20.0
