Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Nuriootpa,13.3,22.7,5.468231522922462,12.2,No,25.0,247.5,51.5,4.5,18.9,1010.9,0.0,36.0
Nuriootpa,7.0,22.4,8.0,12.8,No,18.5,112.5,36.0,2.5,17.25,1018.95,22.5,22.5
Nuriootpa,10.5,28.9,8.0,12.9,No,13.0,90.0,24.0,4.5,21.6,1016.25,45.0,28.0
Nuriootpa,9.8,33.1,8.0,11.7,No,18.5,180.0,15.0,5.5,28.15,1012.95,67.5,18.5
Nuriootpa,12.5,32.6,11.2,13.3,No,13.0,191.25,19.0,0.5,26.5,1013.7,78.75,22.0
Nuriootpa,12.1,33.8,10.0,13.7,No,14.5,146.25,18.5,0.0,28.4,1010.5,78.75,35.5
Nuriootpa,11.7,26.0,11.6,11.8,No,14.0,225.0,55.827140621689026,3.5,21.45,1012.55,22.5,29.0
Nuriootpa,9.0,23.3,8.0,13.2,No,18.5,157.5,39.0,5.0,18.9,1018.8499999999999,-22.5,24.5
Nuriootpa,9.8,24.9,9.0,8.7,No,17.5,78.75,32.5,7.0,18.3,1016.6500000000001,56.25,28.5
Nuriootpa,12.0,29.4,7.6,13.1,No,11.0,67.5,29.0,2.745703989294752,23.1,1010.5,90.0,30.0
Nuriootpa,11.2,28.3,7.6,12.2,No,15.5,180.0,40.5,1.5,22.5,1011.2,-45.0,36.5
Nuriootpa,13.0,32.4,8.8,13.2,No,13.5,45.0,33.0,0.5,24.5,1015.5,90.0,30.5
Nuriootpa,17.9,40.3,10.6,13.7,No,26.5,157.5,7.5,0.0,34.85,1009.75,-180.0,21.5
Nuriootpa,17.2,34.8,14.8,11.6,No,9.5,303.75,47.0,2.0,27.2,1010.9,-11.25,25.5
Nuriootpa,10.8,27.3,9.6,11.8,No,14.0,202.5,43.0,4.0,21.6,1017.85,0.0,25.0
Nuriootpa,7.9,27.5,8.0,12.9,No,18.5,191.25,39.5,1.0,21.75,1021.2,-33.75,22.5
Nuriootpa,10.2,26.6,8.0,13.0,No,15.0,123.75,32.0,3.0,19.7,1021.4,-11.25,24.0
Nuriootpa,14.2,31.6,10.0,13.3,No,16.0,78.75,19.5,3.0,25.6,1017.45,56.25,19.0
Nuriootpa,12.3,38.0,10.2,13.4,No,16.5,146.25,11.0,0.0,32.650000000000006,1010.55,101.25,31.5
Nuriootpa,13.5,36.3,14.0,12.6,No,14.0,135.0,15.0,3.5,31.549999999999997,1008.05,112.5,38.0
Nuriootpa,14.1,30.7,12.6,12.5,No,13.0,146.25,42.0,1.0,24.55,1009.0999999999999,101.25,24.0
Nuriootpa,11.9,29.5,10.2,11.4,No,33.5,281.25,32.0,6.0,25.1,1003.15,-33.75,33.5
Nuriootpa,9.4,29.0,10.6,12.5,No,21.5,157.5,36.5,1.0,23.1,1006.1500000000001,112.5,34.5
Nuriootpa,14.6,27.0,10.4,11.4,No,18.5,236.25,46.5,5.745703989294752,20.6,1012.6500000000001,33.75,31.5
Nuriootpa,10.7,32.9,9.4,13.1,No,14.0,157.5,33.5,0.0,24.299999999999997,1016.7,-22.5,12.0
Nuriootpa,13.7,33.9,9.8,13.2,No,18.5,101.25,32.5,0.0,25.65,1018.3499999999999,33.75,20.5
Nuriootpa,16.1,41.7,11.4,12.2,No,12.0,191.25,12.5,2.0,34.95,1012.75,-146.25,19.0
Nuriootpa,21.1,44.1,15.2,11.6,No,18.0,168.75,9.5,4.0,38.8,1007.9000000000001,-168.75,52.0
Nuriootpa,26.9,42.5,15.2,10.9,No,15.0,168.75,13.0,3.0,38.15,1009.6,146.25,33.0
Nuriootpa,22.0,41.9,14.8,12.7,No,12.0,11.25,14.0,2.5,37.4,1010.0,-33.75,42.0
Nuriootpa,23.1,41.0,14.9,9.8,No,11.0,101.25,20.5,6.0,36.35,1011.5999999999999,33.75,48.0
Nuriootpa,23.2,39.8,14.8,7.1,No,13.0,157.5,31.0,6.5,31.95,1012.1500000000001,-45.0,41.0
Nuriootpa,24.9,37.4,11.8,9.1,No,22.5,123.75,27.5,5.5,31.9,1010.7,33.75,29.5
Nuriootpa,18.2,37.7,12.0,12.6,No,13.0,112.5,38.0,3.0,30.299999999999997,1009.15,135.0,18.0
Nuriootpa,12.8,35.6,11.4,13.1,No,14.0,258.75,42.5,0.0,28.049999999999997,1007.0,11.25,25.0
Nuriootpa,12.6,36.1,10.6,12.3,No,12.0,157.5,44.5,0.0,28.450000000000003,1007.75,112.5,18.0
Nuriootpa,17.7,41.7,9.8,10.0,No,18.0,45.0,26.0,2.5,33.9,1006.05,0.0,23.0
Nuriootpa,19.8,43.9,11.4,12.4,No,33.0,292.5,20.0,1.5,36.5,1003.5,22.5,43.0
Nuriootpa,16.9,24.6,18.2,5.0,No,15.0,168.75,53.0,6.5,21.7,1013.95,-11.25,28.0
Nuriootpa,10.2,22.9,6.0,10.6,No,21.0,157.5,39.0,4.0,18.0,1018.0,0.0,25.0
Nuriootpa,9.4,20.4,8.0,7.9,No,21.5,157.5,47.5,6.5,15.4,1019.85,0.0,22.5
Nuriootpa,7.2,20.6,7.2,10.6,No,22.5,157.5,39.0,2.5,16.4,1021.35,0.0,27.5
Nuriootpa,12.19403438096892,26.2,8.0,12.5,No,21.5,101.25,37.5,3.5,19.9,1020.25,33.75,32.5
Nuriootpa,13.9,29.8,10.8,12.3,No,19.5,112.5,33.5,3.5,24.1,1019.05,0.0,34.5
Nuriootpa,14.5,30.0,12.0,10.9,No,5.5,45.0,32.0,5.0,24.2,1015.6500000000001,90.0,38.5
Nuriootpa,15.9,30.3,8.0,12.6,No,13.0,123.75,41.0,2.5,24.200000000000003,1014.7,11.25,24.0
Nuriootpa,15.0,31.9,10.0,7.6111775206611565,No,11.0,56.25,31.0,4.0,26.75,1012.05,78.75,26.0
Nuriootpa,15.1,32.8,5.468231522922462,10.0,No,9.5,78.75,24.5,4.449405780817289,27.7,1009.4,56.25,20.5
Nuriootpa,14.1,34.2,16.0,8.0,No,16.5,191.25,38.5,5.5,27.0,1008.85,56.25,39.5
Nuriootpa,14.4,25.1,9.6,10.1,Yes,16.5,247.5,55.0,5.5,20.2,1016.2,-67.5,20.5
Nuriootpa,14.4,25.7,8.0,11.0,No,21.0,146.25,44.5,3.0,20.75,1018.45,-33.75,18.0
Nuriootpa,12.8,30.7,7.8,12.4,No,14.0,180.0,41.5,0.5,22.4,1014.75,-45.0,25.0
Nuriootpa,10.5,25.1,10.4,12.2,No,20.5,112.5,37.0,3.245703989294752,18.55,1018.15,0.0,27.5
Nuriootpa,12.9,30.0,8.8,12.1,No,16.0,78.75,24.5,2.5,22.65,1017.05,33.75,21.0
Nuriootpa,16.7,35.0,9.8,12.1,No,17.0,45.0,14.0,5.5,27.900000000000002,1014.0,-22.5,18.0
