Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
PearceRAAF,18.8,38.4,5.468231522922462,13.1,No,17.5,123.75,33.0,4.449405780817289,29.35,1008.8,-33.75,32.5
PearceRAAF,22.0,39.1,5.468231522922462,13.2,No,17.5,270.0,30.5,4.449405780817289,31.55,1007.8499999999999,-180.0,34.5
PearceRAAF,12.19403438096892,37.0,5.468231522922462,13.3,No,22.0,123.75,32.0,4.449405780817289,28.950000000000003,1014.6,11.25,21.0
PearceRAAF,21.8,38.6,5.468231522922462,13.2,No,15.0,135.0,25.0,4.449405780817289,32.05,1012.1,-45.0,44.0
PearceRAAF,19.9,38.0,5.468231522922462,13.2,No,22.0,146.25,35.0,4.449405780817289,31.0,1011.3,56.25,21.0
PearceRAAF,18.8,36.6,5.468231522922462,13.2,No,24.0,101.25,36.0,4.449405780817289,28.75,1012.15,-11.25,45.0
PearceRAAF,19.6,38.1,5.468231522922462,13.2,No,22.5,146.25,35.5,4.449405780817289,30.25,1012.4000000000001,-11.25,21.5
PearceRAAF,12.19403438096892,37.4,5.468231522922462,13.1,No,23.5,168.75,31.5,4.449405780817289,30.95,1011.2,-11.25,26.5
PearceRAAF,19.8,40.6,5.468231522922462,13.1,No,22.0,157.5,21.5,4.449405780817289,32.8,1006.75,-67.5,39.0
PearceRAAF,13.3,28.8,5.468231522922462,11.3,No,21.0,213.75,56.5,2.5,24.65,1007.95,-11.25,38.0
PearceRAAF,9.1,27.8,5.468231522922462,11.2,No,14.0,180.0,38.5,1.5,23.15,1015.95,22.5,34.0
PearceRAAF,12.0,32.7,5.468231522922462,10.2,No,14.0,135.0,34.0,3.0,26.45,1015.25,135.0,27.0
PearceRAAF,17.0,33.7,5.468231522922462,7.2,No,15.0,191.25,43.5,4.449405780817289,27.55,1014.25,-33.75,29.0
PearceRAAF,21.7,33.2,5.468231522922462,4.8,No,15.5,191.25,39.5,4.449405780817289,27.25,1013.4,-78.75,43.5
PearceRAAF,16.8,30.8,5.468231522922462,13.2,No,16.5,168.75,47.5,1.0,24.299999999999997,1014.65,-56.25,55.5
PearceRAAF,15.7,31.8,5.468231522922462,13.0,No,22.0,157.5,37.0,0.5,25.0,1016.1,67.5,24.0
PearceRAAF,13.6,30.3,5.468231522922462,13.0,No,22.5,213.75,51.0,1.0,23.9,1014.05,-33.75,29.5
PearceRAAF,17.1,30.6,5.468231522922462,11.1,No,19.5,202.5,58.0,4.0,25.049999999999997,1012.25,22.5,26.5
PearceRAAF,19.5,29.8,5.468231522922462,10.7,No,20.5,180.0,58.0,4.5,25.05,1012.35,45.0,18.5
PearceRAAF,11.9,33.8,5.468231522922462,13.0,No,15.5,247.5,52.5,4.449405780817289,26.400000000000002,1012.0,0.0,25.5
PearceRAAF,12.19403438096892,32.5,5.468231522922462,13.0,No,16.5,258.75,66.0,6.245703989294752,25.7,1007.65,-33.75,22.5
PearceRAAF,16.1,35.2,5.468231522922462,12.6,No,14.5,78.75,45.0,4.0,28.5,1005.7,146.25,28.5
PearceRAAF,20.1,32.6,5.468231522922462,6.5,No,12.0,180.0,61.0,6.5,26.799999999999997,1002.05,67.5,31.0
PearceRAAF,20.2,25.0,5.468231522922462,0.3,No,17.5,191.25,64.0,8.0,22.85,1007.55,11.25,15.5
PearceRAAF,12.19403438096892,36.1,5.468231522922462,7.6111775206611565,No,16.0,101.25,50.0,1.0,30.05,1007.2,78.75,47.0
PearceRAAF,23.2,38.7,5.468231522922462,13.1,No,15.0,123.75,43.0,2.703701791522536,32.6,1009.8499999999999,123.75,29.0
PearceRAAF,19.4,40.6,5.468231522922462,13.1,No,14.0,123.75,33.0,1.5,35.15,1009.05,101.25,27.0
PearceRAAF,17.6,36.1,5.468231522922462,11.9,No,17.0,247.5,55.0,1.0,28.45,1009.0,0.0,18.0
PearceRAAF,17.8,34.2,5.468231522922462,13.0,No,21.5,168.75,43.5,1.0,27.6,1010.75,33.75,21.5
PearceRAAF,17.5,34.4,5.468231522922462,12.9,No,19.5,146.25,36.0,0.0,27.049999999999997,1008.4000000000001,-33.75,37.5
PearceRAAF,14.3,28.3,5.468231522922462,12.3,No,27.5,202.5,48.0,2.5,22.45,1007.35,22.5,26.5
PearceRAAF,9.2,28.8,5.468231522922462,12.7,No,19.5,157.5,40.0,4.449405780817289,23.25,1012.8499999999999,0.0,21.5
PearceRAAF,15.0,33.3,5.468231522922462,13.0,No,33.5,101.25,32.5,4.449405780817289,25.55,1015.55,-11.25,33.5
PearceRAAF,18.5,35.0,5.468231522922462,12.9,No,34.5,67.5,31.5,0.0,27.4,1015.45,22.5,30.5
PearceRAAF,21.2,36.5,5.468231522922462,11.4,No,25.0,56.25,27.0,1.5,29.45,1013.9,11.25,38.0
PearceRAAF,23.9,39.2,5.468231522922462,12.8,No,14.5,146.25,16.0,0.0,32.85,1010.6500000000001,-101.25,31.5
PearceRAAF,20.1,41.6,5.468231522922462,9.4,No,21.5,112.5,17.0,4.0,32.400000000000006,1007.25,135.0,28.5
PearceRAAF,21.6,27.0,5.468231522922462,4.3,No,26.0,101.25,56.5,7.0,23.8,1012.55,33.75,24.0
