Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Penrith,15.2,32.6,5.468231522922462,7.6111775206611565,No,17.5,146.25,29.0,4.449405780817289,27.85,1016.2048700086998,146.25,41.5
Penrith,15.0,31.7,5.468231522922462,7.6111775206611565,No,14.0,11.25,51.0,4.449405780817289,25.25,1016.2048700086998,56.25,14.0
Penrith,15.9,33.4,5.468231522922462,7.6111775206611565,No,19.5,157.5,39.5,4.449405780817289,26.2,1016.2048700086998,157.5,32.5
Penrith,17.2,24.8,5.468231522922462,7.6111775206611565,No,14.0,123.75,63.0,4.449405780817289,21.1,1016.2048700086998,-33.75,21.0
Penrith,17.8,32.2,5.468231522922462,7.6111775206611565,No,11.0,56.25,72.5,4.449405780817289,24.700000000000003,1016.2048700086998,11.25,17.0
Penrith,18.1,36.2,5.468231522922462,7.6111775206611565,No,15.5,292.5,50.5,4.449405780817289,30.8,1016.2048700086998,-22.5,30.5
Penrith,19.3,27.8,5.468231522922462,7.6111775206611565,No,14.0,90.0,94.0,4.449405780817289,21.0,1016.2048700086998,90.0,36.0
Penrith,17.2,26.9,5.468231522922462,7.6111775206611565,Yes,8.5,146.25,91.5,4.449405780817289,20.05,1016.2048700086998,-123.75,28.5
Penrith,15.9,33.0,5.468231522922462,7.6111775206611565,Yes,11.0,157.5,55.0,4.449405780817289,26.1,1016.2048700086998,-180.0,24.0
Penrith,15.5,21.1,5.468231522922462,7.6111775206611565,Yes,8.0,146.25,75.42420286771205,4.449405780817289,16.25,1016.2048700086998,56.25,9.0
Penrith,15.8,32.7,5.468231522922462,7.6111775206611565,Yes,20.0,315.0,67.5,4.449405780817289,26.55,1016.2048700086998,0.0,56.0
Penrith,19.1,25.5,5.468231522922462,7.6111775206611565,No,28.0,258.75,39.5,4.449405780817289,22.55,1016.2048700086998,-11.25,33.0
Penrith,15.1,27.3,5.468231522922462,7.6111775206611565,No,14.0,168.75,38.0,4.449405780817289,22.9,1016.2048700086998,11.25,29.0
Penrith,12.9,30.5,5.468231522922462,7.6111775206611565,No,7.5,123.75,51.0,4.449405780817289,23.799999999999997,1016.2048700086998,-33.75,16.5
Penrith,14.8,31.6,5.468231522922462,7.6111775206611565,No,8.5,0.0,49.5,4.449405780817289,26.15,1016.2048700086998,135.0,41.5
Penrith,18.6,33.5,5.468231522922462,7.6111775206611565,No,18.5,168.75,43.0,4.449405780817289,27.700000000000003,1016.2048700086998,146.25,37.5
Penrith,15.8,28.5,5.468231522922462,7.6111775206611565,No,13.0,135.0,35.5,4.449405780817289,25.5,1016.2048700086998,0.0,41.0
Penrith,14.2,24.1,5.468231522922462,7.6111775206611565,No,19.5,157.5,53.5,4.449405780817289,19.450000000000003,1016.2048700086998,0.0,19.5
Penrith,10.7,25.8,5.468231522922462,7.6111775206611565,No,9.5,146.25,53.0,4.449405780817289,21.35,1016.2048700086998,-78.75,20.5
Penrith,13.3,30.1,5.468231522922462,7.6111775206611565,No,12.0,22.5,52.5,4.449405780817289,24.25,1016.2048700086998,45.0,21.0
Penrith,16.3,29.4,5.468231522922462,7.6111775206611565,No,12.0,146.25,64.5,4.449405780817289,25.299999999999997,1016.2048700086998,-11.25,23.0
Penrith,18.3,19.9,5.468231522922462,7.6111775206611565,No,8.0,202.5,92.5,4.449405780817289,19.0,1016.2048700086998,-22.5,16.0
Penrith,17.6,27.8,5.468231522922462,7.6111775206611565,No,11.0,22.5,77.5,4.449405780817289,22.7,1016.2048700086998,22.5,22.0
Penrith,19.0,34.7,5.468231522922462,7.6111775206611565,No,14.0,180.0,58.0,4.449405780817289,27.85,1016.2048700086998,-90.0,23.0
Penrith,18.9,33.0,5.468231522922462,7.6111775206611565,No,16.0,168.75,70.5,4.449405780817289,26.95,1016.2048700086998,101.25,43.0
Penrith,17.2,34.9,5.468231522922462,7.6111775206611565,Yes,10.0,56.25,56.5,4.449405780817289,28.150000000000002,1016.2048700086998,-11.25,25.0
Penrith,18.9,29.3,5.468231522922462,7.6111775206611565,No,13.0,146.25,73.5,4.449405780817289,24.65,1016.2048700086998,-33.75,22.0
Penrith,17.5,32.9,5.468231522922462,7.6111775206611565,Yes,19.5,303.75,60.0,4.449405780817289,25.75,1016.2048700086998,-11.25,37.5
Penrith,17.8,33.2,5.468231522922462,7.6111775206611565,No,25.0,281.25,22.0,4.449405780817289,29.15,1016.2048700086998,11.25,21.0
