Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Perth,6.4,20.7,1.8,7.0,No,7.5,90.0,59.5,3.0,15.399999999999999,1021.55,-45.0,14.5
Perth,9.5,19.2,1.2,4.7,Yes,8.5,180.0,83.0,6.0,15.45,1018.8499999999999,90.0,17.5
Perth,9.5,16.4,1.4,4.9,Yes,15.0,247.5,63.0,6.0,15.95,1021.25,0.0,29.0
Perth,0.7,15.9,2.4,9.3,Yes,5.5,56.25,63.5,0.5,11.2,1030.8,-33.75,18.5
Perth,0.7,18.3,0.8,9.3,No,14.0,33.75,54.0,3.0,13.299999999999999,1026.5500000000002,-33.75,23.0
Perth,3.2,20.4,1.4,6.9,No,11.0,22.5,50.0,5.5,14.75,1022.5,-45.0,13.0
Perth,11.2,20.4,2.8,1.7,Yes,15.0,33.75,64.5,7.0,16.2,1017.1,-56.25,31.0
Perth,13.4,17.1,2.6,4.2,Yes,19.5,225.0,70.0,5.5,15.100000000000001,1014.95,0.0,34.5
Perth,7.9,17.3,2.2,5.4,Yes,8.0,101.25,79.0,6.5,12.899999999999999,1018.85,101.25,11.0
Perth,5.3,18.8,1.0,2.3,No,7.0,157.5,79.5,6.5,13.35,1024.6,-157.5,10.0
Perth,7.9,19.7,0.2,6.5,No,13.0,22.5,63.5,5.5,15.2,1023.95,22.5,18.0
Perth,9.0,17.1,2.2,0.8,No,18.5,135.0,76.0,6.5,15.350000000000001,1009.25,-112.5,24.5
Perth,10.2,17.1,1.8,6.7,Yes,16.0,236.25,65.0,4.5,14.55,1014.3,-11.25,28.0
Perth,6.7,16.9,1.2,3.9,Yes,9.0,191.25,81.0,4.5,12.45,1012.6,56.25,37.0
Perth,10.4,17.9,2.0,3.2,Yes,26.0,292.5,53.5,5.5,15.350000000000001,1002.25,22.5,50.0
Perth,1.2,17.0,1.8,7.8,No,6.5,101.25,74.5,3.5,11.55,1029.3,-56.25,13.5
Perth,3.1,17.1,1.2,4.7,No,4.0,67.5,71.5,5.5,12.850000000000001,1029.25,-45.0,24.0
Perth,3.3,18.9,1.2,7.5,No,13.0,22.5,60.0,7.0,13.399999999999999,1022.5,22.5,24.0
Perth,8.9,17.4,2.8,0.0,No,11.0,168.75,82.5,7.5,14.9,1013.4000000000001,-168.75,32.0
Perth,9.3,18.3,3.8,8.3,Yes,11.0,270.0,61.0,3.5,16.5,1017.8,0.0,22.0
Perth,7.4,17.0,2.6,1.9,No,13.0,157.5,86.0,7.5,13.05,1015.9000000000001,-112.5,15.0
Perth,7.8,19.3,1.8,9.4,Yes,3.0,45.0,74.5,1.5,14.1,1016.5,90.0,49.0
Perth,9.0,20.8,2.0,1.3,Yes,11.0,157.5,90.5,7.5,15.850000000000001,1008.8,-135.0,28.0
Perth,11.8,15.9,1.6,2.2,Yes,13.0,135.0,89.0,7.0,14.649999999999999,1007.85,112.5,31.0
Perth,9.7,18.0,2.0,3.7,Yes,9.0,157.5,89.5,6.0,13.9,1010.3499999999999,135.0,30.0
Perth,12.4,16.2,3.2,5.7,Yes,21.5,270.0,53.0,5.0,14.7,1005.3,-22.5,32.5
Perth,6.7,14.1,4.2,0.0,Yes,6.5,112.5,86.5,4.0,11.149999999999999,1016.1,112.5,30.5
Perth,7.8,18.1,1.0,2.0,Yes,11.0,11.25,84.0,7.0,13.4,1019.95,-11.25,19.0
Perth,11.2,17.5,0.6,8.2,Yes,21.0,213.75,54.0,2.0,15.149999999999999,1017.65,11.25,25.0
Perth,4.7,17.1,2.6,9.7,No,10.5,101.25,60.0,3.0,13.799999999999999,1027.0,78.75,13.5
Perth,2.1,19.4,2.0,9.8,No,6.0,56.25,58.5,1.0,14.45,1031.85,-11.25,16.0
Perth,2.2,20.3,2.6,10.0,No,7.0,101.25,62.0,1.0,14.25,1032.25,-56.25,13.0
Perth,4.3,17.3,2.2,3.9,No,10.0,123.75,62.827140621689026,5.0,14.2,1028.35,-11.25,14.0
Perth,7.0,17.6,2.0,10.0,No,12.0,78.75,52.5,1.5,14.350000000000001,1030.0,-11.25,19.0
Perth,8.1,18.0,4.2,9.9,No,16.0,90.0,52.5,2.0,14.649999999999999,1028.2,22.5,30.0
Perth,9.1,18.7,4.4,9.2,No,16.0,67.5,46.5,4.0,15.55,1026.65,-45.0,23.0
Perth,7.6,20.4,4.2,9.0,No,9.0,112.5,45.0,3.5,15.65,1025.2,-22.5,21.0
