Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
PerthAirport,18.8,37.2,11.6,13.1,No,22.5,78.75,35.0,0.0,28.6,1009.45,11.25,33.5
PerthAirport,21.9,36.1,12.8,13.2,No,15.5,157.5,35.0,0.5,30.7,1008.3,-67.5,43.5
PerthAirport,20.3,34.4,11.8,12.7,No,20.5,225.0,45.5,2.5,28.25,1011.75,-22.5,23.5
PerthAirport,18.5,36.5,11.2,13.3,No,12.0,90.0,34.0,0.0,28.7,1015.1,45.0,27.0
PerthAirport,21.8,37.2,11.4,13.2,No,20.5,180.0,29.5,0.0,30.85,1012.75,-90.0,36.5
PerthAirport,19.7,36.4,12.0,13.2,No,20.5,191.25,44.5,0.0,29.25,1012.1,56.25,22.5
PerthAirport,18.9,36.3,12.0,13.2,No,16.0,146.25,36.5,1.0,28.7,1012.9000000000001,-56.25,36.0
PerthAirport,20.3,37.2,10.8,13.2,No,14.0,135.0,36.0,0.0,30.25,1013.05,-22.5,27.0
PerthAirport,19.1,37.1,12.6,13.3,No,19.5,213.75,41.0,0.5,29.5,1013.55,11.25,26.5
PerthAirport,20.5,35.7,11.2,13.1,No,23.0,168.75,34.5,0.5,29.65,1011.8,56.25,25.0
PerthAirport,21.2,39.1,12.0,13.1,No,20.0,157.5,28.0,0.0,31.8,1007.5,67.5,21.0
PerthAirport,13.5,28.4,11.4,11.3,No,29.5,236.25,53.0,3.5,25.200000000000003,1008.35,-11.25,27.5
PerthAirport,10.3,26.9,9.4,11.2,No,15.0,146.25,48.5,3.5,21.55,1016.3499999999999,78.75,33.0
PerthAirport,14.6,31.7,9.6,10.2,No,19.5,180.0,42.0,5.0,25.7,1016.05,90.0,17.5
PerthAirport,19.0,39.8,10.6,13.1,No,27.5,90.0,30.5,0.0,29.950000000000003,1014.2,0.0,44.5
PerthAirport,22.5,43.0,13.8,13.1,No,25.5,168.75,15.0,0.5,35.65,1010.6,-123.75,24.5
PerthAirport,17.9,32.6,13.2,7.2,No,13.0,225.0,44.0,4.5,26.85,1014.7,45.0,28.0
PerthAirport,21.9,33.5,8.6,4.8,No,13.0,157.5,39.0,7.0,27.45,1013.6,0.0,33.0
PerthAirport,15.7,30.0,8.0,13.2,Yes,18.5,157.5,53.5,1.0,23.75,1015.3499999999999,-67.5,53.5
PerthAirport,15.5,30.1,8.0,13.0,No,26.0,157.5,43.0,0.5,23.7,1016.8,67.5,22.0
PerthAirport,15.4,27.3,10.0,13.0,No,23.5,213.75,52.5,2.5,23.35,1014.8,-11.25,19.5
PerthAirport,18.7,28.7,8.6,11.1,No,19.5,213.75,57.5,4.0,24.85,1012.6,33.75,23.5
PerthAirport,20.0,28.9,9.0,10.7,No,22.0,202.5,60.5,4.0,24.8,1012.8,22.5,17.0
PerthAirport,13.1,31.0,7.6,13.0,No,16.5,270.0,54.0,0.0,25.1,1012.5999999999999,-45.0,22.5
PerthAirport,17.0,38.6,9.6,13.2,No,14.0,191.25,23.0,0.0,31.65,1010.2,56.25,25.0
PerthAirport,17.5,30.8,10.0,13.0,No,15.0,292.5,64.0,1.0,25.35,1008.05,-22.5,22.0
PerthAirport,17.1,34.5,8.8,12.6,No,14.5,168.75,47.5,4.0,28.549999999999997,1006.2,33.75,33.5
PerthAirport,21.7,31.2,10.4,6.5,No,15.0,180.0,61.0,5.5,26.65,1002.55,67.5,28.0
PerthAirport,19.7,25.6,7.2,0.3,No,20.5,191.25,65.0,7.5,22.7,1008.0,11.25,12.5
PerthAirport,18.9,32.1,4.0,6.4,No,11.0,157.5,60.0,7.5,25.35,1008.85,90.0,19.0
PerthAirport,23.3,37.4,6.4,13.1,No,20.5,180.0,53.5,0.5,31.7,1010.25,22.5,18.5
PerthAirport,21.0,39.1,10.6,13.1,No,23.5,157.5,45.5,1.0,33.05,1009.5,90.0,15.5
PerthAirport,18.6,32.7,10.2,11.9,No,15.5,247.5,61.5,1.0,27.6,1009.45,-22.5,17.5
PerthAirport,20.4,33.3,8.0,13.0,No,23.0,180.0,45.5,1.0,27.6,1011.4000000000001,45.0,25.0
PerthAirport,17.3,33.2,11.2,12.9,No,21.5,180.0,43.5,0.0,25.6,1009.3,-67.5,28.5
PerthAirport,15.2,27.0,10.6,12.3,No,30.5,202.5,48.0,3.0,21.75,1008.05,22.5,25.5
PerthAirport,9.4,27.3,9.0,12.7,No,16.0,202.5,41.0,1.0,23.15,1013.4000000000001,45.0,30.0
PerthAirport,15.4,32.9,9.4,13.0,No,27.0,90.0,33.5,0.0,24.700000000000003,1016.4,0.0,30.0
PerthAirport,17.6,34.6,12.8,12.9,No,34.5,78.75,32.0,0.0,27.25,1016.2,11.25,34.5
PerthAirport,19.7,36.8,12.6,11.4,No,32.5,67.5,29.0,1.5,29.150000000000002,1014.5999999999999,22.5,32.5
PerthAirport,23.0,39.2,10.4,12.8,No,17.5,56.25,15.5,1.0,33.35,1010.95,-11.25,23.5
PerthAirport,22.3,39.5,11.2,9.4,No,25.0,146.25,16.5,6.0,32.849999999999994,1007.4,101.25,29.0
PerthAirport,21.7,28.1,11.8,4.3,No,23.0,123.75,53.0,5.5,25.05,1012.95,11.25,29.0
PerthAirport,18.8,29.1,7.4,1.3,No,19.5,123.75,41.5,7.0,25.2,1008.0,-33.75,45.5
PerthAirport,18.2,27.5,6.8,11.4,No,27.0,225.0,56.0,4.0,24.15,1010.8,-22.5,14.0
PerthAirport,16.0,31.9,9.0,12.5,No,17.0,146.25,43.0,1.0,25.25,1011.5999999999999,-11.25,27.0
PerthAirport,17.4,32.0,8.0,12.5,No,25.0,135.0,42.5,0.5,24.55,1012.0,-45.0,32.0
PerthAirport,16.7,33.8,11.6,12.4,No,20.5,123.75,36.5,0.5,25.95,1012.7,-33.75,40.5
PerthAirport,18.4,36.4,11.0,12.3,No,27.0,67.5,36.0,0.5,28.05,1014.0,22.5,34.0
PerthAirport,21.0,39.9,14.2,11.0,No,22.5,168.75,20.0,5.0,32.9,1010.1,-78.75,31.5
PerthAirport,20.0,31.7,11.8,10.9,No,26.0,225.0,48.0,3.0,26.1,1011.45,22.5,15.0
PerthAirport,17.2,34.3,7.4,11.8,No,19.0,33.75,41.0,6.0,25.95,1011.4,56.25,38.0
PerthAirport,18.4,25.4,7.2,5.7,No,21.5,247.5,66.0,7.0,22.85,1007.05,-22.5,17.5
PerthAirport,12.9,23.5,6.0,4.2,No,20.5,146.25,81.0,7.5,18.1,1007.0,101.25,22.5
PerthAirport,8.3,23.9,3.8,11.3,Yes,14.5,112.5,57.5,6.5,19.05,1016.4000000000001,90.0,22.5
PerthAirport,13.7,30.2,6.4,12.0,No,23.0,157.5,47.0,1.0,23.3,1014.15,-90.0,18.0
PerthAirport,22.4,32.9,8.2,9.7,Yes,15.0,146.25,54.0,5.0,28.6,1004.35,-101.25,35.0
PerthAirport,18.4,24.7,7.4,9.5,No,36.0,213.75,52.5,5.0,20.799999999999997,1009.95,11.25,23.0
PerthAirport,6.1,26.2,10.4,11.2,No,17.5,135.0,36.0,0.0,19.6,1024.5,-22.5,25.5
PerthAirport,13.6,30.4,6.6,11.7,No,28.0,78.75,32.5,0.5,23.05,1025.1,33.75,24.0
PerthAirport,17.0,34.3,10.0,11.7,No,15.0,33.75,30.5,0.0,26.6,1022.1,11.25,24.0
PerthAirport,15.2,34.5,8.0,11.6,No,18.5,168.75,28.0,0.5,27.75,1018.1,-78.75,53.5
PerthAirport,17.1,31.6,11.6,11.5,No,28.0,90.0,42.0,0.5,24.6,1018.75,0.0,50.0
PerthAirport,17.2,35.0,8.0,11.7,No,17.5,146.25,28.5,5.0,27.599999999999998,1015.3,-78.75,26.5
PerthAirport,15.0,35.3,10.0,11.6,No,20.5,168.75,21.5,1.0,29.1,1015.05,78.75,16.5
PerthAirport,14.9,38.3,9.0,11.8,No,20.5,168.75,21.5,1.0,30.799999999999997,1012.5,78.75,16.5
PerthAirport,12.7,30.8,8.8,4.9,No,12.0,225.0,36.0,4.5,25.200000000000003,1012.2,-45.0,27.0
PerthAirport,18.6,27.1,5.4,5.3,No,14.0,191.25,56.0,7.0,23.7,1013.75,11.25,23.0
PerthAirport,14.2,28.3,7.0,11.0,No,17.0,191.25,40.0,0.0,22.549999999999997,1018.9,-56.25,22.0
PerthAirport,13.9,31.1,8.2,10.9,No,25.0,78.75,35.5,2.0,23.1,1019.15,11.25,32.0
PerthAirport,16.5,39.7,12.2,7.1,No,21.5,56.25,23.5,6.5,29.65,1012.45,33.75,39.5
PerthAirport,15.9,32.2,5.4,10.8,No,15.0,146.25,42.5,0.5,26.8,1011.8499999999999,146.25,18.0
PerthAirport,16.2,25.6,7.4,2.9,No,16.5,146.25,71.0,7.5,20.9,1013.45,123.75,31.5
PerthAirport,12.6,24.2,4.0,9.8,No,16.0,247.5,55.5,3.5,20.5,1016.75,-22.5,25.0
PerthAirport,8.5,25.9,6.2,11.5,No,17.5,247.5,47.5,2.0,20.85,1014.5,22.5,17.5
PerthAirport,11.8,24.8,8.4,5.8,No,17.5,270.0,50.5,6.5,21.799999999999997,1011.05,-45.0,25.5
PerthAirport,10.9,24.0,3.2,10.1,Yes,13.0,146.25,54.0,3.0,19.7,1016.3,101.25,20.0
PerthAirport,11.9,24.2,4.4,8.0,No,15.5,135.0,66.0,4.5,20.15,1013.95,112.5,19.5
PerthAirport,12.0,25.0,2.8,10.0,Yes,12.0,135.0,63.0,3.5,20.25,1016.55,135.0,19.0
PerthAirport,12.4,26.0,4.8,10.6,No,15.0,157.5,65.0,5.0,21.35,1019.0,112.5,22.0
PerthAirport,14.6,32.5,7.2,10.7,No,16.5,135.0,42.5,2.0,25.55,1020.1,-45.0,40.5
PerthAirport,16.0,29.4,6.0,10.8,No,21.0,202.5,55.5,1.0,23.45,1018.25,22.5,23.0
PerthAirport,17.2,26.0,7.6,8.4,No,25.0,101.25,43.5,5.0,22.549999999999997,1019.6,11.25,27.0
PerthAirport,17.4,26.1,6.2,8.9,No,22.5,180.0,56.5,4.0,22.45,1014.1,45.0,23.5
PerthAirport,13.0,25.8,5.0,8.1,No,26.5,225.0,55.0,4.0,21.9,1016.2,0.0,21.5
PerthAirport,11.4,24.4,4.0,9.5,No,13.0,202.5,40.5,3.245703989294752,20.299999999999997,1021.7,-45.0,28.0
PerthAirport,9.4,26.2,5.8,10.1,No,13.5,225.0,37.5,3.0,21.549999999999997,1023.95,-135.0,27.5
PerthAirport,13.8,28.1,5.6,10.8,No,29.5,78.75,39.5,0.5,22.45,1026.25,11.25,27.5
PerthAirport,14.6,29.2,6.4,10.3,No,22.5,90.0,33.5,3.0,23.2,1026.5,0.0,29.5
PerthAirport,13.9,27.9,7.0,10.8,No,25.0,90.0,36.5,0.5,23.049999999999997,1026.25,0.0,27.0
PerthAirport,14.7,29.2,8.4,10.9,No,22.0,90.0,33.5,1.0,24.05,1022.7,-22.5,26.0
PerthAirport,17.2,31.6,7.4,10.4,No,22.0,45.0,26.5,0.5,27.15,1020.25,22.5,22.0
PerthAirport,17.4,33.6,7.4,10.0,No,19.5,157.5,18.5,6.0,28.85,1017.7,-135.0,15.5
PerthAirport,17.2,35.5,7.8,10.5,No,24.0,45.0,33.5,1.5,27.700000000000003,1013.7,45.0,33.0
PerthAirport,14.1,31.1,5.6,10.0,No,13.0,135.0,57.5,6.0,24.450000000000003,1013.05,90.0,17.0
PerthAirport,15.6,34.2,6.8,10.6,No,30.5,56.25,13.5,1.0,29.599999999999998,1014.3,11.25,36.5
PerthAirport,20.8,24.6,12.2,0.1,No,22.0,101.25,53.0,7.5,21.85,1012.9,-11.25,48.0
PerthAirport,15.3,28.2,3.8,8.0,Yes,12.5,78.75,50.5,3.0,23.799999999999997,1014.9,56.25,37.5
PerthAirport,14.3,26.9,4.8,10.5,No,17.5,135.0,45.5,0.5,21.85,1016.8499999999999,-45.0,23.5
PerthAirport,13.8,28.6,6.0,10.6,No,13.0,123.75,43.5,0.5,22.65,1014.35,-33.75,22.0
PerthAirport,13.6,29.9,4.6,8.3,No,20.5,157.5,42.0,2.0,25.049999999999997,1012.65,-67.5,16.5
PerthAirport,16.2,25.6,5.2,1.8,No,11.0,33.75,54.0,7.0,22.55,1014.1,56.25,41.0
PerthAirport,17.0,30.0,2.4,10.5,No,21.5,157.5,51.5,0.5,24.8,1013.7,-112.5,9.5
PerthAirport,13.3,27.9,4.6,10.7,No,12.0,146.25,60.5,0.5,23.049999999999997,1012.5,123.75,18.0
PerthAirport,13.9,30.6,4.0,10.5,No,12.0,168.75,37.5,1.0,26.65,1007.75,33.75,21.0
PerthAirport,12.1,22.1,5.0,8.4,No,25.0,202.5,51.5,2.5,19.75,1013.25,0.0,31.0
PerthAirport,3.7,21.5,4.2,7.3,No,13.0,191.25,45.5,4.0,17.95,1023.7,-11.25,26.0
PerthAirport,9.2,23.2,4.4,6.2,No,15.0,112.5,63.5,5.0,19.1,1023.5500000000001,112.5,20.0
PerthAirport,11.8,23.1,2.8,7.2,No,11.5,135.0,55.0,3.5,20.5,1023.1500000000001,45.0,19.5
PerthAirport,7.5,26.3,3.2,9.4,No,14.0,213.75,57.0,3.5,21.3,1021.8,56.25,17.0
PerthAirport,11.9,28.9,3.2,9.3,No,19.5,157.5,40.0,1.5,22.85,1019.25,112.5,10.5
PerthAirport,11.4,28.5,5.0,10.1,No,20.0,90.0,44.5,0.0,23.549999999999997,1022.6,0.0,19.0
PerthAirport,16.4,26.5,6.2,3.8,No,11.0,123.75,40.5,6.5,22.8,1019.95,-56.25,28.0
PerthAirport,9.3,24.5,4.2,9.3,No,17.0,213.75,52.0,0.5,20.3,1023.8000000000001,-101.25,22.0
PerthAirport,10.8,25.2,4.6,9.8,No,24.0,90.0,41.0,0.0,20.1,1026.7,0.0,30.0
PerthAirport,13.1,28.5,6.2,9.9,No,13.5,146.25,31.5,0.5,22.7,1025.55,-78.75,25.5
PerthAirport,10.0,27.4,4.2,7.0,No,12.0,78.75,30.0,6.5,22.549999999999997,1025.05,11.25,21.0
PerthAirport,11.4,28.0,4.4,9.9,No,13.0,56.25,24.5,0.5,23.15,1025.0,11.25,20.0
PerthAirport,9.9,27.9,4.0,10.0,No,23.0,67.5,26.0,0.0,22.85,1027.4,0.0,16.0
PerthAirport,11.9,27.3,6.8,10.0,No,18.5,101.25,28.5,1.5,22.299999999999997,1028.4,-56.25,18.5
PerthAirport,12.7,26.0,3.4,9.9,No,14.0,78.75,32.0,0.0,22.15,1027.5,-11.25,17.0
PerthAirport,10.0,25.5,4.2,9.8,No,15.5,78.75,32.0,1.0,21.1,1026.85,-11.25,21.5
PerthAirport,12.3,25.8,4.8,9.7,No,15.0,33.75,30.5,1.0,21.4,1023.0999999999999,33.75,18.0
PerthAirport,9.3,23.6,3.6,1.2,No,9.0,135.0,34.0,7.0,20.45,1019.6,-67.5,13.0
PerthAirport,11.9,26.4,2.2,9.5,No,13.0,292.5,44.0,1.0,22.05,1020.55,-180.0,43.0
PerthAirport,14.2,24.6,5.4,9.5,No,18.5,101.25,45.0,1.0,20.3,1024.9,-11.25,48.5
PerthAirport,12.2,24.9,4.8,9.4,No,14.5,101.25,47.0,1.5,20.05,1025.3,-11.25,39.5
PerthAirport,9.4,24.6,4.4,9.5,No,15.5,180.0,39.5,0.5,19.5,1023.7,-90.0,17.5
PerthAirport,8.4,25.6,3.0,9.6,No,13.0,56.25,31.5,0.5,20.35,1021.8,-168.75,17.0
PerthAirport,7.0,25.5,3.4,9.5,No,12.0,56.25,29.5,1.0,20.5,1020.3,-11.25,19.0
PerthAirport,8.3,26.5,4.4,9.2,No,17.5,168.75,28.5,1.5,21.25,1016.25,-101.25,13.5
PerthAirport,6.0,23.2,4.2,8.9,No,12.0,135.0,48.5,1.5,18.4,1014.3,-180.0,18.0
PerthAirport,9.2,24.4,2.6,8.8,No,14.0,270.0,62.0,1.0,19.549999999999997,1015.8,-22.5,17.0
PerthAirport,12.6,27.2,2.4,8.1,No,19.5,180.0,58.5,2.0,21.5,1010.3499999999999,157.5,21.5
PerthAirport,14.8,23.2,3.2,2.5,Yes,38.0,135.0,86.0,7.0,17.9,999.7,-180.0,69.0
PerthAirport,9.8,17.2,3.4,6.2,Yes,36.0,281.25,54.0,3.5,15.1,1004.5999999999999,-11.25,55.0
PerthAirport,11.0,16.6,4.0,4.0,Yes,20.5,213.75,75.5,4.5,14.399999999999999,1009.65,-11.25,35.5
PerthAirport,3.1,19.2,2.0,9.3,No,7.0,135.0,60.5,2.0,14.65,1018.05,112.5,15.0
PerthAirport,6.2,19.0,1.8,7.3,No,11.0,90.0,51.0,4.0,15.0,1019.5,-22.5,26.0
PerthAirport,9.6,22.3,2.2,9.4,No,24.0,45.0,37.5,2.5,18.049999999999997,1017.25,22.5,30.0
PerthAirport,12.5,22.1,4.4,5.4,No,21.0,78.75,41.5,6.0,18.0,1017.15,-11.25,29.0
PerthAirport,13.0,23.2,5.2,7.2,No,24.0,67.5,41.0,1.5,18.8,1017.9,0.0,22.0
PerthAirport,12.4,23.8,4.6,9.3,No,19.5,56.25,42.0,0.5,19.55,1018.95,11.25,21.5
PerthAirport,13.7,25.2,4.4,7.1,No,18.5,56.25,47.0,7.0,20.2,1017.15,-56.25,29.5
PerthAirport,13.6,24.3,2.4,4.9,No,13.0,123.75,54.5,6.5,20.049999999999997,1016.6,-56.25,13.0
PerthAirport,13.9,25.3,2.2,8.0,No,15.0,45.0,54.0,3.5,20.45,1017.45,45.0,22.0
PerthAirport,12.2,22.9,2.0,7.0,Yes,16.0,180.0,75.5,5.0,18.25,1016.45,-112.5,10.0
PerthAirport,9.4,20.3,1.6,6.1,No,16.5,157.5,81.0,3.5,15.8,1018.75,67.5,33.5
PerthAirport,7.3,18.2,1.8,8.2,Yes,17.5,236.25,61.0,3.5,14.4,1020.5,-11.25,21.5
PerthAirport,4.7,19.9,2.8,9.3,No,10.5,191.25,70.0,2.0,15.0,1022.05,11.25,19.5
PerthAirport,7.2,20.3,1.6,8.9,No,16.0,112.5,63.5,1.0,16.2,1025.65,90.0,10.0
PerthAirport,4.2,17.7,1.8,9.0,No,11.0,123.75,66.5,2.0,13.75,1025.6999999999998,78.75,15.0
PerthAirport,6.5,21.0,2.2,9.2,No,10.0,191.25,55.0,2.0,16.45,1023.4,-168.75,10.0
PerthAirport,8.5,23.3,1.8,8.9,No,16.5,33.75,38.5,2.0,17.9,1017.25,-11.25,18.5
PerthAirport,12.3,22.2,2.0,8.1,No,15.5,146.25,68.5,4.5,18.75,1012.55,146.25,21.5
PerthAirport,12.2,16.8,4.8,0.5,Yes,13.0,236.25,92.0,7.0,13.45,1011.0,11.25,24.0
PerthAirport,4.2,16.6,2.2,5.8,Yes,9.0,123.75,73.5,4.0,12.0,1018.3499999999999,101.25,13.0
PerthAirport,4.8,17.6,1.4,8.3,No,14.0,112.5,63.5,4.0,13.3,1025.0,90.0,19.0
PerthAirport,3.3,20.2,1.4,8.9,No,12.0,146.25,59.5,1.0,14.55,1027.45,123.75,12.0
PerthAirport,7.4,21.4,1.2,8.6,No,12.0,157.5,58.0,1.0,16.4,1025.0,-112.5,14.0
