Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Richmond,12.0,33.1,5.468231522922462,7.6111775206611565,No,20.0,168.75,59.25134348940108,4.449405780817289,26.05,1003.25,101.25,41.0
Richmond,15.9,25.8,19.0,7.6111775206611565,No,24.0,101.25,59.25134348940108,4.449405780817289,21.85,1012.35,33.75,26.0
Richmond,13.6,20.8,5.468231522922462,7.6111775206611565,No,8.0,112.5,59.25134348940108,4.449405780817289,18.4,1020.5,-22.5,16.0
Richmond,16.3,30.1,5.468231522922462,7.6111775206611565,No,10.5,56.25,59.25134348940108,4.449405780817289,24.450000000000003,1016.1,-11.25,22.5
Richmond,14.6,36.5,15.2,7.6111775206611565,No,15.5,135.0,59.25134348940108,4.449405780817289,28.65,1010.4000000000001,135.0,41.5
Richmond,14.0,38.2,5.468231522922462,7.6111775206611565,No,8.5,78.75,59.25134348940108,4.449405780817289,30.25,1008.95,-101.25,50.5
Richmond,15.6,38.2,5.468231522922462,7.6111775206611565,No,14.0,180.0,59.25134348940108,4.449405780817289,29.0,1007.1,90.0,34.0
Richmond,19.4,21.4,5.468231522922462,7.6111775206611565,No,15.0,146.25,59.25134348940108,4.449405780817289,19.25,1012.9,-11.25,28.0
Richmond,14.2,21.2,24.0,7.6111775206611565,Yes,15.0,146.25,59.25134348940108,4.449405780817289,18.4,1019.4,-56.25,22.0
Richmond,11.3,25.1,5.468231522922462,7.6111775206611565,No,12.5,123.75,59.25134348940108,4.449405780817289,20.25,1014.9000000000001,-78.75,22.5
Richmond,11.8,28.5,5.468231522922462,7.6111775206611565,No,9.5,157.5,59.25134348940108,4.449405780817289,23.6,1012.05,-45.0,27.5
Richmond,15.4,28.3,13.4,7.6111775206611565,Yes,17.0,191.25,59.25134348940108,4.449405780817289,22.1,1015.3,-123.75,33.0
Richmond,17.8,31.1,5.468231522922462,7.6111775206611565,No,14.0,45.0,59.25134348940108,4.449405780817289,26.0,1017.2,0.0,21.0
Richmond,15.1,38.4,11.8,7.6111775206611565,No,8.5,78.75,59.25134348940108,4.449405780817289,29.65,1012.05,-11.25,28.5
Richmond,17.6,40.7,8.8,7.6111775206611565,No,17.5,180.0,59.25134348940108,4.449405780817289,34.8,1007.0,-45.0,54.5
Richmond,15.9,34.9,10.8,7.6111775206611565,No,8.5,101.25,59.25134348940108,4.449405780817289,25.25,1010.15,33.75,54.5
Richmond,14.7,21.4,5.468231522922462,7.6111775206611565,No,14.0,168.75,59.25134348940108,4.449405780817289,17.95,1020.45,-11.25,21.0
Richmond,10.7,28.0,5.468231522922462,7.6111775206611565,No,7.5,56.25,59.25134348940108,4.449405780817289,22.55,1020.3,-11.25,25.5
Richmond,11.6,33.5,17.8,7.6111775206611565,No,12.5,33.75,45.327140621689026,4.449405780817289,25.4,1016.45,78.75,28.5
Richmond,15.4,39.0,8.0,7.6111775206611565,No,11.5,180.0,39.5,4.449405780817289,30.6,1011.25,157.5,32.5
Richmond,21.6,38.9,9.2,7.6111775206611565,No,13.0,168.75,43.5,4.449405780817289,32.3,1009.1500000000001,33.75,33.0
Richmond,21.2,32.6,7.6,7.6111775206611565,Yes,17.5,202.5,56.5,4.449405780817289,28.45,1007.3,112.5,30.5
Richmond,23.0,36.4,5.468231522922462,7.6111775206611565,No,18.0,45.0,46.5,4.449405780817289,32.3,1007.45,67.5,28.0
Richmond,23.0,41.0,5.468231522922462,7.6111775206611565,No,27.5,303.75,37.0,4.449405780817289,36.55,1003.7,-168.75,41.5
Richmond,19.8,27.6,5.468231522922462,7.6111775206611565,No,14.0,112.5,48.5,4.449405780817289,24.35,1018.5999999999999,-22.5,19.0
