Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Sale,10.7,22.1,10.0,11.5,No,36.0,258.75,54.0,5.0,17.549999999999997,1002.55,-11.25,40.0
Sale,8.0,18.9,5.468231522922462,11.7,No,31.5,258.75,48.5,4.5,14.6,1016.75,11.25,18.5
Sale,4.2,20.0,4.0,9.1,No,11.0,202.5,53.0,3.5,15.850000000000001,1019.45,-90.0,22.0
Sale,6.7,24.3,5.0,10.5,No,12.5,146.25,58.5,4.0,19.799999999999997,1015.2,-33.75,20.5
Sale,8.9,27.9,6.8,10.8,No,17.5,213.75,65.5,3.5,20.7,1010.15,-146.25,19.5
Sale,10.8,32.2,6.6,13.4,No,21.5,202.5,51.5,0.5,23.0,1008.45,-67.5,22.5
Sale,15.3,20.2,7.8,0.5,No,15.0,168.75,79.0,7.5,18.700000000000003,1008.45,101.25,15.0
Sale,11.4,20.4,2.8,9.5,No,24.0,247.5,54.0,5.0,16.55,1016.6,-45.0,19.0
Sale,4.7,21.1,4.0,12.8,No,14.5,202.5,49.5,2.745703989294752,17.0,1020.1,-112.5,28.5
Sale,10.6,26.3,8.2,9.8,No,16.5,236.25,63.5,6.5,19.549999999999997,1011.3,-56.25,27.5
Sale,11.0,22.5,6.6,5.0,No,12.0,157.5,67.0,7.0,20.35,1010.55,-22.5,21.0
Sale,7.7,23.3,5.0,13.3,No,15.5,202.5,60.0,3.0,19.549999999999997,1018.15,-90.0,19.5
Sale,11.9,34.7,5.8,12.5,No,10.5,112.5,50.5,1.0,25.75,1012.45,0.0,26.5
Sale,13.4,39.3,5.468231522922462,9.8,No,11.5,112.5,44.5,5.0,28.25,1006.0,-157.5,44.5
Sale,15.1,25.7,10.0,7.3,No,28.5,258.75,50.5,7.0,19.950000000000003,1012.85,11.25,25.5
Sale,12.7,21.2,8.4,8.7,No,33.5,270.0,58.0,5.5,16.65,1015.25,-22.5,35.5
Sale,9.3,22.4,7.4,10.3,No,19.5,202.5,50.0,4.0,17.4,1022.5,-67.5,15.5
Sale,6.7,24.3,4.6,13.6,No,16.5,213.75,59.0,0.0,18.25,1020.5,-101.25,18.5
Sale,8.4,28.3,6.8,13.2,No,16.0,67.5,61.0,1.0,21.85,1012.85,45.0,21.0
Sale,12.5,39.7,7.6,11.8,No,21.0,146.25,32.0,2.5,31.049999999999997,1004.15,146.25,36.0
Sale,12.0,27.2,13.2,13.2,No,15.5,67.5,51.5,3.0,22.0,1009.2,45.0,25.5
Sale,13.8,33.3,7.8,5.5,No,28.5,157.5,56.0,7.5,26.9,996.65,-180.0,41.5
Sale,15.2,24.0,6.6,11.8,Yes,23.0,157.5,47.5,2.0,20.25,1006.35,-67.5,20.0
Sale,13.2,23.7,8.6,10.9,Yes,38.0,247.5,52.0,5.0,20.6,1006.8499999999999,45.0,38.0
Sale,6.6,25.0,9.0,12.6,No,16.5,213.75,56.5,0.0,19.05,1017.8,-101.25,20.5
Sale,10.4,24.9,6.0,13.1,No,16.5,225.0,59.0,2.5,20.450000000000003,1022.05,-112.5,24.5
Sale,16.3,29.0,7.2,12.0,No,16.5,101.25,59.0,2.0,23.5,1016.3,-33.75,20.5
Sale,12.6,41.2,7.6,12.5,No,7.5,123.75,48.0,0.5,31.150000000000002,1011.35,-33.75,38.5
Sale,17.3,43.4,9.2,12.5,No,12.5,247.5,33.0,1.5,35.85,1010.3,-157.5,28.5
Sale,18.9,43.4,12.6,12.7,No,12.0,236.25,27.5,0.5,35.75,1010.15,-101.25,36.0
Sale,19.5,34.8,11.2,11.3,No,16.0,180.0,55.0,1.5,27.25,1012.45,0.0,28.0
Sale,18.7,22.3,8.8,0.0,No,27.0,112.5,90.0,8.0,19.200000000000003,1019.5999999999999,0.0,17.0
Sale,18.5,24.6,1.6,0.1,No,14.0,202.5,88.0,8.0,21.8,1010.65,-67.5,19.0
Sale,17.9,20.1,2.4,0.0,Yes,27.0,112.5,79.0,8.0,19.1,1014.7,0.0,10.0
Sale,17.8,25.1,1.8,1.6,No,25.0,112.5,81.0,7.5,21.85,1010.15,-22.5,14.0
Sale,18.8,37.2,3.0,10.5,No,22.5,202.5,65.0,4.0,26.85,1004.25,-22.5,25.5
Sale,14.4,24.7,10.0,6.0,No,16.0,123.75,67.0,4.5,20.4,1009.8499999999999,-33.75,15.0
Sale,15.7,44.4,5.6,10.2,No,23.5,258.75,35.5,1.0,34.05,1001.4,33.75,63.5
Sale,10.7,20.5,7.2,1.7,No,16.0,258.75,44.0,7.0,16.55,1016.1,-78.75,25.0
Sale,7.9,17.6,4.2,0.7,No,20.5,225.0,82.0,7.0,14.2,1017.55,-67.5,14.5
Sale,12.4,19.1,2.0,4.5,Yes,12.0,168.75,79.5,7.0,15.1,1023.05,-33.75,29.0
Sale,8.5,22.6,2.4,2.4,Yes,26.0,90.0,55.0,2.0,18.8,1027.95,0.0,31.0
Sale,9.4,23.7,6.8,12.1,No,21.0,78.75,57.5,3.0,19.35,1022.95,11.25,31.0
Sale,12.0,24.2,8.4,11.1,No,26.0,101.25,63.5,4.5,20.65,1019.7,11.25,22.0
Sale,16.1,25.0,6.8,11.4,No,39.0,78.75,47.5,3.5,22.0,1021.25,11.25,20.0
Sale,12.2,24.9,11.0,12.0,No,31.0,90.0,59.0,2.0,21.0,1017.75,0.0,26.0
Sale,13.5,23.9,8.0,6.0,No,24.0,90.0,71.5,7.5,20.0,1012.4000000000001,0.0,30.0
Sale,11.6,25.4,4.6,12.1,No,17.5,90.0,60.5,1.0,21.7,1008.5,22.5,17.5
Sale,11.3,24.4,6.8,3.8,No,18.5,292.5,76.5,7.0,19.45,1011.45,-67.5,22.5
Sale,10.6,25.1,2.6,9.6,No,14.0,225.0,62.0,3.0,20.6,1016.0,-112.5,17.0
Sale,11.6,24.3,5.0,10.3,No,23.0,78.75,73.0,5.0,20.200000000000003,1017.0,11.25,23.0
Sale,12.0,33.4,7.4,10.0,No,14.5,281.25,53.5,7.0,23.95,1009.05,-146.25,26.5
Sale,13.3,22.3,7.8,11.0,No,26.5,247.5,38.0,3.0,18.55,1016.7,0.0,36.5
Sale,11.4,24.0,8.8,5.9,No,27.0,270.0,59.0,6.5,19.0,1018.45,22.5,16.0
Sale,12.6,23.7,4.6,8.8,No,24.0,90.0,63.0,6.0,20.25,1020.95,0.0,24.0
Sale,11.3,25.8,7.4,5.8,No,20.5,90.0,62.0,7.0,20.85,1014.05,-22.5,16.5
Sale,14.6,26.1,4.2,11.8,No,29.5,247.5,54.0,1.5,21.2,1009.7,0.0,40.5
Sale,14.6,24.2,5.2,5.1,No,16.0,90.0,61.0,7.0,19.950000000000003,1014.7,0.0,23.0
Sale,13.3,28.6,6.2,0.5,No,19.0,11.25,71.0,8.0,21.65,1006.85,33.75,35.0
Sale,13.5,21.6,5.2,9.5,Yes,41.5,292.5,36.0,3.5,18.0,1009.15,0.0,38.5
Sale,10.1,18.8,8.4,3.7,Yes,29.5,258.75,53.0,4.0,15.35,1012.95,-11.25,24.5
Sale,8.6,21.4,5.4,7.9,No,26.0,281.25,51.0,6.0,16.45,1013.95,11.25,22.0
Sale,7.5,22.5,1.4,9.8,No,21.0,281.25,65.0,7.0,16.6,1014.9000000000001,-33.75,33.0
Sale,8.1,20.4,5.6,4.2,No,13.0,191.25,58.5,7.0,16.6,1021.25,-101.25,18.0
Sale,6.4,22.9,4.0,9.8,No,16.5,202.5,71.5,2.5,16.9,1020.8,-90.0,22.5
Sale,12.2,24.0,4.8,5.2,No,19.5,45.0,74.5,6.5,19.7,1021.2,45.0,26.5
Sale,17.5,25.9,5.0,8.3,No,24.0,90.0,65.0,4.5,22.35,1021.7,0.0,24.0
Sale,12.5,20.9,6.0,0.7,No,8.5,281.25,88.5,7.5,18.75,1018.25,-33.75,24.5
Sale,14.8,29.3,0.4,9.3,Yes,19.5,213.75,74.0,3.5,22.6,1015.1500000000001,-78.75,13.5
Sale,14.6,29.8,5.4,1.7,No,18.5,146.25,92.5,7.0,17.450000000000003,1008.7,101.25,66.5
Sale,7.3,19.2,4.0,4.0,Yes,29.0,292.5,51.5,6.5,15.450000000000001,1009.1500000000001,0.0,34.0
Sale,7.5,20.4,5.468231522922462,6.8,No,28.5,281.25,51.0,6.5,16.5,1009.5,11.25,43.5
Sale,13.1,20.5,4.8,7.6,No,28.0,270.0,65.5,6.0,17.05,1015.25,0.0,28.0
Sale,5.2,22.8,5.0,7.8,No,9.0,191.25,66.0,5.0,16.15,1016.15,-101.25,22.0
Sale,8.5,31.6,3.8,11.4,No,15.5,292.5,54.0,2.5,22.05,1013.0,-135.0,21.5
Sale,11.9,27.1,6.2,10.6,No,15.0,213.75,65.0,2.0,21.1,1014.7,-78.75,18.0
Sale,9.8,35.4,5.0,10.6,No,9.5,281.25,52.0,2.5,24.25,1012.5,168.75,31.5
Sale,13.8,34.1,6.8,5.2,No,13.5,67.5,41.5,6.0,25.4,1009.2,135.0,36.5
Sale,14.6,24.6,6.6,4.9,No,18.5,281.25,58.5,4.5,19.700000000000003,1015.0999999999999,-11.25,20.5
Sale,14.7,23.1,4.0,2.5,No,9.5,135.0,68.0,7.5,19.05,1016.55,-22.5,21.5
Sale,15.5,23.3,3.4,2.9,No,14.0,135.0,89.5,7.5,18.75,1016.15,67.5,14.0
Sale,12.4,25.5,1.4,9.0,No,27.5,270.0,71.5,4.5,19.1,1017.7,-22.5,42.5
Sale,7.5,22.4,7.0,10.6,No,15.0,315.0,56.0,3.0,17.25,1025.45,157.5,18.0
Sale,5.0,24.2,4.0,10.0,No,11.0,146.25,66.5,5.5,15.6,1022.45,-56.25,15.0
