Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Sydney,13.8,19.5,4.6,9.5,No,11.5,67.5,64.5,3.5,17.8,1016.2048700086998,45.0,23.5
Sydney,16.5,21.1,6.2,6.6,Yes,23.0,45.0,58.5,6.5,20.25,1016.2048700086998,22.5,33.0
Sydney,16.4,21.8,6.0,5.9,No,20.5,33.75,70.0,5.0,19.9,1016.2048700086998,-11.25,29.5
Sydney,16.7,23.9,7.0,2.8,No,13.0,168.75,72.5,6.0,20.35,1016.2048700086998,-146.25,26.0
Sydney,17.8,28.9,4.0,10.8,Yes,19.5,213.75,55.5,4.449405780817289,24.450000000000003,1009.6500000000001,123.75,21.5
Sydney,19.5,24.7,7.8,0.2,No,22.0,45.0,69.5,4.449405780817289,21.65,994.7,-67.5,54.0
Sydney,11.7,16.1,3.4,9.3,No,47.0,270.0,31.0,4.449405780817289,14.05,1001.45,22.5,38.0
Sydney,9.9,24.0,6.6,12.1,No,14.0,213.75,37.0,4.449405780817289,19.0,1012.0999999999999,56.25,27.0
Sydney,12.6,24.2,7.2,12.3,No,18.5,146.25,43.5,0.5,19.799999999999997,1016.2048700086998,123.75,20.5
Sydney,14.0,19.0,6.4,0.8,Yes,18.0,157.5,67.5,7.5,15.9,1021.7990719085435,0.0,19.0
Sydney,12.9,20.3,3.0,10.9,No,18.5,180.0,63.5,2.0,18.35,1027.1999999999998,-112.5,18.5
Sydney,13.3,21.5,6.6,11.0,No,19.5,168.75,66.5,3.5,19.450000000000003,1024.15,-101.25,21.5
Sydney,15.3,23.0,5.6,11.0,No,12.5,168.75,66.5,2.5,20.6,1019.5999999999999,-146.25,28.5
Sydney,15.8,27.2,8.0,6.9,No,5.5,258.75,70.5,4.449405780817289,20.35,1015.85,56.25,46.5
Sydney,14.1,15.7,7.4,0.0,Yes,21.0,168.75,83.5,4.449405780817289,14.899999999999999,1020.85,-11.25,27.0
Sydney,13.9,19.6,1.2,5.4,Yes,19.5,202.5,77.0,6.5,17.3,1017.8990719085434,0.0,30.5
Sydney,12.9,26.7,3.8,12.1,No,18.5,168.75,64.5,3.0,20.15,1016.5,-123.75,14.5
Sydney,14.8,23.8,6.8,9.6,No,19.5,146.25,72.5,4.5,20.4,1015.35,11.25,34.5
Sydney,16.4,21.4,5.4,8.9,Yes,18.0,123.75,59.0,4.449405780817289,19.25,1020.95,-11.25,15.0
Sydney,14.5,22.1,6.2,1.8,No,13.0,180.0,70.5,7.0,18.35,1019.1,-112.5,18.0
Sydney,16.2,24.4,3.2,9.9,No,15.5,22.5,67.0,4.449405780817289,22.9,1013.6500000000001,22.5,40.5
Sydney,19.3,24.7,7.2,5.5,No,23.5,45.0,72.5,4.449405780817289,22.45,1011.3,0.0,26.5
Sydney,18.1,20.4,6.6,0.1,Yes,25.0,168.75,77.5,8.0,18.65,1013.4000000000001,-11.25,23.0
Sydney,11.8,17.9,3.8,1.7,Yes,27.5,213.75,68.0,5.703701791522536,15.55,1012.3,33.75,26.5
Sydney,12.0,23.9,4.0,11.9,No,18.5,191.25,59.5,2.0,19.15,1017.2,-56.25,25.5
Sydney,14.4,18.1,5.4,2.8,No,17.5,157.5,75.5,7.0,16.200000000000003,1021.4,-45.0,30.5
