Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Townsville,24.4,31.4,4.6,11.6,Yes,18.5,56.25,73.0,4.5,30.1,1010.4,11.25,14.5
Townsville,25.9,31.7,7.6,11.3,No,23.5,78.75,71.0,2.0,30.049999999999997,1010.65,-11.25,13.5
Townsville,26.1,32.0,11.0,12.5,Yes,14.5,45.0,51.5,1.5,30.299999999999997,1011.95,22.5,18.5
Townsville,23.9,31.2,8.6,12.6,No,18.5,56.25,62.5,1.5,29.75,1013.05,-11.25,22.5
Townsville,24.2,32.3,9.8,12.2,No,23.0,90.0,65.0,2.5,30.25,1013.7,-22.5,16.0
Townsville,26.2,31.8,10.4,10.8,Yes,25.0,56.25,70.0,3.5,30.4,1011.2,11.25,10.0
Townsville,26.7,32.4,9.0,10.6,No,22.0,0.0,68.0,4.0,30.4,1008.5,22.5,17.0
Townsville,22.5,30.9,5.468231522922462,6.0,Yes,7.5,56.25,81.5,5.0,27.4,1008.65,146.25,46.5
Townsville,23.8,32.2,6.0,9.4,Yes,22.5,78.75,73.5,4.0,30.0,1008.3,33.75,36.5
Townsville,27.5,31.5,6.2,11.4,No,24.0,67.5,72.5,3.0,30.45,1008.8,0.0,15.0
Townsville,27.3,31.6,9.4,11.5,No,23.0,67.5,66.5,3.0,30.45,1008.95,-22.5,10.0
Townsville,25.2,31.4,10.0,11.1,No,18.5,56.25,59.0,2.5,30.05,1009.55,11.25,20.5
Townsville,26.2,32.2,8.6,9.2,No,18.5,0.0,66.0,6.0,30.6,1007.8,0.0,14.5
Townsville,27.5,34.0,7.0,7.8,No,14.0,168.75,70.0,4.5,31.45,1004.45,78.75,66.0
Townsville,23.4,33.8,8.4,10.6,Yes,17.0,135.0,39.0,6.0,31.5,1006.3,-67.5,11.0
Townsville,26.1,31.7,8.6,12.3,No,28.5,90.0,60.0,3.0,30.5,1009.9,-22.5,14.5
Townsville,27.2,31.2,11.2,11.8,No,27.0,67.5,63.5,2.0,30.0,1010.6500000000001,0.0,14.0
Townsville,26.1,31.4,11.0,11.5,No,19.5,67.5,62.0,3.0,30.450000000000003,1009.2,-45.0,17.5
Townsville,27.3,31.5,7.2,0.7,No,13.0,191.25,71.5,7.5,29.75,1008.2,-123.75,17.0
Townsville,26.6,33.5,4.4,10.3,No,14.5,11.25,64.5,6.5,31.6,1007.5,101.25,22.5
Townsville,26.3,33.0,9.0,6.3,No,15.5,191.25,69.5,5.0,29.7,1009.4000000000001,-123.75,23.5
Townsville,25.6,32.4,10.6,3.9,No,21.5,112.5,72.0,7.0,29.05,1011.1500000000001,-67.5,22.5
Townsville,25.4,31.2,8.8,10.7,No,29.0,78.75,53.5,3.0,29.9,1011.4,11.25,10.0
Townsville,24.1,31.5,10.2,12.3,No,21.5,78.75,53.0,2.5,29.65,1010.7,-11.25,17.5
Townsville,24.1,31.7,11.0,12.5,No,18.5,56.25,56.5,5.0,29.95,1009.55,-11.25,18.5
Townsville,25.1,32.4,9.6,11.6,No,25.0,90.0,59.0,5.5,30.3,1009.5,-45.0,12.0
Townsville,26.5,33.2,10.2,11.0,No,23.0,78.75,65.5,6.0,30.5,1008.4,11.25,16.0
Townsville,26.7,33.4,10.6,8.7,No,20.5,157.5,68.5,7.0,30.5,1005.85,-157.5,20.5
Townsville,24.9,31.1,9.4,3.0,Yes,18.5,22.5,74.0,6.5,29.200000000000003,1005.75,45.0,16.5
Townsville,25.1,32.3,5.6,3.8,Yes,7.5,157.5,74.5,7.0,28.75,1005.95,112.5,23.5
Townsville,24.1,31.2,5.2,8.3,Yes,13.0,22.5,71.5,7.0,29.7,1005.55,0.0,24.0
Townsville,24.8,31.9,6.4,4.8,Yes,10.5,168.75,73.0,7.0,29.35,1006.7,168.75,28.5
Townsville,25.3,31.3,4.8,4.8,Yes,10.0,45.0,80.0,7.0,27.7,1008.8,67.5,25.0
Townsville,23.8,31.5,7.0,5.8,Yes,25.0,112.5,70.5,7.0,28.95,1008.55,-22.5,18.0
Townsville,25.0,31.3,6.2,11.5,No,19.5,90.0,68.0,5.5,29.65,1007.2,-22.5,13.5
Townsville,25.2,31.6,8.0,6.5,Yes,15.5,135.0,68.5,7.0,29.55,1007.25,-90.0,14.5
Townsville,25.3,31.6,7.2,7.5,No,15.0,135.0,68.0,7.0,29.85,1006.3,-90.0,16.0
Townsville,26.3,31.6,6.4,4.0,No,18.5,123.75,69.0,7.0,29.8,1004.85,-33.75,24.5
Townsville,25.5,31.7,6.2,1.2,No,28.0,101.25,75.0,7.0,28.2,1004.6,11.25,15.0
Townsville,23.2,31.3,7.2,6.1,Yes,27.0,112.5,60.5,7.0,29.5,1004.5,0.0,34.0
Townsville,23.7,31.2,9.4,4.1,No,15.0,101.25,67.5,7.0,28.05,1006.4000000000001,11.25,28.0
Townsville,24.1,25.1,8.8,0.0,Yes,34.0,112.5,90.5,8.0,23.9,1004.95,0.0,42.0
Townsville,20.2,27.2,5.468231522922462,0.0,Yes,38.0,112.5,95.0,8.0,24.049999999999997,1004.55,0.0,42.0
Townsville,23.1,28.3,5.468231522922462,0.8,Yes,23.0,101.25,89.5,7.0,26.799999999999997,1007.4,11.25,42.0
Townsville,24.1,30.0,5.468231522922462,7.0,Yes,19.5,101.25,85.0,7.0,27.2,1010.3,11.25,11.5
Townsville,24.8,30.4,3.6,5.5,No,19.5,101.25,78.5,7.0,27.75,1011.35,-33.75,23.5
Townsville,25.3,30.8,4.0,1.8,Yes,14.5,90.0,82.5,7.0,28.0,1010.6,-45.0,16.5
Townsville,24.3,31.0,3.6,7.8,Yes,16.0,123.75,76.0,6.5,28.15,1011.7,-11.25,32.0
Townsville,24.1,31.1,6.2,10.0,Yes,24.0,112.5,72.5,6.0,28.55,1011.8,-22.5,30.0
Townsville,23.7,31.1,8.4,9.7,No,20.5,101.25,65.5,6.0,29.15,1011.6500000000001,-56.25,18.5
Townsville,24.5,31.4,8.4,11.6,No,23.5,90.0,67.5,5.5,29.65,1010.75,0.0,15.5
Townsville,25.8,30.7,7.4,6.9,No,18.5,67.5,80.0,7.0,28.95,1008.6500000000001,-22.5,18.5
Townsville,24.2,29.1,8.6,1.0,Yes,11.0,225.0,87.0,7.5,27.0,1010.0,112.5,30.0
Townsville,23.6,31.6,6.0,3.1,Yes,12.0,112.5,76.5,6.5,27.4,1009.75,157.5,21.0
Townsville,24.1,31.1,4.8,7.6,Yes,14.0,180.0,78.0,6.5,28.25,1008.95,135.0,19.0
Townsville,23.4,28.7,6.4,0.3,Yes,9.0,78.75,86.5,7.5,26.9,1010.0,-168.75,28.0
Townsville,23.8,29.7,5.4,1.2,Yes,19.5,135.0,86.0,7.5,26.25,1009.6,22.5,19.5
Townsville,23.8,28.5,1.8,0.6,Yes,16.0,123.75,83.5,7.5,25.8,1008.7,-33.75,27.0
Townsville,23.1,26.3,3.0,0.0,Yes,17.5,135.0,88.0,7.0,25.3,1007.45,-22.5,28.5
Townsville,23.1,27.4,5.0,0.0,Yes,18.5,146.25,88.0,7.5,25.200000000000003,1005.95,-11.25,22.5
Townsville,23.5,30.3,6.4,0.1,Yes,24.0,146.25,71.0,8.0,27.75,1004.95,-11.25,22.0
Townsville,23.1,28.9,5.2,0.6,Yes,27.5,146.25,88.0,7.5,26.75,1002.05,-11.25,26.5
Townsville,24.2,29.7,4.8,1.6,Yes,30.0,101.25,92.0,8.0,26.4,1001.55,-11.25,39.0
Townsville,22.8,25.4,5.468231522922462,0.0,Yes,21.0,123.75,96.5,8.0,24.4,1002.2,-11.25,27.0
Townsville,23.0,29.6,5.468231522922462,0.4,Yes,16.5,135.0,78.0,7.5,27.1,1001.85,-22.5,33.5
Townsville,23.8,29.8,4.2,1.2,Yes,20.5,135.0,82.0,7.0,27.25,1002.05,-45.0,20.5
Townsville,24.4,27.5,4.6,0.1,Yes,24.0,112.5,96.0,8.0,25.0,1002.85,22.5,35.0
Townsville,23.9,26.7,5.468231522922462,0.0,Yes,24.5,112.5,95.0,8.0,25.9,1004.75,0.0,36.5
Townsville,24.3,27.8,3.8,0.0,Yes,16.5,112.5,94.0,8.0,25.6,1006.7,0.0,20.5
Townsville,26.1,30.7,2.8,7.3,Yes,21.5,11.25,76.5,6.5,29.35,1008.5999999999999,-11.25,17.5
Townsville,26.1,31.8,5.2,7.4,No,17.5,168.75,76.5,7.0,29.35,1007.4000000000001,168.75,19.5
Townsville,23.9,31.0,9.0,9.9,Yes,9.5,303.75,70.5,5.5,28.95,1007.35,56.25,18.5
Townsville,23.9,29.9,5.468231522922462,3.7,Yes,10.0,112.5,76.0,6.5,28.1,1008.7,112.5,25.0
Townsville,24.4,30.4,4.8,2.5,Yes,7.5,112.5,79.5,7.0,27.85,1007.95,-112.5,20.5
Townsville,25.9,31.6,4.0,10.0,No,13.0,168.75,76.0,5.5,29.5,1006.5,-123.75,13.0
Townsville,23.5,30.6,7.2,9.5,Yes,13.0,157.5,75.5,4.0,28.75,1003.45,-90.0,18.0
Townsville,24.0,31.6,6.0,12.0,No,14.0,191.25,70.5,1.5,29.75,1003.7,-123.75,19.0
Townsville,25.1,32.1,6.2,11.9,No,10.5,191.25,67.0,4.0,30.75,1006.75,-168.75,17.5
Townsville,25.7,32.3,7.6,11.0,No,13.5,45.0,65.0,7.0,30.65,1008.55,-22.5,14.5
Townsville,26.0,32.6,7.0,11.2,No,18.5,90.0,62.5,5.5,30.950000000000003,1007.0,45.0,20.5
Townsville,23.8,28.8,9.8,1.4,Yes,17.5,146.25,93.5,7.5,25.200000000000003,1008.8,-56.25,23.5
Townsville,23.1,28.5,5.468231522922462,0.1,Yes,15.5,112.5,87.5,7.5,25.75,1010.05,0.0,21.5
Townsville,24.7,31.1,1.8,4.9,No,20.0,180.0,80.0,7.0,28.049999999999997,1010.1500000000001,-67.5,17.0
Townsville,23.8,29.7,6.0,2.5,Yes,15.0,180.0,85.5,7.5,26.4,1010.8499999999999,-180.0,20.0
Townsville,23.5,30.4,5.468231522922462,3.1,Yes,17.0,123.75,74.5,7.0,28.2,1009.6,-56.25,11.0
Townsville,23.9,31.3,3.0,11.8,No,23.5,90.0,60.0,3.5,29.85,1009.5,0.0,15.5
Townsville,23.2,30.7,8.6,11.7,No,20.5,112.5,58.0,1.5,29.299999999999997,1010.75,-22.5,23.5
Townsville,22.3,31.0,9.4,11.6,No,19.5,90.0,62.5,1.5,29.05,1010.7,-22.5,19.5
Townsville,22.0,30.2,9.2,11.6,No,19.5,78.75,62.0,3.5,28.6,1010.55,-11.25,15.5
Townsville,22.9,31.0,7.4,11.4,No,18.5,78.75,60.0,4.0,29.25,1011.55,11.25,20.5
Townsville,24.0,32.0,6.2,9.9,No,19.0,101.25,65.0,6.5,30.0,1010.6500000000001,-33.75,18.0
Townsville,25.2,31.9,6.0,9.5,No,19.5,67.5,71.0,4.5,29.8,1008.8499999999999,0.0,17.5
Townsville,25.0,31.3,8.6,4.0,No,23.0,112.5,69.0,7.5,28.9,1008.15,-22.5,25.0
Townsville,24.2,29.5,6.8,2.1,No,16.5,146.25,81.0,7.0,26.1,1005.65,11.25,24.5
Townsville,24.6,32.3,3.8,5.3,Yes,17.5,202.5,61.5,7.5,29.7,1005.1,22.5,13.5
Townsville,24.5,31.5,5.6,9.0,Yes,16.0,101.25,68.5,5.0,29.55,1007.95,-56.25,17.0
Townsville,25.9,31.8,6.0,7.2,No,12.5,67.5,74.5,6.0,29.299999999999997,1009.25,0.0,17.5
Townsville,24.8,31.4,6.6,5.5,No,15.5,101.25,73.5,7.0,28.7,1010.8,-11.25,27.5
Townsville,24.2,31.5,6.8,5.5,Yes,22.0,101.25,65.0,5.0,29.75,1011.55,33.75,9.0
Townsville,24.4,31.9,5.8,11.0,Yes,20.5,123.75,64.0,5.0,29.85,1010.55,-56.25,12.5
Townsville,24.8,31.6,6.0,9.8,No,20.5,123.75,66.5,5.5,29.75,1009.95,-56.25,16.5
Townsville,23.1,32.8,7.0,11.2,No,19.5,123.75,63.0,1.5,29.75,1009.3499999999999,-78.75,17.5
Townsville,23.9,31.9,8.0,11.4,No,19.5,90.0,60.0,3.0,29.9,1008.4,-45.0,13.5
Townsville,24.1,32.5,8.4,9.4,No,17.5,90.0,63.5,6.0,29.950000000000003,1007.6500000000001,-45.0,17.5
Townsville,24.1,30.3,7.6,2.4,No,17.5,146.25,67.0,7.0,28.45,1008.3499999999999,-33.75,28.5
Townsville,23.5,32.1,5.4,4.9,No,17.0,191.25,59.5,7.0,28.7,1008.8,-101.25,22.0
Townsville,23.1,33.0,5.6,9.9,No,11.0,135.0,52.5,4.5,30.1,1007.8,-45.0,32.0
Townsville,21.4,32.5,7.4,11.3,No,21.5,123.75,54.0,6.5,29.6,1008.3499999999999,-56.25,13.5
Townsville,22.1,32.4,8.4,10.6,No,23.5,90.0,58.5,4.5,29.05,1009.9,-22.5,17.5
Townsville,22.1,32.1,9.4,9.4,Yes,22.5,112.5,56.0,6.5,28.200000000000003,1011.35,-45.0,14.5
Townsville,20.9,32.3,8.6,11.3,No,25.0,90.0,53.5,3.0,29.0,1013.45,-22.5,16.0
Townsville,20.5,31.0,9.6,10.2,No,24.5,101.25,49.5,6.0,28.549999999999997,1015.25,11.25,21.5
Townsville,20.6,31.8,10.2,11.0,No,24.5,101.25,39.5,3.5,29.15,1015.75,-33.75,19.5
Townsville,20.1,31.4,10.0,6.2,No,6.5,146.25,49.0,6.5,28.1,1014.05,-78.75,32.5
Townsville,21.0,32.1,8.4,8.1,No,22.5,123.75,51.5,4.5,28.4,1013.85,-56.25,14.5
Townsville,21.1,31.0,8.4,10.7,No,24.0,112.5,55.5,1.0,28.05,1012.5,-45.0,13.0
Townsville,18.9,31.0,8.4,10.8,No,17.0,123.75,55.5,1.5,28.15,1012.05,-78.75,18.0
Townsville,19.7,31.4,7.0,11.0,No,10.5,157.5,60.5,1.0,28.65,1010.55,-112.5,17.5
Townsville,19.8,32.8,6.0,10.9,No,11.0,146.25,53.5,1.0,29.450000000000003,1009.9,-146.25,13.0
Townsville,22.3,32.5,7.0,10.8,No,12.0,180.0,58.0,1.5,29.3,1011.15,-135.0,27.0
Townsville,20.3,32.9,7.2,11.6,No,8.5,168.75,53.0,1.0,29.700000000000003,1011.6500000000001,-146.25,22.5
Townsville,20.6,31.7,6.2,10.7,No,14.0,67.5,63.0,3.0,29.450000000000003,1011.5,-22.5,17.0
Townsville,22.3,32.2,7.4,10.1,No,21.5,90.0,65.5,3.0,29.75,1010.5,-45.0,15.5
Townsville,22.6,32.3,8.0,8.9,No,16.5,112.5,69.0,4.0,29.049999999999997,1010.75,-67.5,22.5
Townsville,23.4,32.4,7.4,10.5,No,22.5,101.25,59.5,7.0,29.6,1012.9,-56.25,12.5
Townsville,23.9,32.6,8.6,9.2,No,25.5,123.75,59.5,5.5,29.45,1013.9000000000001,-11.25,24.5
Townsville,24.1,31.7,9.2,7.1,No,23.0,112.5,58.0,6.0,29.1,1013.45,0.0,31.0
Townsville,23.1,31.5,8.4,1.4,No,20.5,123.75,71.0,7.0,27.1,1013.95,-33.75,22.5
Townsville,23.4,29.1,4.4,4.1,Yes,17.0,135.0,84.0,7.0,25.450000000000003,1015.5,-22.5,33.0
Townsville,21.1,31.4,4.2,3.8,Yes,20.5,123.75,67.0,7.0,27.9,1014.0,-56.25,22.5
