Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
WaggaWagga,9.9,28.4,9.8,13.5,No,21.0,292.5,30.5,1.0,23.9,1004.35,0.0,38.0
WaggaWagga,8.9,25.3,14.8,13.7,No,25.0,225.0,23.5,0.5,18.95,1013.4,22.5,23.0
WaggaWagga,11.0,30.7,9.8,13.7,No,17.5,45.0,30.5,0.5,23.45,1016.05,0.0,21.5
WaggaWagga,14.7,35.2,9.4,12.1,No,15.0,180.0,32.5,2.5,29.200000000000003,1012.7,-180.0,24.0
WaggaWagga,11.8,36.5,11.6,13.4,No,13.0,123.75,14.0,1.0,29.1,1011.45,146.25,30.0
WaggaWagga,12.5,39.1,13.0,13.6,No,18.0,157.5,13.0,0.0,31.6,1009.4,67.5,54.0
WaggaWagga,15.6,41.8,15.2,9.3,No,21.5,191.25,11.0,3.5,34.25,1004.45,146.25,37.5
WaggaWagga,14.5,30.4,17.0,12.9,No,23.5,247.5,23.0,0.5,23.7,1011.4,22.5,30.5
WaggaWagga,14.8,28.7,14.0,12.8,No,25.0,67.5,32.0,2.0,23.1,1015.2,0.0,53.0
WaggaWagga,15.9,29.7,11.4,12.7,No,23.0,67.5,37.0,4.0,23.200000000000003,1011.0999999999999,0.0,38.0
WaggaWagga,18.1,31.3,10.4,10.1,No,14.5,202.5,44.5,4.0,25.85,1008.7,-112.5,18.5
WaggaWagga,16.5,35.4,7.2,13.5,No,12.0,157.5,35.0,1.0,29.4,1012.8499999999999,-112.5,27.0
WaggaWagga,19.4,38.3,12.8,13.4,No,14.0,33.75,33.0,0.5,30.55,1013.6500000000001,33.75,27.0
WaggaWagga,20.9,42.0,12.0,13.4,No,18.5,135.0,19.5,1.0,36.0,1010.2,157.5,31.5
WaggaWagga,25.6,36.9,16.8,10.1,No,26.0,258.75,13.0,2.5,33.7,1008.8,11.25,22.0
WaggaWagga,14.0,28.4,15.4,13.3,No,30.5,236.25,25.0,1.0,23.35,1013.45,-11.25,30.5
WaggaWagga,10.8,29.3,15.0,13.4,No,13.0,78.75,20.5,1.0,22.35,1017.5,11.25,22.0
WaggaWagga,13.7,31.8,10.2,12.9,No,13.0,45.0,29.5,1.0,24.4,1018.4000000000001,45.0,17.0
WaggaWagga,15.9,36.4,9.6,12.5,No,16.5,168.75,23.0,3.0,30.1,1013.5,101.25,29.5
WaggaWagga,21.8,40.0,10.2,8.4,No,18.5,11.25,30.0,3.0,34.05,1008.5,-101.25,96.5
WaggaWagga,16.4,37.9,15.6,12.3,Yes,18.5,168.75,30.0,1.0,32.3,1008.0,-168.75,46.5
WaggaWagga,23.1,35.0,13.8,5.5,No,29.5,337.5,50.0,4.5,28.85,1004.25,-45.0,64.5
WaggaWagga,19.8,35.5,10.2,11.0,Yes,16.0,168.75,55.5,2.0,28.349999999999998,1006.35,168.75,30.0
WaggaWagga,21.3,31.1,8.8,12.8,No,23.0,258.75,30.0,1.0,27.0,1007.55,33.75,34.0
WaggaWagga,14.7,33.1,12.0,13.4,No,14.5,146.25,37.0,0.0,26.25,1015.6,-56.25,26.5
WaggaWagga,18.0,37.7,7.6,13.4,No,10.0,157.5,31.5,0.5,30.4,1016.3499999999999,-90.0,47.0
WaggaWagga,20.9,37.9,12.0,13.2,No,13.0,33.75,38.0,1.5,30.85,1016.2,33.75,44.0
WaggaWagga,23.0,39.2,11.2,13.3,No,9.5,33.75,29.5,0.5,33.55,1014.25,-33.75,21.5
WaggaWagga,25.3,40.7,13.6,13.3,No,13.0,168.75,20.5,0.5,35.3,1013.8,-78.75,13.0
WaggaWagga,24.8,41.2,12.0,13.3,No,15.0,56.25,19.0,0.5,35.0,1012.8499999999999,-123.75,15.0
WaggaWagga,22.9,41.6,13.2,13.3,No,13.0,135.0,18.5,1.5,34.85,1013.25,0.0,15.0
WaggaWagga,26.9,41.6,13.6,11.2,No,19.5,56.25,18.5,1.5,36.75,1011.1500000000001,11.25,43.5
WaggaWagga,22.7,39.0,18.4,9.7,No,18.5,191.25,34.0,4.5,31.7,1009.9,-123.75,42.5
WaggaWagga,24.4,39.4,13.6,12.6,No,15.5,146.25,30.0,1.0,33.4,1007.0,-56.25,36.5
WaggaWagga,22.1,38.1,13.8,13.2,No,14.5,67.5,38.0,1.5,31.15,1006.7,0.0,29.5
WaggaWagga,25.8,41.7,11.4,12.2,No,10.0,22.5,29.0,1.5,35.45,1004.45,-67.5,23.0
WaggaWagga,25.2,42.8,13.6,12.9,No,11.0,225.0,20.5,1.0,36.8,1006.4000000000001,67.5,20.0
WaggaWagga,26.0,45.2,14.0,11.5,No,22.5,191.25,22.0,1.5,37.900000000000006,1007.65,146.25,31.5
WaggaWagga,28.5,42.7,18.0,11.6,No,24.0,123.75,13.0,1.0,38.55,1007.5999999999999,146.25,26.0
WaggaWagga,18.7,32.0,19.6,8.7,No,14.0,270.0,36.5,4.0,23.450000000000003,1009.3,-22.5,19.0
WaggaWagga,11.0,29.0,9.8,11.6,No,9.5,247.5,30.5,2.5,22.1,1009.55,-22.5,33.5
WaggaWagga,13.8,28.0,9.4,11.6,No,14.0,168.75,31.5,2.5,22.15,1010.75,33.75,27.0
WaggaWagga,16.6,25.9,9.4,3.8,No,12.0,112.5,36.0,6.5,21.549999999999997,1015.6500000000001,22.5,45.0
WaggaWagga,13.4,26.6,7.0,9.6,Yes,29.5,90.0,34.5,5.0,21.95,1020.55,0.0,31.5
WaggaWagga,16.0,26.0,11.8,3.5,No,18.5,67.5,31.0,7.0,21.549999999999997,1019.3499999999999,22.5,22.5
WaggaWagga,14.1,28.5,7.8,4.4,No,10.0,78.75,40.0,6.0,23.15,1014.4,11.25,42.0
WaggaWagga,12.0,30.5,6.4,9.3,No,13.0,90.0,39.5,4.0,23.5,1015.3,-45.0,37.0
WaggaWagga,13.3,27.2,10.4,5.0,No,18.5,101.25,32.0,6.0,23.15,1015.1,-56.25,24.5
WaggaWagga,16.5,31.3,8.4,9.1,No,11.0,213.75,30.5,4.0,26.049999999999997,1009.9000000000001,-11.25,28.0
WaggaWagga,15.8,33.9,8.4,12.2,No,15.5,258.75,36.0,1.0,26.700000000000003,1006.5,-11.25,38.5
WaggaWagga,16.5,34.5,11.2,5.7,No,15.5,146.25,32.5,6.5,25.950000000000003,1009.45,33.75,32.5
