Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Wollongong,15.7,21.5,5.468231522922462,7.6111775206611565,No,21.0,78.75,66.0,7.5,18.8,1019.5999999999999,-33.75,18.0
Wollongong,18.0,27.7,5.468231522922462,7.6111775206611565,No,20.5,22.5,77.0,6.245703989294752,21.75,1011.75,45.0,20.5
Wollongong,18.6,32.5,5.468231522922462,7.6111775206611565,No,14.0,146.25,69.0,4.203701791522536,24.4,1005.2,11.25,30.0
Wollongong,17.9,23.6,5.468231522922462,7.6111775206611565,No,28.0,225.0,73.5,7.5,20.7,1008.05,-67.5,22.0
Wollongong,15.3,21.9,5.468231522922462,7.6111775206611565,Yes,24.0,123.75,78.0,8.0,19.549999999999997,1013.3499999999999,-56.25,30.0
Wollongong,17.1,23.4,5.468231522922462,7.6111775206611565,Yes,29.5,56.25,76.0,4.203701791522536,22.15,1008.0,-11.25,27.5
Wollongong,17.8,20.2,5.468231522922462,7.6111775206611565,No,40.5,157.5,78.5,7.5,19.3,1009.7,45.0,18.5
Wollongong,15.6,18.5,5.468231522922462,7.6111775206611565,Yes,16.5,90.0,82.5,8.0,17.2,1015.4,0.0,16.5
Wollongong,16.3,22.8,5.468231522922462,7.6111775206611565,Yes,26.0,33.75,91.5,8.0,17.3,1012.75,-11.25,41.0
Wollongong,16.1,31.6,5.468231522922462,7.6111775206611565,Yes,26.0,135.0,57.0,4.449405780817289,26.85,992.35,-180.0,65.0
Wollongong,18.2,25.0,5.468231522922462,7.6111775206611565,No,31.5,258.75,38.0,3.703701791522536,22.55,996.45,33.75,53.5
Wollongong,15.4,20.7,5.468231522922462,7.6111775206611565,No,29.5,180.0,50.5,4.449405780817289,19.299999999999997,1007.3,22.5,26.5
Wollongong,14.8,23.1,5.468231522922462,7.6111775206611565,No,13.0,33.75,64.5,4.449405780817289,21.35,1011.3,33.75,26.0
Wollongong,16.3,23.1,5.468231522922462,7.6111775206611565,No,9.0,101.25,77.0,5.703701791522536,20.75,1010.2,78.75,41.0
Wollongong,17.3,29.0,5.468231522922462,7.6111775206611565,No,11.0,67.5,76.0,4.449405780817289,21.95,1002.4,-112.5,56.0
Wollongong,14.8,23.8,5.468231522922462,7.6111775206611565,No,21.0,157.5,56.5,5.203701791522536,19.799999999999997,1006.9000000000001,22.5,35.0
Wollongong,14.1,19.0,5.468231522922462,7.6111775206611565,No,28.0,168.75,65.5,5.5,17.1,1019.85,-11.25,28.0
Wollongong,12.8,21.6,5.468231522922462,7.6111775206611565,No,14.0,90.0,60.0,4.449405780817289,20.05,1021.1500000000001,-22.5,21.0
Wollongong,16.4,22.9,5.468231522922462,7.6111775206611565,No,41.5,22.5,65.0,4.449405780817289,21.15,1016.3,22.5,21.5
Wollongong,18.5,24.4,5.468231522922462,7.6111775206611565,No,14.0,67.5,78.0,3.0,22.15,1008.45,90.0,38.0
Wollongong,17.8,19.5,5.468231522922462,7.6111775206611565,Yes,15.5,157.5,85.0,8.0,18.35,1013.5,22.5,27.5
Wollongong,17.4,22.9,5.468231522922462,7.6111775206611565,No,16.0,33.75,76.5,6.245703989294752,20.7,1014.05,11.25,8.0
Wollongong,18.2,24.7,5.468231522922462,7.6111775206611565,No,25.0,33.75,80.0,4.245703989294752,22.700000000000003,1012.0,11.25,23.0
Wollongong,20.3,24.1,5.468231522922462,7.6111775206611565,No,24.0,33.75,87.0,4.449405780817289,21.799999999999997,1006.25,-123.75,30.0
Wollongong,19.4,24.6,5.468231522922462,7.6111775206611565,Yes,12.0,33.75,77.0,2.703701791522536,23.4,1004.4000000000001,11.25,36.0
Wollongong,19.4,22.2,5.468231522922462,7.6111775206611565,No,25.0,135.0,77.0,4.5,20.65,1004.4,0.0,19.0
Wollongong,16.4,27.7,5.468231522922462,7.6111775206611565,Yes,18.5,33.75,77.5,6.5,21.15,1001.85,-78.75,22.5
Wollongong,18.4,29.0,5.468231522922462,7.6111775206611565,No,14.0,157.5,43.5,4.449405780817289,23.85,1002.4,112.5,30.0
Wollongong,17.2,32.3,5.468231522922462,7.6111775206611565,No,21.0,56.25,53.5,4.449405780817289,24.55,1002.3,101.25,49.0
Wollongong,17.7,19.9,5.468231522922462,7.6111775206611565,No,20.5,135.0,67.0,8.0,18.35,1014.35,0.0,33.5
Wollongong,16.5,22.1,5.468231522922462,7.6111775206611565,No,16.0,78.75,60.5,8.0,18.85,1020.9,-56.25,17.0
Wollongong,18.0,23.8,5.468231522922462,7.6111775206611565,No,38.0,33.75,68.5,4.449405780817289,22.3,1016.6,11.25,25.0
Wollongong,18.9,25.4,5.468231522922462,7.6111775206611565,No,22.0,33.75,73.5,4.449405780817289,23.3,1010.2,-11.25,15.0
Wollongong,17.5,24.6,5.468231522922462,7.6111775206611565,No,15.0,33.75,78.5,4.449405780817289,23.05,1009.7,-33.75,13.0
Wollongong,19.5,32.8,5.468231522922462,7.6111775206611565,No,10.0,112.5,81.0,3.703701791522536,22.15,1007.4,22.5,42.0
Wollongong,18.9,20.1,5.468231522922462,7.6111775206611565,No,30.5,157.5,84.0,8.0,18.75,1013.75,45.0,21.5
Wollongong,16.0,21.3,5.468231522922462,7.6111775206611565,No,21.5,146.25,61.0,4.5,19.0,1020.3,-11.25,24.5
Wollongong,16.3,23.4,5.468231522922462,7.6111775206611565,No,14.5,45.0,52.0,5.745703989294752,21.1,1015.85,-22.5,28.5
Wollongong,16.3,24.2,5.468231522922462,7.6111775206611565,No,27.0,33.75,67.0,6.245703989294752,22.450000000000003,1012.5999999999999,-11.25,19.0
Wollongong,18.8,23.4,5.468231522922462,7.6111775206611565,No,23.0,146.25,79.5,4.449405780817289,21.6,1016.6,11.25,16.0
Wollongong,19.1,24.7,5.468231522922462,7.6111775206611565,No,27.5,67.5,75.0,4.449405780817289,22.95,1017.35,-22.5,29.5
Wollongong,19.9,30.8,5.468231522922462,7.6111775206611565,No,23.0,22.5,76.5,4.449405780817289,23.7,1012.0999999999999,22.5,16.0
Wollongong,21.1,27.2,5.468231522922462,7.6111775206611565,No,27.0,101.25,64.0,4.449405780817289,25.5,1007.3,33.75,49.0
Wollongong,15.8,24.3,5.468231522922462,7.6111775206611565,No,13.0,101.25,63.5,4.449405780817289,22.299999999999997,1011.45,33.75,39.0
Wollongong,15.1,20.3,5.468231522922462,7.6111775206611565,Yes,30.5,157.5,56.0,6.245703989294752,18.35,1020.8499999999999,0.0,19.5
Wollongong,14.0,23.9,5.468231522922462,7.6111775206611565,No,15.5,90.0,53.5,4.449405780817289,21.700000000000003,1021.15,-67.5,17.5
Wollongong,17.9,24.4,5.468231522922462,7.6111775206611565,No,31.0,33.75,63.5,4.449405780817289,22.3,1016.3,11.25,26.0
Wollongong,18.7,26.6,5.468231522922462,7.6111775206611565,No,19.5,22.5,72.0,4.449405780817289,22.85,1011.7,112.5,41.5
Wollongong,20.7,27.7,5.468231522922462,7.6111775206611565,No,15.5,56.25,66.0,4.449405780817289,24.799999999999997,1009.55,-123.75,43.5
Wollongong,20.6,32.6,5.468231522922462,7.6111775206611565,Yes,23.0,33.75,51.0,5.5,28.950000000000003,1005.55,-33.75,40.0
Wollongong,21.4,28.2,5.468231522922462,7.6111775206611565,No,13.0,135.0,78.0,4.449405780817289,22.8,1008.6,-90.0,24.0
Wollongong,21.5,40.1,5.468231522922462,7.6111775206611565,Yes,25.0,146.25,40.0,4.449405780817289,32.95,1003.85,-11.25,60.0
Wollongong,19.1,24.5,5.468231522922462,7.6111775206611565,No,17.0,123.75,59.0,2.745703989294752,22.45,1019.3,11.25,22.0
Wollongong,19.4,24.8,5.468231522922462,7.6111775206611565,No,9.0,135.0,74.0,6.0,22.8,1019.75,0.0,30.0
Wollongong,19.3,22.8,5.468231522922462,7.6111775206611565,Yes,9.0,168.75,91.0,8.0,21.049999999999997,1020.8,-33.75,28.0
