Location,MinTemp,MaxTemp,Evaporation,Sunshine,RainToday,WindSpeed,WindDir,Humidity,Cloud,Temp,Pressure,AirDirChange,AirSpeedChange
Woomera,16.8,29.7,5.468231522922462,7.6111775206611565,No,27.0,180.0,37.0,4.449405780817289,23.2,1010.5,0.0,27.0
Woomera,13.3,28.6,5.468231522922462,7.6111775206611565,No,24.5,157.5,29.5,2.203701791522536,21.4,1015.4,-22.5,27.5
Woomera,14.9,32.0,5.468231522922462,12.8,No,16.5,101.25,10.0,0.0,26.15,1014.0,33.75,14.5
Woomera,16.3,36.3,11.8,14.2,No,20.0,101.25,7.0,0.5,30.299999999999997,1011.35,-11.25,23.0
Woomera,20.0,38.4,16.0,7.6111775206611565,No,16.5,225.0,17.0,0.0,31.35,1011.0,67.5,24.5
Woomera,20.2,40.2,15.6,13.9,No,18.0,157.5,21.5,1.0,32.75,1008.7,0.0,36.0
Woomera,19.7,33.3,19.8,13.3,No,25.0,180.0,40.5,0.0,26.75,1010.75,0.0,32.0
Woomera,15.2,31.4,19.4,13.4,No,29.5,146.25,29.5,0.5,23.35,1015.0,11.25,26.5
Woomera,15.8,33.3,15.6,13.5,No,18.5,157.5,19.5,0.5,26.2,1012.9,0.0,22.5
Woomera,17.5,33.9,13.6,7.6111775206611565,No,12.0,191.25,24.5,0.5,27.3,1008.55,33.75,31.0
Woomera,18.1,33.3,14.2,13.2,No,15.5,191.25,28.5,0.5,26.799999999999997,1009.05,-33.75,28.5
Woomera,17.4,38.4,16.2,13.3,No,19.5,56.25,20.5,0.0,29.65,1011.85,101.25,23.5
Woomera,22.0,42.2,16.4,13.2,No,19.5,146.25,6.5,0.0,36.15,1009.25,-146.25,28.5
Woomera,23.6,40.7,18.8,13.2,No,22.5,225.0,28.0,0.0,32.1,1009.5999999999999,-67.5,27.5
Woomera,19.0,31.5,18.0,11.4,No,33.0,157.5,39.5,2.0,25.0,1015.8,0.0,19.0
Woomera,15.7,32.7,16.0,13.3,No,26.0,135.0,31.5,0.0,24.6,1018.85,22.5,26.0
Woomera,16.6,33.5,17.6,13.3,No,24.0,157.5,19.5,0.5,26.299999999999997,1017.8,0.0,20.0
Woomera,18.5,35.6,15.2,13.5,No,13.5,168.75,10.0,0.5,29.9,1014.65,-33.75,17.5
Woomera,20.5,39.6,13.2,13.5,No,8.0,281.25,8.5,1.0,33.55,1010.0999999999999,-33.75,29.0
Woomera,23.4,40.2,16.4,12.1,No,19.5,303.75,18.0,1.0,34.35,1008.35,11.25,30.5
Woomera,21.1,37.1,18.4,13.0,No,17.0,191.25,41.0,1.0,29.05,1008.55,-33.75,37.0
Woomera,21.7,38.8,13.8,13.2,No,15.0,191.25,9.5,1.0,32.6,1004.85,56.25,59.0
Woomera,19.0,37.4,17.4,13.0,No,12.0,146.25,35.0,0.5,28.75,1006.9,123.75,49.0
Woomera,19.4,33.0,19.0,13.0,No,14.0,191.25,42.5,3.5,25.85,1012.4000000000001,11.25,34.0
Woomera,18.4,37.9,13.6,13.0,No,12.5,90.0,25.0,1.0,29.799999999999997,1014.25,45.0,26.5
Woomera,21.0,39.9,17.0,13.1,No,26.0,101.25,13.0,1.0,33.0,1014.2,-33.75,18.0
Woomera,24.1,43.8,19.0,12.4,No,12.5,56.25,8.0,4.0,37.5,1009.8499999999999,-33.75,33.5
Woomera,28.9,44.6,16.0,12.4,No,23.0,0.0,19.5,1.0,39.1,1006.7,22.5,31.0
Woomera,28.5,42.3,19.0,12.9,No,18.5,337.5,16.0,0.5,38.05,1008.2,45.0,38.5
Woomera,28.7,42.4,20.8,13.0,No,15.0,33.75,15.0,0.5,37.45,1008.0999999999999,11.25,42.0
Woomera,26.5,41.9,20.2,11.4,No,20.5,56.25,13.5,2.0,35.8,1010.05,-11.25,33.5
Woomera,26.7,41.7,19.4,12.9,No,14.0,78.75,14.0,1.0,36.45,1010.2,-11.25,42.0
Woomera,26.8,43.5,18.2,10.4,No,7.5,101.25,17.5,1.5,37.25,1007.95,33.75,44.5
Woomera,26.7,43.7,16.0,12.4,No,15.5,180.0,24.5,1.0,35.75,1006.6,-45.0,28.5
Woomera,26.3,42.5,19.2,12.8,No,19.5,180.0,22.0,0.0,35.45,1005.5999999999999,-22.5,26.5
Woomera,25.2,42.8,20.0,12.8,No,20.0,112.5,16.5,0.0,35.4,1006.0,90.0,45.0
Woomera,27.3,45.6,24.0,12.6,No,21.5,45.0,14.0,0.5,38.85,1004.0,0.0,30.5
Woomera,31.4,46.2,22.0,12.6,No,26.0,157.5,12.5,1.0,41.599999999999994,1003.7,-180.0,35.0
Woomera,21.7,35.3,24.0,12.1,No,34.0,157.5,39.5,1.0,28.2,1009.65,45.0,33.0
Woomera,17.1,28.7,19.8,11.7,No,35.0,157.5,32.0,3.0,22.7,1013.75,0.0,26.0
Woomera,14.3,25.6,18.8,12.7,No,35.5,157.5,35.0,1.0,20.3,1017.4,22.5,27.5
Woomera,13.6,26.3,12.4,11.4,No,27.0,168.75,29.5,0.0,19.6,1019.15,-33.75,30.0
Woomera,13.9,27.8,14.6,12.5,No,24.5,146.25,32.5,0.5,21.15,1017.9,11.25,21.5
Woomera,14.1,29.7,13.2,12.5,No,23.0,168.75,33.0,0.5,22.8,1016.95,-33.75,34.0
Woomera,18.2,32.0,12.0,11.7,No,21.5,135.0,31.5,0.5,25.85,1016.3,0.0,41.5
Woomera,20.3,32.5,15.6,12.5,No,22.5,157.5,21.0,2.5,27.4,1014.6500000000001,-22.5,16.5
Woomera,17.9,33.9,9.6,12.4,No,20.0,123.75,32.0,0.0,27.25,1011.75,33.75,19.0
Woomera,20.3,34.1,14.8,12.3,No,17.5,112.5,25.0,1.0,29.05,1009.9000000000001,22.5,23.5
Woomera,21.2,35.3,12.2,12.3,No,11.5,67.5,28.5,3.0,28.950000000000003,1008.3499999999999,67.5,32.5
Woomera,24.9,31.1,12.2,2.9,No,23.0,236.25,29.0,7.0,28.75,1010.1,-11.25,33.0
Woomera,18.9,30.6,11.8,12.3,No,23.5,191.25,45.0,0.5,24.75,1015.0999999999999,11.25,30.5
Woomera,16.2,31.4,14.2,12.5,No,18.5,157.5,39.0,0.0,23.75,1015.75,0.0,25.5
Woomera,16.9,34.7,11.4,12.5,No,12.5,180.0,25.5,0.0,27.4,1012.9,-45.0,22.5
Woomera,18.1,36.9,12.6,12.5,No,11.5,258.75,12.0,1.0,30.95,1011.7,-123.75,32.5
Woomera,17.2,35.2,15.2,12.3,No,14.5,157.5,40.5,4.0,26.25,1014.25,-22.5,28.5
Woomera,19.7,37.8,11.4,12.4,No,15.5,123.75,13.0,2.5,30.55,1013.25,-11.25,19.5
Woomera,22.9,40.9,16.0,12.1,No,17.5,180.0,11.5,0.0,33.25,1011.3,-157.5,30.5
Woomera,18.6,41.5,18.2,10.3,No,15.0,146.25,14.5,2.5,35.45,1010.3499999999999,11.25,31.0
Woomera,21.0,36.0,18.8,8.9,No,19.5,157.5,29.0,3.5,29.55,1011.15,-22.5,26.5
Woomera,19.6,34.0,11.4,5.6,No,17.0,146.25,33.0,3.5,27.200000000000003,1011.75,-11.25,26.0
Woomera,21.6,40.3,14.2,0.9,No,25.5,90.0,25.5,6.5,29.15,1007.1,-22.5,28.5
Woomera,23.9,26.6,9.8,1.8,No,34.0,247.5,64.5,6.5,25.25,1009.75,-22.5,29.0
Woomera,11.2,25.9,7.8,11.9,Yes,24.0,202.5,43.0,1.0,19.65,1023.3000000000001,-22.5,32.0
Woomera,13.7,25.9,10.4,10.6,No,21.0,180.0,50.0,1.5,20.4,1022.3499999999999,0.0,25.0
Woomera,14.8,27.5,10.4,12.0,No,17.5,168.75,52.0,1.5,21.9,1017.1,33.75,26.5
Woomera,16.0,29.7,16.0,8.9,No,13.5,101.25,45.5,4.0,23.5,1013.75,33.75,16.5
Woomera,18.6,28.5,9.4,10.0,No,25.0,180.0,32.5,5.5,25.2,1013.5,67.5,31.0
Woomera,18.1,28.0,13.6,4.7,No,31.5,168.75,58.5,7.5,21.200000000000003,1014.45,-33.75,24.5
Woomera,16.6,32.1,6.4,9.8,Yes,20.5,146.25,45.5,3.0,24.65,1013.75,-56.25,31.5
Woomera,18.2,31.7,12.2,7.2,No,11.0,90.0,37.5,6.0,26.299999999999997,1013.0999999999999,157.5,35.0
Woomera,20.2,32.3,8.6,8.7,No,8.0,180.0,47.5,5.0,25.9,1013.0,90.0,33.0
Woomera,18.3,34.0,10.4,10.8,No,9.5,112.5,38.0,0.5,27.5,1014.05,157.5,20.5
Woomera,21.0,28.3,11.0,11.4,No,31.0,191.25,38.5,0.0,24.55,1014.95,11.25,25.0
Woomera,13.1,25.0,15.0,10.5,No,22.0,191.25,39.5,0.0,19.299999999999997,1018.95,11.25,24.0
Woomera,14.5,25.7,10.6,11.6,No,18.5,191.25,51.5,2.5,20.25,1018.85,-11.25,27.5
Woomera,12.8,27.1,12.0,11.5,No,14.5,168.75,42.0,0.0,20.5,1017.3499999999999,-33.75,22.5
Woomera,13.4,32.1,8.4,11.5,No,19.5,180.0,26.5,2.0,24.7,1013.6,157.5,21.5
Woomera,17.1,36.3,12.4,10.0,No,18.5,236.25,36.0,4.0,27.15,1012.15,78.75,18.5
Woomera,19.6,37.9,12.0,3.5,No,18.0,168.75,8.0,6.0,31.4,1009.55,33.75,65.0
Woomera,16.8,28.6,13.8,10.9,No,22.0,191.25,44.0,1.0,22.950000000000003,1014.35,-11.25,32.0
Woomera,13.4,30.7,14.6,10.8,No,17.5,135.0,32.0,1.0,22.6,1013.6500000000001,22.5,17.5
Woomera,16.6,26.8,10.6,4.2,No,18.0,191.25,39.0,7.0,23.35,1013.35,-56.25,17.0
Woomera,18.3,33.2,2.4,11.2,No,12.0,202.5,37.5,1.0,27.4,1015.1500000000001,-22.5,34.0
Woomera,18.4,29.0,11.4,11.3,No,28.0,157.5,53.5,0.5,23.8,1020.85,0.0,22.0
Woomera,15.2,30.0,8.5,11.2,No,18.5,146.25,36.0,0.0,22.6,1023.25,11.25,24.5
Woomera,14.4,32.1,13.2,11.3,No,8.5,225.0,18.5,0.0,24.95,1019.9,-90.0,22.5
Woomera,17.2,34.0,11.2,11.4,No,10.0,213.75,12.0,1.0,27.150000000000002,1017.8,-78.75,21.0
Woomera,18.6,34.4,12.0,10.2,No,13.0,168.75,13.0,4.0,28.200000000000003,1016.0,-123.75,22.0
Woomera,19.6,35.2,12.4,11.2,No,3.0,191.25,22.0,0.0,28.349999999999998,1016.75,11.25,49.0
Woomera,17.8,26.1,11.0,9.9,No,34.0,202.5,46.5,4.0,20.95,1020.7,-22.5,27.0
Woomera,13.1,23.4,13.2,10.1,No,20.0,157.5,44.5,3.5,19.0,1024.6,0.0,30.0
Woomera,12.2,23.7,9.2,11.1,No,25.0,180.0,46.0,1.0,19.700000000000003,1024.0,0.0,19.0
Woomera,13.4,21.9,9.6,11.2,No,28.5,146.25,34.0,0.5,18.6,1025.65,-11.25,21.5
Woomera,10.7,21.9,10.0,11.0,No,27.5,135.0,35.0,0.0,17.799999999999997,1026.95,0.0,15.5
Woomera,11.3,25.0,6.0,11.0,No,14.0,135.0,35.5,1.5,20.2,1024.45,0.0,16.0
